,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,5.0,25.0,5.0,10.60120415687561,29.66217017173767
1,5.0,31.0,5.0,12.822403192520142,31.852845191955566
2,4.0,34.0,4.0,15.234993934631348,33.71037721633911
3,5.0,24.0,5.0,9.817065000534058,29.95101284980774
4,5.0,25.0,5.0,13.743192911148071,34.01444983482361
5,5.0,13.0,5.0,8.399622917175293,30.683499097824097
6,5.0,24.0,5.0,10.236865997314453,30.92635202407837
7,5.0,32.0,5.0,14.456300020217896,30.52634882926941
8,5.0,45.0,5.0,17.852952003479004,32.09132790565491
9,5.0,51.0,5.0,21.842384099960327,33.53710079193115
10,5.0,35.0,5.0,13.461380004882812,29.331995010375977
11,5.0,80.0,5.0,31.203670024871826,33.58929467201233
12,5.0,53.0,5.0,20.073206901550293,31.111252784729004
13,5.0,80.0,5.0,31.44172215461731,33.05036497116089
14,4.0,55.0,4.0,21.500130891799927,33.03938913345337
15,4.0,27.0,4.0,11.510403156280518,30.663308143615723
16,5.0,38.0,5.0,14.668570280075073,28.578868865966797
17,4.0,6.0,4.0,4.711031675338745,29.910916090011597
18,5.0,41.0,5.0,16.15741205215454,30.4952449798584
19,5.0,36.0,5.0,14.476553916931152,31.75455904006958
20,4.0,18.0,4.0,7.5407140254974365,31.126468181610107
21,3.0,11.0,3.0,5.66195273399353,32.26621890068054
22,4.0,46.0,5.0,18.57653284072876,31.490986108779907
23,5.0,45.0,5.0,19.53051209449768,35.18594932556152
24,3.0,25.0,4.0,16.036359310150146,49.328556060791016
25,5.0,47.0,5.0,19.116441011428833,32.100542068481445
26,5.0,46.0,5.0,19.524079084396362,31.959422826766968
27,5.0,68.0,5.0,28.70417618751526,32.682049036026
28,5.0,59.0,5.0,23.0592257976532,31.36555504798889
29,5.0,9.0,5.0,5.341702222824097,25.679616928100586
30,4.0,16.0,4.0,7.323822975158691,30.792405128479004
31,4.0,35.0,4.0,15.235121011734009,34.77035713195801
32,5.0,15.0,5.0,9.41578197479248,29.587712049484253
33,5.0,42.0,5.0,16.378845930099487,31.227365970611572
34,5.0,72.0,5.0,28.004939794540405,35.73268413543701
35,5.0,55.0,5.0,21.532952070236206,32.60478591918945
36,5.0,49.0,5.0,20.801735877990723,38.554112672805786
37,5.0,49.0,5.0,20.050870180130005,33.036823987960815
38,5.0,9.0,5.0,6.642695188522339,32.413942098617554
