,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,32.0,119.0,32.0,8.271978855133057,7.840743064880371
1,32.0,100.0,32.0,7.990462064743042,8.56034803390503
2,32.0,98.0,32.0,7.590145826339722,8.318484783172607
3,32.0,101.0,32.0,8.063508033752441,8.255790948867798
4,32.0,114.0,32.0,8.494400978088379,8.894587278366089
5,32.0,103.0,32.0,8.756947994232178,9.046916961669922
6,32.0,110.0,32.0,8.267545223236084,7.915215969085693
7,32.0,117.0,32.0,8.38893175125122,7.999504804611206
8,32.0,100.0,32.0,7.887768983840942,8.304668188095093
9,32.0,98.0,32.0,8.117187023162842,8.63456106185913
10,32.0,99.0,32.0,7.300982236862183,7.777997016906738
11,32.0,111.0,32.0,7.623291969299316,7.616914987564087
12,32.0,119.0,32.0,7.8035569190979,8.166399955749512
13,32.0,101.0,32.0,7.20756196975708,8.111449718475342
14,32.0,98.0,32.0,6.902845859527588,7.970918893814087
15,32.0,98.0,32.0,6.858051061630249,7.659679889678955
16,31.0,96.0,32.0,6.594716787338257,8.0475332736969
17,32.0,99.0,32.0,7.130047082901001,7.8553080558776855
18,32.0,106.0,32.0,7.264668226242065,7.991333246231079
19,32.0,106.0,32.0,7.482004880905151,8.119377851486206
20,32.0,107.0,32.0,7.71392297744751,7.855270862579346
21,32.0,112.0,32.0,7.715505838394165,8.018638849258423
22,32.0,99.0,32.0,6.993867874145508,7.7827229499816895
23,32.0,101.0,32.0,6.6267101764678955,8.002718210220337
24,32.0,102.0,32.0,7.328608989715576,7.991413831710815
25,32.0,108.0,32.0,7.625871181488037,7.963026762008667
26,32.0,105.0,32.0,7.238810777664185,7.96504807472229
27,32.0,112.0,32.0,7.654472827911377,8.204929113388062
28,32.0,112.0,32.0,7.568688869476318,7.873331069946289
29,32.0,109.0,32.0,7.334177017211914,7.833185911178589
30,32.0,99.0,32.0,7.108613967895508,8.205708026885986
31,32.0,99.0,32.0,6.897726774215698,8.042043924331665
32,32.0,106.0,32.0,7.2826128005981445,7.788539886474609
33,32.0,87.0,32.0,6.659954071044922,7.89124608039856
34,32.0,105.0,32.0,7.226594924926758,7.973717927932739
35,32.0,94.0,32.0,6.800008058547974,8.533432722091675
36,32.0,107.0,32.0,7.457943677902222,7.968249797821045
37,32.0,104.0,32.0,7.217864036560059,7.860448122024536
38,32.0,112.0,32.0,8.221810102462769,7.734511137008667
39,32.0,106.0,32.0,7.1944732666015625,7.748202800750732
40,32.0,118.0,32.0,9.110196113586426,8.832391262054443
41,32.0,96.0,32.0,8.018105030059814,8.848583936691284
42,32.0,115.0,32.0,9.472589015960693,8.230587244033813
43,32.0,101.0,32.0,7.327138900756836,7.681711912155151
44,32.0,106.0,32.0,7.220844984054565,8.2395761013031
45,32.0,116.0,32.0,8.59678602218628,8.522381782531738
46,32.0,109.0,32.0,8.368937015533447,8.618451118469238
47,32.0,131.0,32.0,8.801051139831543,8.827588081359863
48,32.0,101.0,32.0,8.28986120223999,9.628845930099487
49,32.0,114.0,32.0,9.081231832504272,10.545580863952637
50,32.0,94.0,32.0,7.9164347648620605,11.325738906860352
51,32.0,118.0,32.0,11.694822072982788,10.108838319778442
52,32.0,108.0,32.0,9.833708047866821,11.265011072158813
53,32.0,123.0,32.0,9.492025136947632,8.936817169189453
54,32.0,101.0,32.0,11.144381999969482,12.137919902801514
55,32.0,123.0,32.0,9.906126976013184,10.52333688735962
56,32.0,94.0,32.0,8.117838144302368,8.865779876708984
57,32.0,102.0,32.0,9.058286190032959,9.930937767028809
58,32.0,113.0,32.0,9.218962907791138,10.174950122833252
59,32.0,113.0,32.0,9.406005859375,10.338583946228027
60,32.0,91.0,32.0,8.232754945755005,9.336045026779175
61,32.0,134.0,32.0,11.185805082321167,9.765380144119263
62,32.0,118.0,32.0,9.328626155853271,9.747634887695312
