,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,11.0,0.0,46.0,58.27191948890686,2226.777092933655
1,10.0,0.0,47.0,62.81244921684265,2262.377756357193
2,10.0,0.0,45.0,61.772395610809326,2239.3644337654114
3,11.0,0.0,46.0,63.43443155288696,2267.871570587158
4,12.0,0.0,46.0,68.16727566719055,2266.892767429352
5,11.0,0.0,46.0,63.75746297836304,2231.0478055477142
6,13.0,0.0,47.0,69.4863486289978,2251.032979249954
7,13.0,0.0,49.0,72.54326343536377,2250.388430118561
8,12.0,0.0,47.0,65.59984993934631,2240.2241444587708
9,11.0,0.0,48.0,66.55209875106812,2235.799336194992
10,9.0,0.0,46.0,59.85043668746948,2242.365359544754
11,9.0,0.0,45.0,58.92241287231445,2253.8181068897247
12,12.0,0.0,48.0,66.4908139705658,2275.578056573868
13,9.0,0.0,47.0,62.73781728744507,2277.2543330192566
14,12.0,0.0,49.0,70.32670068740845,2267.94709277153
15,11.0,0.0,47.0,67.51526427268982,2278.481957435608
16,12.0,0.0,49.0,70.10039925575256,2269.402263879776
17,10.0,0.0,49.0,61.41166615486145,2250.43120098114
18,10.0,0.0,48.0,61.45776176452637,2250.138436794281
19,7.0,0.0,41.0,55.40693259239197,2240.8817377090454
20,12.0,0.0,49.0,68.41902780532837,2268.6733849048615
21,12.0,0.0,49.0,66.83026146888733,2292.892149209976
22,9.0,0.0,49.0,60.304614305496216,2317.393036365509
23,10.0,0.0,46.0,57.93408155441284,2258.699819803238
24,10.0,0.0,48.0,64.30451369285583,2246.6281340122223
25,11.0,0.0,49.0,61.53880977630615,2247.919671058655
26,7.0,0.0,49.0,53.47972321510315,2189.6069374084473
27,8.0,0.0,49.0,54.65543794631958,2174.259935617447
28,7.0,0.0,46.0,53.53227162361145,2070.442516565323
29,9.0,0.0,47.0,52.77590084075928,2010.7623717784882
30,10.0,0.0,49.0,54.563429832458496,2016.3127055168152
31,11.0,0.0,49.0,58.18146586418152,2041.659231185913
32,11.0,0.0,45.0,56.1205518245697,2015.722501039505
33,7.0,0.0,49.0,48.83369493484497,1988.0777883529663
34,11.0,0.0,50.0,56.56900644302368,2001.6434705257416
35,9.0,0.0,50.0,54.73789572715759,2010.3636622428894
36,8.0,0.0,45.0,51.93268418312073,2001.242905139923
37,11.0,0.0,50.0,56.8441207408905,2036.8214762210846
38,12.0,0.0,47.0,59.57808041572571,2080.36154794693
39,11.0,0.0,48.0,63.3528835773468,2089.2812848091125
40,10.0,0.0,49.0,54.48633813858032,2147.35769367218
41,9.0,0.0,48.0,57.00819706916809,2270.325948238373
42,10.0,0.0,49.0,58.17020225524902,2229.4544451236725
43,11.0,0.0,48.0,59.55904722213745,2198.7058918476105
44,10.0,0.0,48.0,57.544172286987305,2209.8873131275177
45,11.0,0.0,48.0,65.66291499137878,2212.7103519439697
46,10.0,0.0,50.0,61.159714698791504,2203.693111896515
47,10.0,0.0,46.0,61.70106863975525,2187.199112176895
48,11.0,0.0,49.0,61.82297372817993,2210.572006225586
49,13.0,0.0,47.0,65.26039242744446,2042.0878219604492
50,10.0,0.0,47.0,55.490551710128784,2038.8767137527466
51,8.0,0.0,50.0,53.2242591381073,2049.477224588394
52,12.0,0.0,46.0,63.925374031066895,2013.048372745514
53,9.0,0.0,50.0,54.793315410614014,2104.0900807380676
54,9.0,0.0,44.0,58.29353451728821,2204.403233528137
55,10.0,0.0,49.0,62.83682370185852,2222.6543107032776
56,10.0,0.0,49.0,65.24357533454895,2186.836125612259
57,12.0,0.0,48.0,70.58943390846252,2300.9517657756805
58,12.0,0.0,50.0,70.09097123146057,2329.116913318634
59,15.0,0.0,49.0,77.44096612930298,2330.6878266334534
60,10.0,0.0,48.0,65.97775435447693,2294.9200694561005
61,9.0,0.0,48.0,58.27372145652771,2226.600965976715
62,10.0,0.0,50.0,61.63478755950928,2253.657165288925
63,7.0,0.0,47.0,53.061240911483765,2253.7308399677277
64,13.0,0.0,48.0,74.5447735786438,2233.168721675873
65,11.0,0.0,49.0,69.34728479385376,2244.4648649692535
66,9.0,0.0,47.0,63.430925130844116,2243.7935132980347
67,12.0,0.0,50.0,67.51869082450867,2258.6756739616394
68,9.0,0.0,46.0,60.880895376205444,2299.07972574234
69,10.0,0.0,48.0,65.18180179595947,2284.5668630599976
70,10.0,0.0,47.0,62.4656081199646,2271.67578291893
71,8.0,0.0,48.0,60.67621159553528,2302.6078765392303
72,7.0,0.0,47.0,56.0330867767334,2309.8601574897766
73,9.0,0.0,49.0,60.93640351295471,2288.382155895233
74,9.0,0.0,47.0,59.23369216918945,2324.7484455108643
75,10.0,0.0,47.0,67.78399777412415,2301.7775938510895
76,10.0,0.0,48.0,63.446388721466064,2308.4109938144684
77,13.0,0.0,49.0,71.76112675666809,2299.4573607444763
78,10.0,0.0,48.0,67.5939564704895,2306.3944330215454
79,10.0,0.0,48.0,60.38265371322632,2259.5067896842957
80,11.0,0.0,50.0,64.84923338890076,2286.547778367996
81,9.0,0.0,49.0,60.033278465270996,2307.945316553116
82,13.0,0.0,50.0,73.45638847351074,2309.9752337932587
83,11.0,0.0,47.0,65.83418297767639,2301.355610370636
84,8.0,0.0,47.0,58.28330683708191,2312.663780927658
85,9.0,0.0,49.0,65.32948279380798,2268.84295296669
86,13.0,0.0,48.0,68.70239663124084,2273.5562720298767
87,12.0,0.0,47.0,70.40068626403809,2291.4030826091766
88,12.0,0.0,49.0,68.74172401428223,2302.9483523368835
89,10.0,0.0,47.0,61.12619066238403,2305.711064338684
90,9.0,0.0,49.0,61.38093709945679,2314.8117604255676
91,11.0,0.0,49.0,67.01842641830444,2281.6979324817657
92,11.0,0.0,49.0,64.34392738342285,2253.2456719875336
93,10.0,0.0,50.0,61.94949388504028,2243.5804154872894
94,9.0,0.0,49.0,58.702956676483154,2236.2329421043396
95,10.0,0.0,49.0,59.55369758605957,2263.356108188629
96,10.0,0.0,48.0,60.399518966674805,2223.8112993240356
97,9.0,0.0,47.0,56.470256328582764,2211.3311429023743
98,10.0,0.0,44.0,60.83597660064697,2233.3012204170227
99,10.0,0.0,50.0,67.9878888130188,2239.440153837204
