,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,150.43455505371094,5300.473196983337
1,15.0,0.0,49.0,163.76180362701416,5342.333077430725
2,9.0,0.0,46.0,131.59440422058105,5303.230357885361
3,14.0,0.0,47.0,157.81932878494263,5303.526495695114
4,15.0,0.0,47.0,166.47500777244568,5306.305269956589
5,14.0,0.0,49.0,156.55612325668335,5370.912817955017
6,12.0,0.0,49.0,143.63966846466064,5157.316183805466
7,16.0,0.0,49.0,157.44006776809692,5038.6843864917755
8,14.0,0.0,49.0,142.12546229362488,4960.790353536606
9,13.0,0.0,49.0,140.50544810295105,5084.051646709442
10,18.0,0.0,48.0,159.7646849155426,5032.628084182739
11,15.0,0.0,50.0,145.54118585586548,5028.917835474014
12,14.0,0.0,48.0,143.94355130195618,5031.064123868942
13,17.0,0.0,49.0,164.56570982933044,5094.22500872612
14,18.0,0.0,49.0,179.95520281791687,5300.938370227814
15,14.0,0.0,48.0,163.1642017364502,5291.785725355148
16,20.0,0.0,48.0,193.44923639297485,5338.912234067917
17,13.0,0.0,49.0,147.33640336990356,5229.752675771713
18,12.0,0.0,48.0,148.1008641719818,5230.587414979935
19,16.0,0.0,48.0,165.85955214500427,5226.546817541122
20,14.0,0.0,49.0,152.067040681839,5158.250348329544
21,17.0,0.0,48.0,167.61084580421448,5232.619381427765
22,17.0,0.0,49.0,161.95322942733765,5261.601186990738
23,16.0,0.0,49.0,152.19371438026428,5201.915499210358
24,14.0,0.0,50.0,152.30311512947083,5065.389928817749
25,13.0,0.0,49.0,143.92375826835632,5080.186399698257
26,12.0,0.0,48.0,136.43696522712708,5093.433203697205
27,17.0,0.0,50.0,159.91806983947754,4821.520869970322
28,14.0,0.0,47.0,143.74935698509216,4960.6718645095825
29,15.0,0.0,50.0,167.27278661727905,5313.648433923721
30,16.0,0.0,50.0,171.89469575881958,5196.157821655273
31,12.0,0.0,49.0,140.307067155838,5152.46191072464
32,17.0,0.0,47.0,165.10215163230896,5218.367319345474
33,17.0,0.0,49.0,170.1809103488922,5167.062360525131
34,17.0,0.0,48.0,161.34585809707642,5091.804669141769
35,13.0,0.0,47.0,143.9569833278656,5140.613594055176
36,15.0,0.0,49.0,155.1317160129547,5152.259478807449
37,15.0,0.0,48.0,156.2869873046875,5158.128690481186
38,15.0,0.0,50.0,154.61724138259888,5098.1073346138
39,14.0,0.0,48.0,152.28671550750732,5117.94303560257
40,14.0,0.0,49.0,156.38676691055298,5150.318024635315
41,13.0,0.0,50.0,144.4380705356598,5030.501635313034
42,12.0,0.0,50.0,141.5798020362854,4998.224165678024
43,15.0,0.0,49.0,151.62938952445984,5067.931554079056
44,12.0,0.0,48.0,135.19405055046082,5083.276194572449
45,14.0,0.0,48.0,147.45470023155212,5025.223831176758
46,14.0,0.0,50.0,150.02504992485046,5044.581125497818
47,13.0,0.0,49.0,142.59245610237122,5160.24232339859
48,13.0,0.0,50.0,152.73235416412354,5174.3105256557465
49,13.0,0.0,48.0,140.47249960899353,4979.411370754242
50,14.0,0.0,48.0,145.88556671142578,5042.544628143311
51,14.0,0.0,46.0,146.88326120376587,5042.562230587006
52,16.0,0.0,47.0,165.58939599990845,5176.600895404816
53,12.0,0.0,50.0,148.33537936210632,5178.960870742798
54,14.0,0.0,47.0,150.84053492546082,5130.243515014648
55,13.0,0.0,48.0,148.31831216812134,5171.441371679306
56,13.0,0.0,49.0,148.9061918258667,5178.6216723918915
57,15.0,0.0,43.0,153.782856464386,5110.367392778397
58,15.0,0.0,50.0,156.91320776939392,5152.286515235901
59,15.0,0.0,50.0,159.11394357681274,5273.099158525467
60,15.0,0.0,49.0,164.51276874542236,5360.152617931366
61,15.0,0.0,49.0,164.71577286720276,5385.017024517059
62,16.0,0.0,47.0,163.92414665222168,5381.57582449913
63,15.0,0.0,47.0,162.95550751686096,5180.653745889664
64,12.0,0.0,50.0,140.64568042755127,4960.245343208313
65,11.0,0.0,48.0,127.27774739265442,4870.430782079697
66,18.0,0.0,48.0,162.00334405899048,4598.114618062973
67,13.0,0.0,48.0,134.92679929733276,5243.116538524628
68,15.0,0.0,48.0,165.57734394073486,5299.488989114761
69,14.0,0.0,49.0,155.32931566238403,5292.808976888657
70,15.0,0.0,48.0,153.83879446983337,5253.637642621994
71,17.0,0.0,50.0,172.38977718353271,5231.015781879425
72,14.0,0.0,47.0,148.99098324775696,5230.976704120636
73,14.0,0.0,50.0,147.75969982147217,5213.265988826752
74,14.0,0.0,49.0,146.2552080154419,5236.578671693802
75,16.0,0.0,49.0,161.95834112167358,5206.543619155884
76,17.0,0.0,48.0,169.08956098556519,5267.515656471252
77,15.0,0.0,50.0,161.47089838981628,5075.071218967438
78,15.0,0.0,50.0,153.7021086215973,5159.905822277069
79,18.0,0.0,48.0,170.37245631217957,4991.450841188431
80,16.0,0.0,49.0,149.77714848518372,5025.807234764099
81,15.0,0.0,49.0,157.22745561599731,5132.743110895157
82,15.0,0.0,50.0,157.46186590194702,5033.310612201691
83,15.0,0.0,47.0,156.01221299171448,5062.61260843277
84,14.0,0.0,50.0,141.56118869781494,5102.651863336563
85,17.0,0.0,50.0,172.52295565605164,5359.4721596241
86,19.0,0.0,47.0,182.63887429237366,5261.817886590958
87,11.0,0.0,48.0,143.13166856765747,5209.662375926971
88,11.0,0.0,49.0,135.32023310661316,5160.925824165344
89,16.0,0.0,49.0,162.43717503547668,5103.610900402069
90,17.0,0.0,48.0,166.25321054458618,5189.027785539627
91,15.0,0.0,50.0,157.16071581840515,5154.1641061306
92,17.0,0.0,49.0,162.8887233734131,4980.517229318619
93,19.0,0.0,49.0,167.52901649475098,4820.1911108493805
94,15.0,0.0,49.0,142.5037386417389,4680.427850008011
95,18.0,0.0,48.0,152.4661147594452,4461.604614973068
96,16.0,0.0,50.0,140.30936813354492,4534.638336658478
