,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,49.30901646614075,1550.5752465724945
1,15.0,0.0,49.0,50.32368183135986,1547.1472301483154
2,9.0,0.0,46.0,39.91029381752014,1523.9078454971313
3,14.0,0.0,47.0,50.107075691223145,1509.6718158721924
4,15.0,0.0,47.0,46.73152232170105,1503.72509598732
5,14.0,0.0,49.0,43.87397789955139,1448.92871427536
6,12.0,0.0,49.0,44.143367290496826,1480.2318224906921
7,16.0,0.0,49.0,52.36587643623352,1468.8659329414368
8,14.0,0.0,49.0,43.88215112686157,1504.5407361984253
9,13.0,0.0,49.0,49.205607414245605,1562.7101428508759
10,18.0,0.0,48.0,56.55144214630127,1569.1138451099396
11,15.0,0.0,50.0,52.808703899383545,1548.640958070755
12,14.0,0.0,48.0,49.82818531990051,1558.68821310997
13,17.0,0.0,49.0,54.81702780723572,1548.2146515846252
14,18.0,0.0,49.0,58.451945304870605,1553.4575905799866
15,14.0,0.0,48.0,51.601932764053345,1550.2813129425049
16,20.0,0.0,48.0,61.67963218688965,1552.127768754959
17,13.0,0.0,49.0,48.47506499290466,1553.3627500534058
18,12.0,0.0,48.0,48.48277044296265,1562.3653931617737
19,16.0,0.0,48.0,53.84546184539795,1578.5444719791412
20,14.0,0.0,49.0,51.7609121799469,1556.010845899582
21,17.0,0.0,48.0,56.54034423828125,1565.4025430679321
22,17.0,0.0,49.0,53.73259115219116,1553.6943984031677
23,16.0,0.0,49.0,53.02237582206726,1551.6644687652588
24,14.0,0.0,50.0,50.898842096328735,1546.1421194076538
25,13.0,0.0,49.0,48.95577526092529,1558.5799272060394
26,12.0,0.0,48.0,47.056191205978394,1558.462962627411
27,17.0,0.0,50.0,56.64250588417053,1572.5957338809967
28,14.0,0.0,47.0,51.32917618751526,1555.408151626587
29,15.0,0.0,50.0,54.1812584400177,1556.1618576049805
30,16.0,0.0,50.0,50.06047773361206,1544.1433498859406
31,12.0,0.0,49.0,45.43003964424133,1541.495334148407
32,17.0,0.0,47.0,55.243016481399536,1547.6819696426392
33,17.0,0.0,49.0,52.928746461868286,1537.4718658924103
