,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,11.0,0.0,46.0,51.94059896469116,2387.941687822342
1,10.0,0.0,47.0,56.12171936035156,2468.2772150039673
2,10.0,0.0,45.0,60.15584325790405,2467.316365480423
3,11.0,0.0,46.0,61.94577145576477,2471.7780332565308
4,12.0,0.0,46.0,64.23297262191772,2491.1377387046814
5,11.0,0.0,46.0,61.08633589744568,2455.2702374458313
6,13.0,0.0,47.0,67.85867142677307,2454.6570234298706
7,13.0,0.0,49.0,70.24048519134521,2466.996394634247
8,12.0,0.0,47.0,65.56548166275024,2475.102772951126
9,11.0,0.0,48.0,61.98011064529419,2454.7293622493744
10,9.0,0.0,46.0,55.37144184112549,2484.589369058609
11,9.0,0.0,45.0,55.65729308128357,2392.2899634838104
12,12.0,0.0,48.0,64.92053508758545,2323.929647922516
13,9.0,0.0,47.0,52.405038595199585,2355.5017557144165
14,12.0,0.0,49.0,62.04553484916687,2385.1734380722046
15,11.0,0.0,47.0,54.97681665420532,2392.7514567375183
16,12.0,0.0,49.0,64.36020946502686,2351.1770429611206
17,10.0,0.0,49.0,55.60528826713562,2339.80624294281
18,10.0,0.0,48.0,52.930556535720825,2188.785605430603
19,7.0,0.0,41.0,45.961941957473755,2160.5141217708588
20,12.0,0.0,49.0,58.24429416656494,2186.8313007354736
21,12.0,0.0,49.0,58.26688504219055,2139.7164509296417
22,9.0,0.0,49.0,50.515477657318115,2183.9698524475098
23,10.0,0.0,46.0,52.81872630119324,2227.831746816635
24,10.0,0.0,48.0,52.71283769607544,2305.9648637771606
25,11.0,0.0,49.0,57.94059371948242,2382.5914211273193
26,7.0,0.0,49.0,44.3888144493103,2349.921129465103
27,8.0,0.0,49.0,55.287177085876465,2503.4235067367554
28,7.0,0.0,46.0,51.100412130355835,2472.4019680023193
29,9.0,0.0,47.0,53.013593673706055,2488.567845106125
30,10.0,0.0,49.0,58.391573667526245,2498.2746856212616
31,11.0,0.0,49.0,62.26689839363098,2430.467186689377
32,11.0,0.0,45.0,64.09872841835022,2481.5978927612305
33,7.0,0.0,49.0,53.06655430793762,2436.2623705863953
34,11.0,0.0,50.0,59.5032696723938,2448.4791395664215
35,9.0,0.0,50.0,59.3283257484436,2472.2311317920685
36,8.0,0.0,45.0,54.57510495185852,2514.5841703414917
37,11.0,0.0,50.0,62.2090106010437,2521.0042493343353
38,12.0,0.0,47.0,66.61435055732727,2443.370241165161
39,11.0,0.0,48.0,58.72746658325195,2486.35475897789
40,10.0,0.0,49.0,62.249725341796875,2469.001660346985
41,9.0,0.0,48.0,58.49265122413635,2420.2190623283386
42,10.0,0.0,49.0,57.651904582977295,2482.336725473404
43,11.0,0.0,48.0,62.32215714454651,2476.6726038455963
44,10.0,0.0,48.0,52.20936107635498,2480.9846620559692
45,11.0,0.0,48.0,58.78290271759033,2480.5702805519104
46,10.0,0.0,50.0,56.16641092300415,2479.6580879688263
47,10.0,0.0,46.0,57.06475591659546,2486.9264335632324
48,11.0,0.0,49.0,63.51949620246887,2464.464280128479
49,13.0,0.0,47.0,68.94723105430603,2463.2543590068817
50,10.0,0.0,47.0,59.65381360054016,2458.6264255046844
51,8.0,0.0,50.0,53.24821972846985,2504.116858959198
52,12.0,0.0,46.0,63.79339027404785,2483.4508624076843
53,9.0,0.0,50.0,57.14414405822754,2514.713459968567
54,9.0,0.0,44.0,56.07367420196533,2448.317191839218
55,10.0,0.0,49.0,60.624760389328,2407.0492124557495
56,10.0,0.0,49.0,57.637572050094604,2456.4419329166412
57,12.0,0.0,48.0,59.34038305282593,2440.4107213020325
58,12.0,0.0,50.0,61.34760546684265,2423.1975314617157
59,15.0,0.0,49.0,70.07991290092468,2408.653841972351
60,10.0,0.0,48.0,57.23312330245972,2442.84823846817
61,9.0,0.0,48.0,47.23714256286621,2446.930302619934
62,10.0,0.0,50.0,58.339558601379395,2502.447305202484
63,7.0,0.0,47.0,50.529897928237915,2520.4203329086304
64,13.0,0.0,48.0,68.90435409545898,2537.345471382141
65,11.0,0.0,49.0,60.074618101119995,2515.124868631363
66,9.0,0.0,47.0,55.28217673301697,2485.4717316627502
67,12.0,0.0,50.0,64.39943671226501,2520.7845726013184
68,9.0,0.0,46.0,60.28790783882141,2430.8032376766205
69,10.0,0.0,48.0,60.721991300582886,2444.7511808872223
70,10.0,0.0,47.0,62.47221350669861,2412.078803539276
71,8.0,0.0,48.0,48.03563070297241,2228.0208423137665
72,7.0,0.0,47.0,46.20749068260193,2190.6367173194885
73,9.0,0.0,49.0,54.60031294822693,2183.6216287612915
74,9.0,0.0,47.0,49.474435567855835,2233.65842628479
75,10.0,0.0,47.0,53.83591079711914,2219.155821323395
