,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,11.0,0.0,46.0,108.89518642425537,2748.3037915229797
1,10.0,0.0,47.0,119.54999208450317,2771.843317747116
2,10.0,0.0,45.0,112.54539513587952,2768.6200621128082
3,11.0,0.0,46.0,120.33773732185364,2765.5927159786224
4,12.0,0.0,46.0,125.18938088417053,2762.4381155967712
5,11.0,0.0,46.0,121.26915502548218,2764.6867170333862
6,13.0,0.0,47.0,133.8192491531372,2740.572577238083
7,13.0,0.0,49.0,124.88708996772766,2808.028133392334
8,12.0,0.0,47.0,122.33084559440613,2755.0302951335907
9,11.0,0.0,48.0,117.78629064559937,2777.2239611148834
10,9.0,0.0,46.0,111.9736270904541,2663.532578229904
11,9.0,0.0,45.0,109.25569868087769,2661.806245326996
12,12.0,0.0,48.0,117.98901104927063,2650.261822938919
13,9.0,0.0,47.0,102.23202395439148,2683.86910200119
14,12.0,0.0,49.0,120.8106279373169,2660.0278565883636
15,11.0,0.0,47.0,119.54699993133545,2721.550980567932
16,12.0,0.0,49.0,123.5270836353302,2788.0519394874573
17,10.0,0.0,49.0,118.33671736717224,2786.1874487400055
18,10.0,0.0,48.0,122.94570064544678,2776.828364610672
19,7.0,0.0,41.0,104.84629964828491,2791.7523305416107
20,12.0,0.0,49.0,119.92227840423584,2798.953994512558
21,12.0,0.0,49.0,126.34119462966919,2760.1631956100464
22,9.0,0.0,49.0,114.37168431282043,2808.390814781189
23,10.0,0.0,46.0,115.06681728363037,2785.0733575820923
24,10.0,0.0,48.0,123.11915469169617,2800.4879608154297
25,11.0,0.0,49.0,117.55532670021057,2808.7557005882263
26,7.0,0.0,49.0,110.27905297279358,2759.400827884674
27,8.0,0.0,49.0,112.83218550682068,2755.759331226349
28,7.0,0.0,46.0,108.459716796875,2801.179831981659
29,9.0,0.0,47.0,119.22273993492126,2724.401506662369
30,10.0,0.0,49.0,114.07039761543274,2725.162265062332
31,11.0,0.0,49.0,121.42355346679688,2818.577805995941
32,11.0,0.0,45.0,121.87082028388977,2851.096530675888
33,7.0,0.0,49.0,105.85861229896545,2830.6369693279266
34,11.0,0.0,50.0,122.47926735877991,2818.6581077575684
35,9.0,0.0,50.0,118.88814520835876,2809.284836769104
36,8.0,0.0,45.0,106.77461814880371,2837.980967283249
37,11.0,0.0,50.0,119.7535400390625,2841.6911804676056
38,12.0,0.0,47.0,124.00291156768799,2795.342846393585
39,11.0,0.0,48.0,118.42075157165527,2829.2621228694916
40,10.0,0.0,49.0,117.26579570770264,2835.356549978256
41,9.0,0.0,48.0,120.66943860054016,2731.8136682510376
42,10.0,0.0,49.0,112.08265495300293,2657.59894156456
43,11.0,0.0,48.0,119.38250923156738,2668.792905330658
44,10.0,0.0,48.0,112.23027229309082,2739.0623054504395
45,11.0,0.0,48.0,119.8157069683075,2739.097098350525
46,10.0,0.0,50.0,116.1595311164856,2762.9093687534332
47,10.0,0.0,46.0,122.12592792510986,2717.4710619449615
48,11.0,0.0,49.0,114.79426288604736,2658.007226705551
49,13.0,0.0,47.0,125.05114197731018,2646.8495020866394
50,10.0,0.0,47.0,106.70569443702698,2674.2541148662567
51,8.0,0.0,50.0,101.80575799942017,2654.307736158371
52,12.0,0.0,46.0,118.67722463607788,2717.326038122177
53,9.0,0.0,50.0,111.00740003585815,2783.7090725898743
54,9.0,0.0,44.0,113.82529354095459,2757.546149969101
55,10.0,0.0,49.0,112.05860257148743,2769.7116100788116
56,10.0,0.0,49.0,120.6718282699585,2750.0124962329865
57,12.0,0.0,48.0,123.15792083740234,2747.287441253662
58,12.0,0.0,50.0,127.3163959980011,2768.640500307083
59,15.0,0.0,49.0,134.44501066207886,2794.0819747447968
60,10.0,0.0,48.0,117.94275522232056,2807.417751789093
61,9.0,0.0,48.0,118.94743871688843,2731.0713410377502
62,11.0,0.0,50.0,120.57485032081604,2762.5413632392883
63,7.0,0.0,47.0,107.67477321624756,2813.2344307899475
64,13.0,0.0,48.0,129.2585551738739,2782.3661630153656
65,11.0,0.0,49.0,120.56317090988159,2816.1996369361877
66,9.0,0.0,47.0,110.90346431732178,2783.507781267166
67,12.0,0.0,50.0,122.87295341491699,2781.214320898056
68,9.0,0.0,46.0,109.27319526672363,2784.6804111003876
69,10.0,0.0,48.0,120.06748223304749,2789.4474353790283
70,10.0,0.0,47.0,116.60038733482361,2759.60577583313
71,8.0,0.0,48.0,109.87838745117188,2774.7084200382233
72,7.0,0.0,47.0,106.20934820175171,2729.107765674591
73,9.0,0.0,49.0,109.15349173545837,2714.0802793502808
74,9.0,0.0,47.0,107.63006901741028,2722.9800391197205
75,10.0,0.0,47.0,119.90324807167053,2666.946541786194
76,10.0,0.0,48.0,112.62508773803711,2685.1505677700043
77,13.0,0.0,49.0,117.92204904556274,2705.3679213523865
78,10.0,0.0,48.0,115.4880838394165,2651.866352558136
79,10.0,0.0,48.0,111.26388239860535,2606.525026321411
80,11.0,0.0,50.0,107.8862407207489,2502.5351300239563
81,9.0,0.0,49.0,97.10805130004883,2490.5305876731873
82,13.0,0.0,50.0,123.26312589645386,2499.4377915859222
83,11.0,0.0,47.0,106.71310567855835,2764.3206045627594
84,8.0,0.0,47.0,111.0171446800232,2729.0553250312805
85,9.0,0.0,49.0,115.27136158943176,2604.6740515232086
86,13.0,0.0,48.0,110.92745280265808,2391.1364362239838
87,12.0,0.0,47.0,109.39972925186157,2452.4361214637756
88,12.0,0.0,49.0,121.13016676902771,2780.7617943286896
89,10.0,0.0,47.0,118.75546526908875,2749.7133865356445
90,9.0,0.0,49.0,114.97102308273315,2780.5797367095947
91,11.0,0.0,49.0,118.69373989105225,2713.9734687805176
92,11.0,0.0,49.0,118.23437833786011,2817.9674067497253
93,10.0,0.0,50.0,119.21278977394104,2749.1118636131287
94,9.0,0.0,49.0,112.89218878746033,2747.7991137504578
95,10.0,0.0,49.0,112.81600666046143,2761.4023485183716
96,10.0,0.0,48.0,101.81005358695984,2761.2894818782806
97,9.0,0.0,47.0,112.15280675888062,2746.451114177704
98,10.0,0.0,44.0,115.34573030471802,2747.006520986557
99,10.0,0.0,50.0,117.77920269966125,2743.8641867637634
