,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,11.0,0.0,46.0,43.803913831710815,1353.1824374198914
1,10.0,0.0,47.0,44.547882080078125,1386.287270784378
2,10.0,0.0,45.0,45.91356086730957,1361.6556468009949
3,11.0,0.0,46.0,47.81085228919983,1327.4140458106995
4,12.0,0.0,46.0,50.42831897735596,1328.359563589096
5,11.0,0.0,46.0,45.01876163482666,1331.2330622673035
6,13.0,0.0,47.0,49.083648443222046,1305.7524721622467
7,13.0,0.0,49.0,44.99085450172424,1311.4883551597595
8,12.0,0.0,47.0,49.31119227409363,1312.2367994785309
9,11.0,0.0,48.0,44.94577765464783,1333.7178933620453
10,9.0,0.0,46.0,39.370431423187256,1308.9303295612335
11,9.0,0.0,45.0,38.20639729499817,1299.2426075935364
12,12.0,0.0,48.0,48.47506666183472,1289.0922298431396
13,9.0,0.0,47.0,41.424513816833496,1310.9997973442078
14,12.0,0.0,49.0,44.79373860359192,1323.285299539566
15,11.0,0.0,47.0,44.62419390678406,1319.5322694778442
16,12.0,0.0,49.0,49.335508823394775,1329.7794222831726
17,10.0,0.0,49.0,45.07888460159302,1334.7846670150757
18,10.0,0.0,48.0,46.42526650428772,1317.667034626007
19,7.0,0.0,41.0,39.26482939720154,1346.090832710266
20,12.0,0.0,49.0,46.374125719070435,1317.282344341278
21,12.0,0.0,49.0,48.246243953704834,1370.6912500858307
22,9.0,0.0,49.0,42.10370969772339,1354.6750075817108
23,10.0,0.0,46.0,44.967960596084595,1347.1630828380585
24,10.0,0.0,48.0,43.42044019699097,1335.2653658390045
25,11.0,0.0,49.0,46.62683892250061,1317.6727046966553
26,7.0,0.0,49.0,41.81696271896362,1296.5829589366913
27,8.0,0.0,49.0,47.85429525375366,1321.4698576927185
28,7.0,0.0,46.0,38.82441234588623,1329.1988348960876
29,9.0,0.0,47.0,43.70131063461304,1311.3026850223541
30,10.0,0.0,49.0,44.81334900856018,1322.9573662281036
31,11.0,0.0,49.0,47.37923002243042,1348.479248046875
32,11.0,0.0,45.0,43.13110589981079,1346.9747757911682
33,7.0,0.0,49.0,42.66397047042847,1311.2464010715485
34,11.0,0.0,50.0,47.92578840255737,1359.2411143779755
35,9.0,0.0,50.0,40.21909737586975,1311.751045703888
36,8.0,0.0,45.0,37.97109270095825,1340.7768898010254
37,11.0,0.0,50.0,47.2847101688385,1345.1069068908691
38,12.0,0.0,47.0,44.09972882270813,1339.812079668045
39,11.0,0.0,48.0,47.7233452796936,1352.9367623329163
40,10.0,0.0,49.0,41.29419732093811,1324.5876786708832
41,9.0,0.0,48.0,42.36453676223755,1287.080826997757
42,10.0,0.0,49.0,45.65718078613281,1320.6585445404053
43,11.0,0.0,48.0,45.178523540496826,1334.995360136032
44,10.0,0.0,48.0,40.06993842124939,1326.2417178153992
45,11.0,0.0,48.0,48.88597750663757,1347.1976058483124
46,10.0,0.0,50.0,44.436604499816895,1335.0545258522034
47,10.0,0.0,46.0,43.951409339904785,1338.5016601085663
48,11.0,0.0,49.0,44.605178356170654,1322.9914944171906
49,13.0,0.0,47.0,53.431851387023926,1343.3334341049194
50,10.0,0.0,47.0,43.76042413711548,1328.1847743988037
51,8.0,0.0,50.0,41.44702935218811,1330.0840396881104
52,12.0,0.0,46.0,49.62986469268799,1334.315670490265
