,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,11.0,0.0,46.0,187.93989038467407,7100.234628915787
1,10.0,0.0,47.0,170.29984068870544,7210.205383300781
2,10.0,0.0,45.0,176.27809524536133,7076.545124769211
3,11.0,0.0,46.0,181.4917438030243,7208.904653072357
4,12.0,0.0,46.0,211.00669360160828,7640.986875534058
5,11.0,0.0,46.0,195.19320058822632,7721.299432039261
6,13.0,0.0,47.0,228.7982256412506,8059.101934671402
7,13.0,0.0,49.0,220.041686296463,8082.302084684372
8,12.0,0.0,47.0,215.47889971733093,8039.480746984482
9,11.0,0.0,48.0,207.76476621627808,7960.3154838085175
10,9.0,0.0,46.0,190.88151216506958,7988.1849620342255
11,9.0,0.0,45.0,186.4991443157196,7927.886319160461
12,12.0,0.0,48.0,222.34479093551636,7978.0021851062775
13,9.0,0.0,47.0,195.15780639648438,8107.660724878311
14,12.0,0.0,49.0,216.88636589050293,8089.40034365654
15,11.0,0.0,47.0,210.81242632865906,7687.975669384003
16,12.0,0.0,49.0,207.27378940582275,8002.410836935043
17,10.0,0.0,49.0,201.9539852142334,7827.367232084274
18,10.0,0.0,48.0,185.16010069847107,7728.23633646965
19,7.0,0.0,41.0,171.17487621307373,7920.163529634476
20,12.0,0.0,49.0,215.6361927986145,7924.857346534729
21,12.0,0.0,49.0,214.41819715499878,7954.664476633072
22,9.0,0.0,49.0,199.54634737968445,7945.549483060837
23,10.0,0.0,46.0,200.9320685863495,8005.209847688675
24,10.0,0.0,48.0,193.8507764339447,7968.103698253632
25,11.0,0.0,49.0,203.2008559703827,8012.688250780106
26,7.0,0.0,49.0,179.75797200202942,7869.836822748184
27,8.0,0.0,49.0,184.7899613380432,7821.221643447876
28,7.0,0.0,46.0,170.7123944759369,7515.0272850990295
29,9.0,0.0,47.0,170.60896754264832,7314.290070056915
30,10.0,0.0,49.0,197.57699131965637,7412.095446109772
31,11.0,0.0,49.0,185.38138222694397,7373.016224145889
32,11.0,0.0,45.0,204.5745484828949,7859.055000305176
33,7.0,0.0,49.0,183.4929904937744,7777.150728940964
34,11.0,0.0,50.0,200.9178125858307,7762.581834554672
35,9.0,0.0,50.0,195.4936282634735,7722.964024066925
36,8.0,0.0,45.0,173.36981177330017,7477.233982086182
37,11.0,0.0,50.0,192.0549657344818,7425.964577913284
38,12.0,0.0,47.0,200.99426126480103,7370.878264904022
39,11.0,0.0,48.0,184.3706452846527,7433.454488515854
40,10.0,0.0,49.0,186.49424004554749,7515.236740350723
41,9.0,0.0,48.0,181.91762042045593,7773.136143445969
42,10.0,0.0,49.0,198.18368983268738,7750.106232404709
43,11.0,0.0,48.0,206.19666504859924,7687.178809642792
44,10.0,0.0,48.0,192.91097402572632,7593.275278806686
45,11.0,0.0,48.0,193.69435167312622,7646.080068588257
46,10.0,0.0,50.0,187.50752305984497,7623.6362907886505
47,10.0,0.0,46.0,187.9680209159851,7649.750547885895
48,11.0,0.0,49.0,193.3233606815338,7387.4423842430115
49,13.0,0.0,47.0,208.53444075584412,7391.246646165848
50,10.0,0.0,47.0,179.02441596984863,7119.112223863602
51,8.0,0.0,50.0,159.81749963760376,7670.186750173569
52,12.0,0.0,46.0,211.22679471969604,7604.594582080841
53,9.0,0.0,50.0,180.9953441619873,7616.876601934433
54,9.0,0.0,44.0,181.6727375984192,7551.907196998596
55,10.0,0.0,49.0,188.53758811950684,7539.479371786118
56,10.0,0.0,49.0,188.50845098495483,7550.197201490402
57,12.0,0.0,48.0,196.09223651885986,7566.225855588913
58,12.0,0.0,50.0,206.26425337791443,7566.911942481995
59,15.0,0.0,49.0,226.731103181839,7493.6500725746155
60,10.0,0.0,48.0,182.32464146614075,7330.500048875809
61,9.0,0.0,48.0,173.3708255290985,7271.259179830551
62,10.0,0.0,50.0,181.68254256248474,7339.393681049347
63,7.0,0.0,47.0,164.20011019706726,7340.439464092255
64,13.0,0.0,48.0,197.89275097846985,7760.6934406757355
65,11.0,0.0,49.0,195.77481770515442,7443.125674724579
66,9.0,0.0,47.0,171.8362681865692,7425.843223571777
67,12.0,0.0,50.0,207.75624537467957,7634.370758295059
68,9.0,0.0,46.0,185.64443922042847,7611.71958398819
69,10.0,0.0,48.0,191.01319479942322,7654.03840970993
70,10.0,0.0,47.0,191.61792612075806,7635.8498277664185
71,8.0,0.0,48.0,170.90227794647217,7625.0805106163025
72,7.0,0.0,47.0,164.62407040596008,7708.948495149612
73,9.0,0.0,49.0,195.18214392662048,7793.236032485962
74,9.0,0.0,47.0,183.31092739105225,7685.234284162521
75,10.0,0.0,47.0,193.17959594726562,7227.417716026306
76,10.0,0.0,48.0,178.45795249938965,7054.595451116562
77,13.0,0.0,49.0,190.03123903274536,7421.041015863419
78,10.0,0.0,48.0,196.89573049545288,7776.178112745285
79,10.0,0.0,48.0,198.35049676895142,7665.873855829239
80,11.0,0.0,50.0,199.2872531414032,7642.511763334274
81,9.0,0.0,49.0,183.39447569847107,7619.888495206833
82,13.0,0.0,50.0,208.7210669517517,7644.401229858398
83,11.0,0.0,47.0,200.58737230300903,7667.68518781662
84,8.0,0.0,47.0,168.4127368927002,7456.078651666641
85,9.0,0.0,49.0,183.29739356040955,7454.429649114609
86,13.0,0.0,48.0,198.76185727119446,7316.901608943939
87,12.0,0.0,47.0,199.00923228263855,7389.578802585602
88,12.0,0.0,49.0,205.65242743492126,7430.42235827446
89,10.0,0.0,47.0,179.7350902557373,7583.264235973358
90,9.0,0.0,49.0,184.10335874557495,7830.516307353973
91,11.0,0.0,49.0,201.07945108413696,7645.531448125839
92,11.0,0.0,49.0,188.93905687332153,7491.068750143051
93,10.0,0.0,50.0,182.29701018333435,7416.6461572647095
94,9.0,0.0,49.0,177.42777180671692,7455.091647863388
95,10.0,0.0,49.0,183.95041513442993,7046.917708873749
96,10.0,0.0,48.0,176.4566400051117,6940.844597101212
97,9.0,0.0,47.0,159.4093222618103,6656.446185827255
98,10.0,0.0,44.0,169.28878569602966,6747.979435920715
99,10.0,0.0,50.0,172.02939462661743,6615.148102045059
