,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,67.16792964935303,2221.878336429596
1,15.0,0.0,49.0,77.68738746643066,2252.1064233779907
2,9.0,0.0,46.0,62.29798364639282,2238.255889415741
3,14.0,0.0,47.0,74.86651587486267,2253.0086641311646
4,15.0,0.0,47.0,76.71565699577332,2209.38090467453
5,14.0,0.0,49.0,73.75519061088562,2205.467426300049
6,12.0,0.0,49.0,69.45945858955383,2211.972060441971
7,16.0,0.0,49.0,70.55871629714966,2212.8534758090973
8,14.0,0.0,49.0,71.9587893486023,2094.259660959244
9,12.0,0.0,49.0,66.29361128807068,2136.706095933914
10,18.0,0.0,48.0,73.61003756523132,2097.7794609069824
11,15.0,0.0,50.0,72.04853940010071,1968.160877943039
12,13.0,0.0,48.0,62.19457507133484,1980.2799537181854
13,17.0,0.0,49.0,77.18732476234436,2065.018819093704
14,18.0,0.0,49.0,75.23924779891968,2117.207592725754
15,14.0,0.0,48.0,72.4103651046753,2144.7579383850098
16,20.0,0.0,48.0,84.7760157585144,2130.5148782730103
17,13.0,0.0,49.0,67.87811756134033,2128.595324277878
18,12.0,0.0,48.0,67.13209962844849,2135.253802537918
19,16.0,0.0,48.0,73.31186485290527,2154.517109155655
20,14.0,0.0,49.0,71.23467826843262,2126.2260522842407
21,17.0,0.0,48.0,73.47562527656555,2164.9695138931274
22,17.0,0.0,49.0,75.9251778125763,2154.830112695694
23,16.0,0.0,49.0,74.03799772262573,2159.6625669002533
24,14.0,0.0,50.0,71.03519916534424,2145.9249358177185
25,13.0,0.0,49.0,67.01938700675964,2168.698387861252
26,12.0,0.0,48.0,63.894020795822144,2164.896205663681
27,16.0,0.0,50.0,75.50007510185242,2121.9152166843414
28,14.0,0.0,47.0,63.18698740005493,1908.1452431678772
29,15.0,0.0,50.0,65.20843744277954,1894.9055542945862
30,16.0,0.0,50.0,67.36505651473999,1898.3747971057892
31,12.0,0.0,49.0,61.06001830101013,1920.4814643859863
32,17.0,0.0,47.0,68.32401418685913,1914.6286008358002
33,17.0,0.0,49.0,69.09742903709412,1898.096682548523
34,16.0,0.0,48.0,66.91683650016785,1954.2743015289307
35,13.0,0.0,47.0,60.616920709609985,1936.4109902381897
36,15.0,0.0,49.0,65.92897653579712,1915.9935233592987
37,15.0,0.0,48.0,66.01558947563171,1931.5776352882385
38,15.0,0.0,50.0,65.37683391571045,1939.8672466278076
39,15.0,0.0,48.0,68.27344465255737,1910.6867280006409
40,15.0,0.0,49.0,66.20407390594482,1927.4123482704163
41,13.0,0.0,50.0,61.75882911682129,1934.9083433151245
42,12.0,0.0,50.0,58.09181261062622,1886.2887554168701
43,15.0,0.0,49.0,65.34684181213379,1916.930049419403
44,12.0,0.0,48.0,61.63619899749756,1949.4291262626648
45,14.0,0.0,48.0,63.22337627410889,1907.3778064250946
46,14.0,0.0,50.0,63.96003437042236,2015.5869393348694
47,13.0,0.0,49.0,74.32223272323608,2212.7424528598785
48,13.0,0.0,50.0,72.00834250450134,2207.750083208084
49,13.0,0.0,48.0,72.59983396530151,2205.8884077072144
50,14.0,0.0,48.0,72.15806269645691,2228.3653271198273
51,14.0,0.0,46.0,73.3978955745697,2203.043650865555
52,16.0,0.0,47.0,81.74323225021362,2234.3050620555878
53,12.0,0.0,50.0,70.8088219165802,2216.2282848358154
54,13.0,0.0,47.0,71.86270046234131,2216.488734483719
55,13.0,0.0,48.0,73.14897632598877,2224.3179461956024
56,13.0,0.0,49.0,73.73937749862671,2243.2557899951935
57,15.0,0.0,43.0,78.39520692825317,2236.8758194446564
58,15.0,0.0,50.0,79.24766039848328,2276.3213198184967
59,15.0,0.0,50.0,78.55867385864258,2262.542287826538
60,17.0,0.0,49.0,82.80043339729309,2252.7372722625732
61,15.0,0.0,49.0,79.29013419151306,2291.391232252121
62,16.0,0.0,47.0,81.85321688652039,2259.287098646164
63,15.0,0.0,47.0,79.94171833992004,2295.655345916748
64,12.0,0.0,50.0,71.7281436920166,2240.224983692169
65,11.0,0.0,48.0,68.84126782417297,2225.221981048584
66,18.0,0.0,48.0,86.62710165977478,2266.096460342407
67,13.0,0.0,48.0,73.68419480323792,2251.71737408638
68,15.0,0.0,48.0,79.99222993850708,2265.3371493816376
69,14.0,0.0,49.0,73.77331924438477,2238.491567134857
70,15.0,0.0,48.0,78.53267884254456,2238.19557261467
71,17.0,0.0,50.0,84.29643607139587,2251.33696436882
72,14.0,0.0,47.0,76.674631357193,2234.4518353939056
73,14.0,0.0,50.0,77.60445356369019,2242.691940307617
74,14.0,0.0,49.0,75.41906356811523,2237.471773147583
75,16.0,0.0,49.0,76.32674384117126,2225.6484746932983
76,17.0,0.0,48.0,83.09446048736572,2234.962504863739
77,15.0,0.0,50.0,79.03019452095032,2248.853048324585
78,15.0,0.0,50.0,80.59287691116333,2265.7980058193207
79,18.0,0.0,48.0,84.84273076057434,2242.1943917274475
80,16.0,0.0,49.0,81.82707810401917,2235.7457439899445
81,15.0,0.0,49.0,79.32253646850586,2253.546513080597
82,15.0,0.0,50.0,78.15493583679199,2178.9179112911224
83,15.0,0.0,47.0,70.18566536903381,2113.8219270706177
84,14.0,0.0,50.0,68.83816909790039,2093.825310230255
85,17.0,0.0,50.0,79.10254955291748,2102.189447402954
86,19.0,0.0,47.0,80.8748722076416,2055.034284353256
87,11.0,0.0,48.0,61.010069847106934,2077.680032968521
88,11.0,0.0,49.0,60.57077932357788,2057.5799169540405
89,17.0,0.0,49.0,71.82275199890137,2025.7324531078339
90,17.0,0.0,48.0,70.77501654624939,2079.359081029892
91,15.0,0.0,50.0,67.91875767707825,2103.4843261241913
92,17.0,0.0,49.0,73.71407580375671,2249.4880590438843
93,19.0,0.0,49.0,85.94781732559204,2242.799209356308
94,15.0,0.0,49.0,79.0057418346405,2202.6346385478973
95,18.0,0.0,48.0,80.86034870147705,2249.1713452339172
96,16.0,0.0,50.0,81.26625347137451,2206.6384608745575
97,16.0,0.0,50.0,78.16355419158936,2174.7778573036194
98,13.0,0.0,49.0,72.32855296134949,2169.1382246017456
99,15.0,0.0,49.0,77.5850043296814,2162.898244857788
