,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,160.29372024536133,4826.0356566905975
1,15.0,0.0,49.0,164.6608452796936,4847.737766504288
2,9.0,0.0,46.0,129.89769458770752,4789.215054988861
3,14.0,0.0,47.0,161.0805480480194,4650.575763225555
4,15.0,0.0,47.0,153.38473629951477,4568.94789481163
5,14.0,0.0,49.0,153.90030145645142,4653.476560592651
6,12.0,0.0,49.0,150.26380062103271,4656.705629825592
7,16.0,0.0,49.0,166.76837015151978,4675.148234367371
8,14.0,0.0,49.0,155.20911860466003,4613.04562497139
9,13.0,0.0,49.0,149.81779026985168,4680.814651250839
10,18.0,0.0,48.0,172.61759233474731,4692.356376171112
11,15.0,0.0,50.0,165.06355690956116,4640.152113676071
12,14.0,0.0,48.0,160.11037373542786,4639.431925535202
13,17.0,0.0,49.0,171.04186296463013,4634.532175540924
14,18.0,0.0,49.0,172.68273305892944,4517.942144870758
15,14.0,0.0,48.0,143.71392154693604,4560.9731912612915
16,20.0,0.0,48.0,176.57710552215576,4507.154657125473
17,13.0,0.0,49.0,139.2175452709198,4479.986789464951
18,12.0,0.0,48.0,136.4932165145874,4484.646718978882
19,16.0,0.0,48.0,156.76125526428223,4555.139937639236
20,14.0,0.0,49.0,153.5597960948944,4529.017958879471
21,17.0,0.0,48.0,173.0356640815735,4684.990671634674
22,17.0,0.0,49.0,167.5006468296051,4746.712080955505
23,16.0,0.0,49.0,167.5461950302124,4780.238300561905
24,14.0,0.0,50.0,163.55281329154968,4794.7511332035065
25,13.0,0.0,49.0,159.08395648002625,4888.512740850449
26,12.0,0.0,48.0,157.31644320487976,4895.702297449112
27,17.0,0.0,50.0,179.15898537635803,4885.954339981079
28,14.0,0.0,47.0,158.89734554290771,4909.352152585983
29,15.0,0.0,50.0,170.98704648017883,4874.603776693344
30,16.0,0.0,50.0,175.38507866859436,4896.901691436768
31,12.0,0.0,49.0,153.4827756881714,4894.257123470306
32,17.0,0.0,47.0,178.80137419700623,4917.160463094711
33,17.0,0.0,49.0,179.35637736320496,4667.000309705734
34,17.0,0.0,48.0,163.92140889167786,4648.29474234581
35,13.0,0.0,47.0,151.81889986991882,4734.994407653809
36,15.0,0.0,49.0,160.11065196990967,4666.970052719116
37,15.0,0.0,48.0,166.3545548915863,4592.756071567535
38,15.0,0.0,50.0,152.16901087760925,4475.207831859589
39,14.0,0.0,48.0,146.93758511543274,4198.159289360046
40,14.0,0.0,49.0,139.37745666503906,4276.895337104797
41,13.0,0.0,50.0,144.58611464500427,4495.181218147278
42,12.0,0.0,50.0,148.8799331188202,4794.16899061203
43,15.0,0.0,49.0,167.201899766922,4859.388663768768
44,12.0,0.0,48.0,151.6478190422058,4699.883811473846
45,14.0,0.0,48.0,157.81395196914673,4574.688948392868
46,14.0,0.0,50.0,147.4063436985016,4557.635324239731
47,13.0,0.0,49.0,146.91640877723694,4590.248154401779
48,13.0,0.0,50.0,146.1208689212799,4498.855374097824
49,13.0,0.0,48.0,142.83917236328125,4561.313554525375
50,14.0,0.0,48.0,151.946542263031,4572.12822675705
51,14.0,0.0,46.0,146.15071368217468,4543.172463655472
52,16.0,0.0,47.0,166.9544484615326,4589.0256497859955
53,12.0,0.0,50.0,139.0115830898285,4489.519227981567
54,14.0,0.0,47.0,146.08638763427734,4461.824500799179
55,13.0,0.0,48.0,139.96777176856995,4430.595550537109
56,13.0,0.0,49.0,139.69432067871094,4248.489625692368
57,15.0,0.0,43.0,145.3558177947998,4557.637478590012
58,15.0,0.0,50.0,154.38166284561157,4506.157917499542
59,15.0,0.0,50.0,152.56392788887024,4425.7461104393005
60,15.0,0.0,49.0,154.23629069328308,4337.457287073135
61,15.0,0.0,49.0,147.99993562698364,4188.861179113388
62,16.0,0.0,47.0,150.02387475967407,4384.692207336426
63,15.0,0.0,47.0,146.47602343559265,4256.005616188049
64,12.0,0.0,50.0,129.61105275154114,4170.6637489795685
65,11.0,0.0,48.0,125.21064972877502,4148.724448680878
66,18.0,0.0,48.0,153.75401306152344,4160.4982833862305
67,13.0,0.0,48.0,132.59740734100342,4098.91644692421
68,15.0,0.0,48.0,141.54685235023499,4152.748985290527
69,14.0,0.0,49.0,139.8710458278656,4144.8547966480255
70,15.0,0.0,48.0,153.3065323829651,4254.048483371735
71,17.0,0.0,50.0,161.4258770942688,4529.6811606884
72,14.0,0.0,47.0,144.56329917907715,4320.524300575256
73,14.0,0.0,50.0,150.43665170669556,4253.629363059998
74,14.0,0.0,49.0,143.65713119506836,4147.40839266777
75,16.0,0.0,49.0,145.72087502479553,4089.7011601924896
76,17.0,0.0,48.0,150.56686735153198,4162.690389633179
77,15.0,0.0,50.0,141.33627104759216,4121.781400203705
78,15.0,0.0,50.0,145.55401968955994,4148.971871852875
79,18.0,0.0,48.0,156.87056064605713,4077.2460193634033
80,16.0,0.0,49.0,143.41532349586487,4061.3735513687134
81,15.0,0.0,49.0,136.85104656219482,4394.0987639427185
82,15.0,0.0,50.0,153.7246913909912,4375.331217288971
83,15.0,0.0,47.0,148.99801349639893,4433.08393406868
84,14.0,0.0,50.0,137.27934288978577,4047.80162358284
85,17.0,0.0,50.0,148.4259877204895,4055.9131383895874
86,19.0,0.0,47.0,157.6708984375,4067.285200357437
87,11.0,0.0,48.0,128.10539436340332,3997.45960855484
88,11.0,0.0,49.0,131.14847612380981,3999.19113445282
89,16.0,0.0,49.0,140.9953010082245,4058.750998735428
90,17.0,0.0,48.0,150.99632000923157,4090.5026490688324
91,15.0,0.0,50.0,138.72850346565247,4050.205943107605
92,17.0,0.0,49.0,146.27062249183655,4092.4269156455994
93,19.0,0.0,49.0,161.52405714988708,4091.774734735489
94,15.0,0.0,49.0,142.40909123420715,4284.246368408203
95,18.0,0.0,48.0,172.70457816123962,4775.935045003891
96,16.0,0.0,50.0,172.58508038520813,4557.917843103409
97,16.0,0.0,50.0,153.60524654388428,4290.445877790451
98,13.0,0.0,49.0,143.62264823913574,4577.0397737026215
99,15.0,0.0,49.0,155.92980098724365,4562.67719078064
