,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,87.73466444015503,2880.3715221881866
1,15.0,0.0,49.0,87.7985520362854,2833.873305082321
2,9.0,0.0,46.0,70.9484601020813,2756.5704197883606
3,14.0,0.0,47.0,86.45846557617188,2749.4385809898376
4,15.0,0.0,47.0,89.57007932662964,2807.4934258461
5,14.0,0.0,49.0,83.26741600036621,2622.2890248298645
6,12.0,0.0,49.0,71.84717130661011,2644.8388493061066
7,16.0,0.0,49.0,82.3024640083313,2673.2134733200073
8,14.0,0.0,49.0,79.3203432559967,2616.917298078537
9,13.0,0.0,49.0,80.90891408920288,2699.651676416397
10,18.0,0.0,48.0,96.44244027137756,2703.1198732852936
11,15.0,0.0,50.0,82.60496401786804,2585.3587822914124
12,14.0,0.0,48.0,78.55356240272522,2650.3808674812317
13,17.0,0.0,49.0,95.12748003005981,2673.069702386856
14,18.0,0.0,49.0,96.79939532279968,2763.3646030426025
15,14.0,0.0,48.0,87.24808144569397,2680.7503595352173
16,20.0,0.0,48.0,94.16790723800659,2589.7659192085266
17,13.0,0.0,49.0,76.93943810462952,2558.1201663017273
18,12.0,0.0,48.0,72.84163522720337,2578.734066963196
19,16.0,0.0,48.0,84.02332592010498,2597.170568227768
20,14.0,0.0,49.0,81.97591876983643,2551.2926802635193
21,17.0,0.0,48.0,86.68902635574341,2577.7156703472137
22,17.0,0.0,49.0,90.42711305618286,2594.1648569107056
23,16.0,0.0,49.0,84.15953397750854,2565.115516424179
24,14.0,0.0,50.0,78.49814867973328,2565.2363142967224
25,13.0,0.0,49.0,79.17502784729004,2592.243001461029
26,12.0,0.0,48.0,81.96902179718018,2567.764399766922
27,17.0,0.0,50.0,87.99066424369812,2588.4278297424316
28,14.0,0.0,47.0,81.7835590839386,2733.243393421173
29,15.0,0.0,50.0,84.0224986076355,2702.8179745674133
30,16.0,0.0,50.0,87.4406967163086,2661.5232017040253
31,12.0,0.0,49.0,75.3910436630249,2709.8711833953857
32,17.0,0.0,47.0,89.68271493911743,2707.6630985736847
33,17.0,0.0,49.0,91.92963123321533,2671.0519168376923
34,17.0,0.0,48.0,86.05208086967468,2621.3735308647156
35,13.0,0.0,47.0,81.39860963821411,2760.2166137695312
36,15.0,0.0,49.0,86.25436401367188,2719.7943000793457
37,15.0,0.0,48.0,87.79208374023438,2706.142925977707
38,15.0,0.0,50.0,93.47066736221313,2712.0232303142548
39,14.0,0.0,48.0,84.88043642044067,2712.8242785930634
40,14.0,0.0,49.0,82.48255801200867,2707.988691806793
41,13.0,0.0,50.0,84.22956895828247,2688.160490512848
42,12.0,0.0,50.0,75.59658622741699,2680.5635364055634
43,15.0,0.0,49.0,91.06475305557251,2682.9320809841156
44,12.0,0.0,48.0,77.18977737426758,2740.8074736595154
45,14.0,0.0,48.0,85.35389447212219,2666.638624191284
46,14.0,0.0,50.0,81.32323789596558,2712.1554651260376
47,13.0,0.0,49.0,87.47401690483093,2737.792104959488
48,13.0,0.0,50.0,81.68358063697815,2705.504988193512
49,13.0,0.0,48.0,80.49467253684998,2753.739609003067
50,14.0,0.0,48.0,87.41917371749878,2805.091626882553
51,14.0,0.0,46.0,81.9734308719635,2790.094707965851
52,16.0,0.0,47.0,90.95607948303223,2813.0852415561676
53,12.0,0.0,50.0,82.98688650131226,2809.841956615448
54,14.0,0.0,47.0,87.4860897064209,2728.194610595703
55,13.0,0.0,48.0,85.9559850692749,2720.3149416446686
56,13.0,0.0,49.0,86.097243309021,2700.5381615161896
57,15.0,0.0,43.0,85.28815340995789,2579.5488138198853
58,15.0,0.0,50.0,84.92272233963013,2572.2563664913177
59,15.0,0.0,50.0,78.22593474388123,2575.458908557892
60,15.0,0.0,49.0,86.61178755760193,2557.4977736473083
61,15.0,0.0,49.0,81.04307270050049,2539.848000049591
62,16.0,0.0,47.0,79.58041548728943,2512.5986790657043
63,15.0,0.0,47.0,80.66955661773682,2559.499074459076
64,12.0,0.0,50.0,71.56838274002075,2469.408575296402
65,11.0,0.0,48.0,69.25384497642517,2813.8391830921173
66,18.0,0.0,48.0,101.1821436882019,2853.1680974960327
67,13.0,0.0,48.0,87.21023416519165,2824.7722816467285
68,15.0,0.0,48.0,91.7989182472229,2837.2341516017914
69,14.0,0.0,49.0,88.341392993927,2837.4334201812744
70,15.0,0.0,48.0,90.28288650512695,2838.773422241211
71,17.0,0.0,50.0,94.61553430557251,2812.648367166519
72,14.0,0.0,47.0,84.82955408096313,2783.9873678684235
73,14.0,0.0,50.0,88.71219730377197,2784.4380807876587
74,14.0,0.0,49.0,82.80449438095093,2752.9136209487915
75,16.0,0.0,49.0,89.23499083518982,2788.1286313533783
76,17.0,0.0,48.0,94.29819583892822,2791.40736079216
77,15.0,0.0,50.0,91.84037280082703,2776.032389163971
78,15.0,0.0,50.0,89.74571299552917,2783.3037526607513
79,18.0,0.0,48.0,99.84002113342285,2769.4900918006897
80,16.0,0.0,49.0,96.35635089874268,2830.1059176921844
81,15.0,0.0,49.0,92.06800699234009,2818.9815220832825
82,15.0,0.0,50.0,91.9889976978302,2760.3349142074585
83,15.0,0.0,47.0,86.95267820358276,2804.620170354843
84,14.0,0.0,50.0,81.01945352554321,2710.1556537151337
85,17.0,0.0,50.0,93.63674688339233,2771.23911857605
86,19.0,0.0,47.0,98.14323377609253,2862.772624015808
87,11.0,0.0,48.0,77.92519974708557,2752.094905614853
88,11.0,0.0,49.0,72.87767386436462,2656.4879779815674
89,16.0,0.0,49.0,82.82512927055359,2497.542741060257
90,17.0,0.0,48.0,85.07644844055176,2821.894958972931
91,15.0,0.0,50.0,88.3417739868164,2832.0035178661346
92,17.0,0.0,49.0,91.17922806739807,2745.4327952861786
93,19.0,0.0,49.0,103.32592415809631,2733.3173067569733
94,15.0,0.0,49.0,87.79812169075012,2687.6813678741455
95,18.0,0.0,48.0,92.26103568077087,2702.4202539920807
96,16.0,0.0,50.0,93.263587474823,2720.218117952347
97,16.0,0.0,50.0,85.61027598381042,2734.9317104816437
98,13.0,0.0,49.0,83.99814629554749,2832.825603246689
99,15.0,0.0,49.0,92.6840033531189,2855.8001720905304
