,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,29.0,58.0,3.141650915145874,1.368050823119023e-10
1,29.0,49.0,2.8921287059783936,8.023488487324742e-11
2,30.0,61.0,3.189465284347534,1.1232769673993742e-10
3,30.0,44.0,2.57670521736145,1.1341214564522736e-10
4,28.0,65.0,3.5918707847595215,5.700671667607287e-11
5,31.0,52.0,2.7935147285461426,1.3483205224173463e-10
6,31.0,62.0,3.1626486778259277,9.481683206211728e-11
7,30.0,69.0,3.326259136199951,4.1542870636213065e-11
8,30.0,61.0,2.8960134983062744,8.64691679775308e-11
9,29.0,64.0,3.142657995223999,1.2355004838389225e-10
10,32.0,57.0,2.85406494140625,1.2585353478409866e-10
11,32.0,58.0,2.929802894592285,1.282177147109873e-10
12,29.0,52.0,2.676292896270752,1.3002726659532571e-10
13,31.0,78.0,4.05678391456604,1.339059598718932e-10
14,31.0,60.0,3.052302360534668,3.061406122402881e-11
15,27.0,59.0,2.9112133979797363,1.0953888019711972e-10
16,30.0,51.0,2.6694934368133545,1.6047368093708006e-10
17,31.0,49.0,2.6553876399993896,7.978292387435897e-11
18,31.0,51.0,2.7304913997650146,4.5983514068188606e-11
19,31.0,54.0,2.917994260787964,1.2476948677751359e-10
20,29.0,57.0,2.7754452228546143,1.1131668316976481e-10
21,31.0,47.0,2.7207586765289307,5.872702509059049e-11
22,32.0,64.0,3.310159206390381,1.2347688236386023e-10
23,32.0,57.0,3.007873296737671,1.0966315947410943e-10
24,30.0,66.0,3.2866954803466797,1.0568068722898044e-10
25,30.0,66.0,3.240316152572632,1.7010240182403758e-10
26,32.0,51.0,2.841369867324829,1.572996040716527e-10
27,30.0,50.0,2.632866382598877,4.3936118112545264e-11
28,32.0,62.0,3.0835652351379395,1.1475585883451168e-10
29,32.0,45.0,2.810577630996704,9.808506217573234e-11
30,31.0,66.0,3.4165186882019043,1.3415309868734187e-10
31,31.0,51.0,2.874079704284668,8.003239318678408e-11
32,32.0,58.0,3.101104259490967,1.1389715806042058e-10
33,32.0,55.0,2.9326772689819336,1.2705509249995611e-10
34,32.0,56.0,3.108943462371826,9.624974926859433e-11
35,31.0,50.0,2.7646987438201904,1.2788949633521394e-10
36,32.0,71.0,3.5826022624969482,1.508111946768047e-10
37,32.0,69.0,3.6060333251953125,1.2538787467279887e-10
38,32.0,61.0,3.25787615776062,1.1062786045932595e-10
39,29.0,42.0,2.6489806175231934,1.16225824230838e-10
40,30.0,63.0,3.152409791946411,1.6834021043760193e-10
41,31.0,42.0,2.5327656269073486,1.3091179509307294e-10
42,29.0,60.0,3.1006500720977783,5.947686883714815e-11
43,31.0,51.0,2.9390311241149902,8.44605460117474e-11
44,31.0,45.0,2.6924421787261963,5.417424701417435e-11
45,31.0,67.0,3.3628687858581543,1.434040019603174e-10
46,30.0,53.0,2.9483115673065186,9.362449818119118e-11
47,30.0,71.0,3.685128927230835,6.909195549357341e-11
48,30.0,55.0,2.988833427429199,1.3404821523660455e-10
49,30.0,59.0,3.059630870819092,1.2665729254446824e-10
50,32.0,64.0,3.3296546936035156,7.722192601768964e-11
51,32.0,52.0,3.062588930130005,1.0427754232143505e-10
52,32.0,68.0,3.426342010498047,1.140730974543829e-10
53,31.0,55.0,2.9307620525360107,8.560633881801061e-11
54,32.0,47.0,2.850191593170166,1.124679181742885e-10
55,31.0,52.0,2.9004814624786377,4.021874833720103e-11
56,30.0,53.0,2.9019179344177246,1.3972243668907913e-10
57,31.0,52.0,2.9492785930633545,1.1498718879034572e-10
58,32.0,68.0,3.5230236053466797,1.4131762986234711e-10
59,30.0,55.0,3.1216771602630615,1.3540069142213352e-10
60,32.0,58.0,3.0400936603546143,1.2301595925147188e-10
61,31.0,55.0,3.0738494396209717,1.191907805247224e-10
62,32.0,64.0,3.435616970062256,4.9051188444076476e-11
63,32.0,67.0,3.598212957382202,1.1028340550825379e-10
64,31.0,41.0,2.3955938816070557,1.1379950545498652e-10
65,31.0,62.0,3.1324007511138916,1.2095664310714783e-10
66,31.0,59.0,3.1132936477661133,9.07309042504481e-11
67,31.0,59.0,3.1099283695220947,1.5063114080324564e-10
68,29.0,66.0,3.3037829399108887,7.073328521812207e-11
69,29.0,46.0,2.6401939392089844,1.0434922682046286e-10
70,31.0,49.0,2.7861924171447754,9.257746772658079e-11
71,31.0,50.0,2.9077725410461426,8.672888746330901e-11
72,31.0,49.0,2.8184168338775635,1.5006994493224982e-10
73,31.0,53.0,2.867788791656494,1.3923077482263972e-10
74,29.0,50.0,2.7852044105529785,5.789341868571802e-11
75,32.0,60.0,3.234938144683838,1.0595179868641188e-10
76,31.0,52.0,3.0595757961273193,1.0652608943294122e-10
77,32.0,61.0,3.2818613052368164,1.358497010044474e-10
78,32.0,64.0,3.564039468765259,1.2855537409022423e-10
79,29.0,49.0,2.920012950897217,1.2249026765514634e-10
80,30.0,62.0,3.2720348834991455,4.394623754645612e-11
