,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,46.0,0.0,72.69148850440979,1.3827223080096282e-05
1,47.0,0.0,70.75931692123413,1.2553175768463176e-05
2,45.0,0.0,75.96986627578735,1.220403229749632e-05
3,46.0,0.0,75.92933750152588,1.0946952868869622e-05
4,46.0,0.0,75.63000965118408,1.3499204772714275e-05
5,46.0,0.0,76.83462381362915,1.3053232606906283e-05
6,47.0,0.0,77.5118887424469,1.4283572504356622e-05
7,49.0,0.0,80.40892505645752,1.3859695967734804e-05
8,47.0,0.0,79.05391311645508,1.3141935259576787e-05
9,48.0,0.0,77.73271799087524,1.2555827164295559e-05
10,46.0,0.0,72.5547513961792,1.082705033913365e-05
11,45.0,0.0,77.45097517967224,1.380238069859957e-05
12,48.0,0.0,74.97900056838989,1.0523440207141558e-05
13,47.0,0.0,79.63400530815125,1.2786281666149207e-05
14,49.0,0.0,81.07897281646729,1.2507867276643912e-05
15,47.0,0.0,75.2596321105957,1.0396773846673735e-05
16,49.0,0.0,76.1235466003418,1.3251005732047912e-05
17,49.0,0.0,78.47774529457092,1.2901663555293098e-05
18,48.0,0.0,74.20859289169312,1.2166563248430081e-05
19,41.0,0.0,68.64659404754639,1.3337888719290133e-05
20,49.0,0.0,77.1941397190094,1.3201178511001433e-05
21,49.0,0.0,78.60970187187195,1.1835905502117628e-05
22,49.0,0.0,79.57357025146484,1.2785503028866052e-05
23,46.0,0.0,93.26866602897644,1.2840474466151993e-05
24,48.0,0.0,75.8814845085144,1.3096713596652478e-05
25,49.0,0.0,93.49795794487,1.2961924368838441e-05
26,49.0,0.0,75.73413920402527,1.2277804215204127e-05
27,49.0,0.0,69.17368483543396,1.175023194012117e-05
28,46.0,0.0,90.83976221084595,1.3849912183657789e-05
29,47.0,0.0,77.62066650390625,1.3724372522154431e-05
30,49.0,0.0,79.0837082862854,1.2307167401324362e-05
31,49.0,0.0,87.02126288414001,1.2542746821790134e-05
32,45.0,0.0,69.76955056190491,1.1810517658947292e-05
33,49.0,0.0,78.45344471931458,1.2438800246971521e-05
34,50.0,0.0,92.19638919830322,1.2793752821129253e-05
35,50.0,0.0,71.30522274971008,1.001591669454534e-05
36,45.0,0.0,73.75510764122009,1.3281887669643001e-05
37,50.0,0.0,93.81846332550049,1.4731797970268444e-05
38,47.0,0.0,76.0392096042633,1.3902484098151219e-05
39,48.0,0.0,79.74094295501709,1.3245489005917694e-05
40,49.0,0.0,93.44588589668274,1.3429771167339342e-05
41,48.0,0.0,75.15650224685669,1.2823783083914518e-05
42,49.0,0.0,77.81805396080017,1.412481924454197e-05
