,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,10.0,25.0,14.003715991973877,-0.4591407787588082
1,8.0,33.0,21.33255410194397,-0.4612188737244651
2,8.0,30.0,22.59505796432495,-0.45634401413109704
3,8.0,16.0,17.040321111679077,-0.4577779534143975
4,8.0,24.0,20.914932012557983,-0.4452970211744998
5,10.0,26.0,26.480113983154297,-0.4456752525821179
6,10.0,27.0,25.054157972335815,-0.4503333132116792
7,10.0,17.0,15.327409982681274,-0.45323981618468673
8,10.0,19.0,8.67733120918274,-0.47613827221333616
9,9.0,30.0,14.420806169509888,-0.4540308338104927
10,8.0,16.0,9.359808921813965,-0.459988788858269
11,8.0,35.0,15.532783031463623,-0.4446513326822398
12,10.0,20.0,11.111393928527832,-0.48534623184363135
13,9.0,24.0,10.602398157119751,-0.4580655268074411
14,8.0,21.0,10.932951927185059,-0.4575131098883047
15,9.0,27.0,13.008494138717651,-0.449962731586149
16,9.0,15.0,9.965071201324463,-0.45023722757553597
17,8.0,28.0,13.151631832122803,-0.4438149256024658
18,9.0,26.0,12.272382020950317,-0.4556210953752832
19,8.0,27.0,12.76598596572876,-0.4476953394219057
20,10.0,25.0,9.774140119552612,-0.46526786585294344
21,10.0,20.0,7.66762375831604,-0.44145712073315585
22,10.0,37.0,11.810416221618652,-0.44439447780162766
23,9.0,29.0,10.233453035354614,-0.4631438576348587
24,10.0,19.0,8.106779098510742,-0.4483150757691707
25,9.0,15.0,6.69370698928833,-0.4509032800623819
26,10.0,22.0,8.497411012649536,-0.4572306767529892
27,8.0,18.0,7.062147855758667,-0.4496200310671189
28,10.0,21.0,8.548115968704224,-0.44862397290081213
29,8.0,22.0,7.610995769500732,-0.4531676996239469
30,8.0,18.0,7.249536752700806,-0.45651688560573156
31,9.0,29.0,9.972908020019531,-0.45663770878220394
32,9.0,24.0,9.470442056655884,-0.4755461085039739
33,10.0,21.0,8.533734798431396,-0.44847574176034716
34,10.0,12.0,6.301978826522827,-0.4499675420027998
35,10.0,18.0,7.644158840179443,-0.4584429540719018
36,10.0,27.0,9.320482015609741,-0.4466905103254708
37,10.0,23.0,8.563273906707764,-0.451947860727445
38,7.0,27.0,9.02616000175476,-0.44767168220645037
39,8.0,33.0,11.150540113449097,-0.4571843864528629
40,7.0,19.0,7.337763071060181,-0.44149514225999964
41,8.0,21.0,7.76066517829895,-0.45450951086180974
42,9.0,22.0,7.721936941146851,-0.45679280943774536
43,10.0,30.0,9.719795942306519,-0.44684115904268984
44,10.0,33.0,10.921737909317017,-0.4539004307098384
45,9.0,16.0,6.759396076202393,-0.45507613318500895
46,9.0,19.0,7.650682210922241,-0.4643155265090358
47,10.0,21.0,8.484408855438232,-0.4503555406515271
48,9.0,25.0,9.068646907806396,-0.45584091226751083
49,10.0,20.0,8.098254680633545,-0.45188789151727
50,10.0,28.0,9.58644986152649,-0.4500580302484545
51,9.0,28.0,9.92745304107666,-0.4480285516501089
52,8.0,15.0,6.578904867172241,-0.45173881680252864
53,10.0,9.0,5.655467748641968,-0.4572950358135825
54,10.0,24.0,9.920698165893555,-0.45004111701338145
55,8.0,22.0,8.375645875930786,-0.44752310703237985
56,9.0,21.0,7.96138596534729,-0.46097282142355694
57,10.0,31.0,10.45867919921875,-0.47814683387741685
58,8.0,21.0,7.58276891708374,-0.4480159286245254
59,9.0,26.0,11.447309017181396,-0.4541197055907986
60,9.0,19.0,8.591535091400146,-0.4548953842830078
61,9.0,20.0,9.583656072616577,-0.45275999407614753
62,10.0,21.0,10.528820991516113,-0.45169354703251796
63,9.0,23.0,10.36083698272705,-0.45419119905611943
64,8.0,27.0,13.47744607925415,-0.44537822958853646
65,8.0,13.0,7.872848033905029,-0.45560046237471297
66,8.0,30.0,15.758953094482422,-0.4593795631661523
67,8.0,28.0,15.719426155090332,-0.4493820108245123
68,9.0,26.0,12.73040509223938,-0.45970641787047156
69,10.0,25.0,10.731224775314331,-0.4558628018291027
70,10.0,27.0,12.698057889938354,-0.46440217048868937
71,10.0,24.0,11.297096014022827,-0.4576195288569587
72,9.0,14.0,10.15329098701477,-0.44467201598418166
73,10.0,25.0,13.549219131469727,-0.4480555367063889
74,7.0,22.0,11.511398792266846,-0.44575792480183923
75,10.0,26.0,13.39600396156311,-0.4436797139992709
76,8.0,27.0,13.1280357837677,-0.45558834317331043
77,9.0,36.0,16.105494022369385,-0.4484854837894001
78,9.0,24.0,12.96361494064331,-0.46079027450522486
79,9.0,13.0,8.746999025344849,-0.45482897419589463
80,7.0,18.0,10.786545991897583,-0.45599938135655477
81,8.0,15.0,8.564403057098389,-0.4523397016540237
82,8.0,21.0,11.853863954544067,-0.44851960017854725
83,8.0,19.0,9.142357110977173,-0.4526270349810032
84,10.0,24.0,11.263039112091064,-0.46044775802343635
85,10.0,24.0,12.276957988739014,-0.45125669649620404
86,8.0,18.0,9.733155250549316,-0.456155358083378
87,8.0,33.0,14.373366117477417,-0.4667193718062221
88,9.0,14.0,8.537146806716919,-0.4510693136585486
89,9.0,15.0,7.12549901008606,-0.45612180905429806
90,8.0,12.0,5.943396091461182,-0.4474037605954794
91,8.0,25.0,9.199725866317749,-0.46289812754326676
92,9.0,16.0,8.9304780960083,-0.46805042703071015
93,10.0,41.0,14.427920818328857,-0.4484758247745815
94,9.0,21.0,7.780948162078857,-0.44845867592642585
95,9.0,16.0,6.301255941390991,-0.4476616059558622
96,9.0,21.0,8.830295085906982,-0.47681484204271024
97,9.0,30.0,9.320436954498291,-0.466688703882449
98,9.0,21.0,7.779666185379028,-0.4548393260921689
99,8.0,21.0,8.542611837387085,-0.45723359563358856
