,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart
0,10.0,25.0,10.0,5.988875389099121,14.896315097808838,-0.4591407787587411,-0.4591407787587411
1,8.0,33.0,8.0,7.108092546463013,15.292847394943237,-0.4612188737240669,-0.4612188737240669
2,8.0,30.0,9.0,7.406406879425049,16.144384622573853,-0.4563440141296916,-0.4563440148282769
3,8.0,16.0,8.0,4.656350374221802,15.207839012145996,-0.45777795341248584,-0.45777795341248584
4,8.0,24.0,8.0,5.7047154903411865,14.840628385543823,-0.4452970211750697,-0.4452970211750697
5,10.0,26.0,10.0,6.1983771324157715,14.936344623565674,-0.44567525257782575,-0.44567525257782575
6,10.0,27.0,10.0,6.542620420455933,15.590661764144897,-0.4503333132114909,-0.4503333132114909
7,10.0,17.0,10.0,4.789639711380005,14.774737119674683,-0.4532398161828729,-0.4532398161828729
8,10.0,18.0,10.0,4.710604906082153,14.365972757339478,-0.4761382722135595,-0.47613826999622083
9,9.0,30.0,9.0,6.374686241149902,14.359684228897095,-0.4540308338104962,-0.4540308338104962
10,8.0,14.0,8.0,4.020135164260864,13.644819974899292,-0.45998878885808453,-0.45998878885808453
11,8.0,34.0,10.0,6.701803684234619,13.93189811706543,-0.444651332682269,-0.444651332682269
12,10.0,20.0,10.0,4.67246150970459,12.567644119262695,-0.4853462318436868,-0.4853462318436868
13,9.0,23.0,9.0,4.982058763504028,13.34304928779602,-0.4580655268076562,-0.45806552447933135
14,8.0,21.0,9.0,5.015257120132446,14.299579381942749,-0.45751310988851995,-0.45751310988851995
15,9.0,27.0,9.0,5.817023277282715,14.230319023132324,-0.4499627315863204,-0.4499627315863204
16,9.0,14.0,10.0,4.050406217575073,13.681924104690552,-0.450237227573621,-0.450237227573621
17,8.0,28.0,9.0,5.844369411468506,14.056482791900635,-0.44381492560291597,-0.44381492560291597
18,9.0,26.0,9.0,5.633405685424805,13.669248104095459,-0.45562109537231066,-0.45562109537231066
19,8.0,27.0,8.0,5.509393930435181,13.345497608184814,-0.4476953394224945,-0.4476953394224945
20,10.0,25.0,10.0,5.314124345779419,13.322532892227173,-0.46526786585269486,-0.4652678674303871
21,10.0,20.0,10.0,4.716415882110596,13.218072175979614,-0.4414571207332302,-0.4414571207332302
22,10.0,37.0,10.0,7.360020875930786,14.050570726394653,-0.44439447780099495,-0.4443944759074213
23,9.0,29.0,9.0,6.44107723236084,14.738576889038086,-0.4631438576313049,-0.4631438576313049
