,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,32.0,43.0,4.603601455688477,-195.8308285188569
1,32.0,53.0,4.270149230957031,-195.83082851885712
2,32.0,55.0,4.286696672439575,-195.830828518853
3,32.0,36.0,3.758863687515259,-195.8308285188571
4,32.0,55.0,4.643217086791992,-195.8308285188557
5,32.0,58.0,5.353621959686279,-195.83082851885712
6,32.0,66.0,4.514285326004028,-195.83082851885712
7,32.0,47.0,3.8199052810668945,-195.8308285188571
8,32.0,48.0,4.177818536758423,-195.83082851885712
9,32.0,43.0,3.9590649604797363,-195.83082851885706
10,32.0,42.0,3.8813929557800293,-195.8308285188571
11,32.0,54.0,4.367221355438232,-195.830828518855
12,32.0,59.0,4.273525238037109,-195.83082851885672
13,32.0,41.0,4.001554727554321,-195.83082851885587
14,32.0,47.0,4.02987003326416,-195.8308285188571
15,32.0,47.0,4.030837297439575,-195.8308285188369
16,32.0,45.0,3.9199984073638916,-195.83082851885712
17,32.0,48.0,4.188565015792847,-195.8308285188571
18,32.0,62.0,4.420509338378906,-195.830828518857
19,32.0,69.0,4.773528099060059,-195.8308285188307
20,32.0,35.0,3.9302992820739746,-195.83082851884814
21,32.0,56.0,5.12412428855896,-195.83082851882293
22,32.0,47.0,4.890768527984619,-195.83082851872015
23,32.0,32.0,5.817019939422607,-195.83082851883796
24,32.0,40.0,5.483021974563599,-195.83082851873706
25,32.0,68.0,7.038223743438721,-195.8308285188566
26,32.0,59.0,6.659799337387085,-195.8308285188571
27,32.0,49.0,5.568031311035156,-195.8308285188571
28,32.0,59.0,6.3062803745269775,-195.83082851885712
29,32.0,59.0,4.866797208786011,-195.83082851885706
30,32.0,50.0,5.188098430633545,-195.8308285188511
31,32.0,45.0,3.955155611038208,-195.8308285188571
32,32.0,55.0,5.180282831192017,-195.830828518854
33,32.0,49.0,6.405890464782715,-195.8308285188571
34,32.0,49.0,5.780869245529175,-195.83082851883742
35,32.0,46.0,6.546520233154297,-195.83082851885706
36,32.0,55.0,6.7408607006073,-195.8308285188571
37,32.0,54.0,5.718383073806763,-195.8308285188571
38,32.0,58.0,5.652942180633545,-195.83082851885527
39,32.0,56.0,4.885359287261963,-195.83082851885487
40,32.0,56.0,4.466357707977295,-195.8308285188571
41,32.0,50.0,4.4034104347229,-195.8308285188571
42,32.0,55.0,4.4273364543914795,-195.83082851884623
43,32.0,62.0,4.938043594360352,-195.83082851885365
44,32.0,58.0,5.07972526550293,-195.8308285188571
45,32.0,45.0,4.752542972564697,-195.83082851885445
46,32.0,63.0,5.391229152679443,-195.83082851885706
47,32.0,63.0,6.061164379119873,-195.83082851885712
48,32.0,32.0,4.255505323410034,-195.8308285188571
49,32.0,60.0,4.4034154415130615,-195.8308285188571
50,32.0,48.0,4.373126745223999,-195.83082851885712
51,32.0,46.0,4.096271991729736,-195.83082851885592
52,32.0,57.0,5.316999912261963,-195.8308285188571
53,32.0,64.0,4.873638391494751,-195.8308285188571
54,32.0,63.0,4.720329284667969,-195.83082851885658
55,32.0,51.0,4.879040241241455,-195.83082851885712
56,32.0,51.0,4.473242282867432,-195.83082851885706
57,32.0,58.0,4.901954412460327,-195.8308285188571
58,32.0,35.0,4.135824203491211,-195.83082851885624
59,32.0,44.0,4.375582456588745,-195.8308285188571
60,32.0,48.0,4.425386905670166,-195.83082851877708
61,32.0,68.0,5.620726585388184,-195.83082851885632
62,32.0,52.0,4.30282735824585,-195.83082851880562
63,32.0,53.0,4.254487752914429,-195.8308285188571
64,32.0,42.0,4.313571453094482,-195.83082851885706
65,32.0,58.0,4.383393049240112,-195.83082851878936
66,32.0,55.0,4.739860773086548,-195.8308285188571
67,32.0,57.0,3.9912962913513184,-195.83082851885536
68,32.0,54.0,4.184671401977539,-195.83082851881284
69,32.0,43.0,3.7247021198272705,-195.83082851878336
70,32.0,43.0,3.6504733562469482,-195.83082851877168
71,32.0,87.0,4.610505819320679,-195.8308285188571
72,32.0,53.0,4.095310688018799,-195.83082851885138
73,32.0,76.0,5.39320969581604,-195.8308285188571
74,32.0,54.0,4.021092891693115,-195.8308285188571
75,32.0,44.0,3.8243067264556885,-195.83082851884706
76,32.0,45.0,4.022055149078369,-195.83082851885558
77,32.0,47.0,4.687099933624268,-195.83082851885712
78,32.0,49.0,3.78527569770813,-195.83082851885686
79,32.0,55.0,4.384840488433838,-195.8308285188571
80,32.0,58.0,4.360450744628906,-195.83082851885706
81,32.0,61.0,4.046025276184082,-195.8308285188571
82,32.0,45.0,3.6617043018341064,-195.8308285188571
83,32.0,41.0,3.648550033569336,-195.83082851885538
84,32.0,59.0,4.926364183425903,-195.83082851885695
85,32.0,45.0,4.440088987350464,-195.83082851885712
86,32.0,54.0,4.165663242340088,-195.83082851885712
87,32.0,53.0,3.729081630706787,-195.8308285188429
88,32.0,52.0,4.19644021987915,-195.83082851885712
89,32.0,47.0,3.6768312454223633,-195.83082851885712
90,32.0,54.0,4.063551187515259,-195.83082851885706
91,32.0,61.0,4.296025276184082,-195.8308285188571
92,32.0,58.0,4.2124998569488525,-195.8308285188571
93,32.0,61.0,3.8824148178100586,-195.83082851885712
94,32.0,42.0,3.820894718170166,-195.83082851885553
95,32.0,67.0,4.349710941314697,-195.8308285188571
96,32.0,56.0,3.981536626815796,-195.83082851884922
97,32.0,40.0,3.895597219467163,-195.8308285188571
98,32.0,41.0,3.643662929534912,-195.83082851885706
99,32.0,57.0,4.239843368530273,-195.83082851885672
