,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,31.0,54.0,4.134119033813477,1.4483367103457321e-10
1,30.0,56.0,4.31095814704895,8.37308077799284e-11
2,31.0,55.0,4.311100721359253,6.220453645085143e-11
3,31.0,65.0,4.925036907196045,7.139210621639793e-11
4,31.0,60.0,4.733560085296631,6.535885864328091e-11
5,32.0,58.0,5.13764500617981,1.2038312322716368e-10
6,30.0,63.0,4.884710311889648,7.139210621639793e-11
7,30.0,59.0,4.457758188247681,1.3559016050328908e-10
8,31.0,57.0,4.674031019210815,1.229752073899226e-10
9,32.0,70.0,5.446515798568726,1.5288291206024813e-10
10,30.0,56.0,4.703792333602905,1.3297902537751718e-10
11,31.0,54.0,4.496661901473999,5.207742923622998e-11
12,32.0,48.0,4.3846352100372314,1.4174394951928728e-10
13,32.0,61.0,5.09721302986145,5.207742923622998e-11
14,31.0,53.0,4.683604001998901,5.207742923622998e-11
15,32.0,53.0,4.820406198501587,1.2987380114043348e-10
16,32.0,53.0,4.779604911804199,1.1322363252693858e-10
17,32.0,66.0,5.636406183242798,1.3216680390252089e-10
18,32.0,63.0,5.120041131973267,1.3519883811343363e-10
19,32.0,46.0,4.206899881362915,1.2038312322716368e-10
20,31.0,60.0,4.772759199142456,1.2314820632721432e-10
21,30.0,54.0,4.673202037811279,1.4483367103457321e-10
22,32.0,56.0,4.984051942825317,1.126040012138577e-10
23,31.0,55.0,4.871361017227173,1.251578382220342e-10
24,31.0,47.0,4.2781500816345215,1.5116225450085072e-10
25,32.0,63.0,5.234663963317871,9.730597040066748e-11
26,29.0,57.0,4.637738943099976,1.2038312322716368e-10
27,32.0,54.0,4.764784812927246,1.4236622339775612e-10
28,29.0,51.0,4.263803005218506,6.220453645085143e-11
29,30.0,56.0,4.753312110900879,1.690195491364884e-10
30,31.0,53.0,4.818194150924683,9.195975827521638e-11
31,29.0,49.0,4.244931221008301,1.3284478102295384e-10
32,32.0,70.0,5.794116973876953,1.7536490399130407e-10
33,31.0,59.0,4.759392976760864,1.2933079640833337e-10
34,31.0,45.0,4.29922080039978,1.3216680390252089e-10
35,31.0,59.0,4.778006076812744,9.592399839049165e-11
36,31.0,62.0,4.76003623008728,1.229752073899226e-10
37,32.0,57.0,4.902139902114868,9.195975827521638e-11
38,30.0,59.0,4.8232457637786865,1.4483367103457321e-10
39,32.0,52.0,4.570621967315674,1.5804051790757374e-10
40,32.0,63.0,4.994222164154053,1.126040012138577e-10
41,32.0,67.0,5.3591389656066895,1.1486079520385855e-10
42,31.0,65.0,4.933705806732178,1.4775154356352393e-10
43,31.0,58.0,4.886005878448486,1.229752073899226e-10
