,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart
0,49.0,0.0,49.0,32.74662685394287,212.6163809299469,1.2127564018839548e-05,1.2127564018839548e-05
1,49.0,0.0,49.0,31.271546125411987,212.7504870891571,1.3129424224252995e-05,1.3129424224252995e-05
2,48.0,0.0,48.0,31.169116973876953,206.3988811969757,1.481985657598168e-05,1.481985657598168e-05
3,48.0,0.0,48.0,31.62740993499756,161.784441947937,1.1228078099851317e-05,1.1228078099851317e-05
4,47.0,0.0,47.0,23.606224060058594,161.84023308753967,1.4304961283057453e-05,1.4304961283057453e-05
5,49.0,0.0,49.0,24.47298312187195,159.60437393188477,1.2020951806573419e-05,1.2020951806573419e-05
6,49.0,0.0,49.0,23.372233867645264,172.79533886909485,1.2874331370791854e-05,1.2874331370791854e-05
7,49.0,0.0,49.0,39.88418626785278,228.48136711120605,1.0876923196121169e-05,1.0876923196121169e-05
8,48.0,0.0,48.0,31.830795764923096,209.5077087879181,1.3200138240425142e-05,1.3200138240425142e-05
9,49.0,0.0,49.0,31.6853666305542,237.27304816246033,1.2374947567619808e-05,1.2374947567619808e-05
10,47.0,0.0,47.0,30.584094047546387,211.93524813652039,1.067468646674404e-05,1.067468646674404e-05
11,43.0,0.0,43.0,29.50342082977295,209.76651072502136,1.311656249707122e-05,1.311656249707122e-05
12,49.0,0.0,49.0,31.267554759979248,203.90748286247253,1.2476841793562188e-05,1.2476841793562188e-05
13,47.0,0.0,47.0,30.55750608444214,212.66956782341003,1.1189254875144376e-05,1.1189254875144376e-05
14,50.0,0.0,50.0,32.11515498161316,181.69442105293274,1.3541890584729955e-05,1.3541890584729955e-05
15,47.0,0.0,47.0,23.03294014930725,161.00572609901428,1.138783186887229e-05,1.138783186887229e-05
16,47.0,0.0,47.0,24.67795729637146,166.6254608631134,1.0688955233389955e-05,1.0688955233389955e-05
17,47.0,0.0,47.0,28.92420983314514,208.66347122192383,1.0084548929883689e-05,1.0084548929883689e-05
