,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart
0,10.0,13.0,10.0,6.309026002883911,18.91289210319519,-0.9579055530352579,-0.9579055530352579
1,10.0,10.0,10.0,4.911723852157593,21.747404098510742,-0.9595317732112157,-0.9595317732112157
2,9.0,12.0,9.0,5.163912773132324,18.75145196914673,-0.9905251649352768,-0.9905251649352768
3,9.0,12.0,9.0,4.88248085975647,18.08704686164856,-0.8808562564119324,-0.8808562564119324
4,10.0,10.0,10.0,5.1926562786102295,15.073376893997192,-0.9363587579846075,-0.9363587579846075
5,10.0,4.0,10.0,2.840033769607544,14.646935224533081,-0.897884929015751,-0.897884929015751
6,10.0,14.0,10.0,4.537995100021362,14.908273935317993,-0.9543650134437878,-0.9543650134437878
7,10.0,13.0,10.0,4.312696218490601,13.936400890350342,-0.9665363727441595,-0.9665363727441595
8,10.0,8.0,10.0,3.3371529579162598,13.748709678649902,-0.9926183903969307,-0.9926183903969307
9,10.0,6.0,10.0,3.1460208892822266,14.269835948944092,-0.9717134023671058,-0.9717134023671058
10,9.0,18.0,9.0,4.888756036758423,14.764957189559937,-0.9738591714252103,-0.9738591714252103
11,9.0,3.0,9.0,2.6070101261138916,15.571720361709595,-0.999706374068355,-0.999706374068355
12,9.0,14.0,9.0,3.835127115249634,14.448355913162231,-0.9159207685259699,-0.9159207685259699
13,10.0,10.0,10.0,3.6077301502227783,14.031036853790283,-0.9740680184628066,-0.9740680184628066
14,9.0,6.0,9.0,3.0340628623962402,15.248220920562744,-0.997258156136506,-0.997258156136506
15,10.0,10.0,10.0,3.6892621517181396,14.954952001571655,-0.9969429332417156,-0.9969429332417156
16,10.0,10.0,10.0,3.696686029434204,14.401029825210571,-0.9543475455334287,-0.9543475455334287
17,10.0,7.0,10.0,3.510165214538574,14.354630947113037,-0.8752889029727171,-0.8752889029727171
18,10.0,9.0,10.0,3.423625946044922,14.41926622390747,-0.9929030572746392,-0.9929030572746392
19,10.0,12.0,10.0,4.097330808639526,14.022799968719482,-0.9662259711036544,-0.9662259711036544
20,10.0,8.0,10.0,3.366412878036499,14.176846027374268,-1.0180208216954096,-1.0180208216954096
21,10.0,7.0,10.0,3.1690621376037598,14.371644735336304,-0.9231291201367562,-0.9231291201367562
22,10.0,8.0,10.0,3.628101110458374,15.09519076347351,-0.9565321170276156,-0.9565321170276156
23,10.0,9.0,10.0,3.3595666885375977,14.082044124603271,-0.9545750558362266,-0.9545750558362266
24,10.0,8.0,10.0,3.396049737930298,14.737221240997314,-0.983727988250667,-0.983727988250667
25,10.0,7.0,10.0,3.2468059062957764,13.790809154510498,-0.9977783035153553,-0.9977783035153553
26,10.0,10.0,10.0,3.5977420806884766,14.271638870239258,-0.9254506686088267,-0.9254506686088267
27,9.0,5.0,9.0,3.009894847869873,15.391994714736938,-0.9890916310861354,-0.9890916310861354
28,10.0,6.0,10.0,3.470695972442627,18.29950189590454,-0.9539830852482304,-0.9539830852482304
29,10.0,3.0,10.0,3.640209197998047,20.93610119819641,-0.9986652871005642,-0.9986652871005642
30,9.0,8.0,9.0,3.990358591079712,18.81248116493225,-0.9690160635012413,-0.9690160635012413
31,10.0,8.0,10.0,3.5456366539001465,15.351559162139893,-0.9051985632472977,-0.9051985632472977
32,10.0,12.0,10.0,4.7002527713775635,17.3644597530365,-0.9807389093839189,-0.9807389093839189
33,9.0,6.0,9.0,3.0602591037750244,15.706661224365234,-0.9830256331711327,-0.9830256331711327
34,10.0,6.0,10.0,3.0849690437316895,14.87061882019043,-0.9290375378667919,-0.9290375378667919
35,10.0,7.0,10.0,3.3115718364715576,14.030679941177368,-0.9614218730286029,-0.9614218730286029
36,9.0,6.0,9.0,3.0815610885620117,14.401450157165527,-0.9009204239289695,-0.9009204239289695
37,10.0,11.0,10.0,3.987009048461914,14.272204637527466,-0.9345785877736925,-0.9345785877736925
38,10.0,15.0,10.0,4.586970329284668,14.558998107910156,-0.9748498302787584,-0.9748498302787584
39,9.0,16.0,9.0,4.315838098526001,13.953838109970093,-0.9826526831162772,-0.9826526831162772
40,10.0,9.0,10.0,3.490433931350708,13.922461986541748,-0.9888372532985654,-0.9888372532985654
41,10.0,8.0,10.0,3.498763084411621,14.757737874984741,-0.9848642234993327,-0.9848642234993327
42,10.0,5.0,10.0,2.984598159790039,14.1024329662323,-0.8972442717912033,-0.8972442717912033
43,10.0,4.0,10.0,2.856779098510742,14.279614925384521,-0.9692982802606385,-0.9692982802606385
44,9.0,5.0,10.0,2.9343206882476807,14.782119989395142,-0.9981066388848889,-0.9981066388848889
45,10.0,9.0,10.0,3.809084177017212,15.057155847549438,-0.9896412555015596,-0.9896412555015596
46,10.0,9.0,10.0,3.7128360271453857,14.615941762924194,-0.9768147296374051,-0.9768147296374051
47,9.0,11.0,9.0,3.638050079345703,15.184183120727539,-0.9115573911030315,-0.9115573911030315
48,10.0,7.0,10.0,3.2944178581237793,14.80023193359375,-0.722199325295011,-0.722199325295011
49,10.0,5.0,10.0,3.154202938079834,15.098642110824585,-0.9325446940442169,-0.9325446940442169
50,8.0,13.0,8.0,4.007769823074341,14.521812200546265,-0.9588568064148526,-0.9588568064148526
51,10.0,7.0,10.0,3.4202420711517334,14.338576793670654,-0.9779222529466478,-0.9779222529466478
52,9.0,13.0,9.0,4.209488153457642,14.089070081710815,-0.8909513697880851,-0.8909513697880851
53,10.0,19.0,10.0,4.771015882492065,13.676948070526123,-0.9854444587498289,-0.9854444587498289
54,10.0,10.0,10.0,3.591047763824463,14.52690076828003,-0.968415017175936,-0.968415017175936
55,10.0,7.0,10.0,3.4413702487945557,14.9372718334198,-0.9612259094539851,-0.9612259094539851
56,10.0,5.0,10.0,3.209169864654541,14.559688329696655,-0.9943451735206107,-0.9943451735206107
57,10.0,1.0,10.0,2.4756741523742676,14.37889575958252,-0.9660503151591455,-0.9660503151591455
58,8.0,7.0,8.0,3.1500768661499023,14.16658902168274,-0.9698106036743576,-0.9698106036743576
59,10.0,12.0,10.0,4.283589839935303,14.827817916870117,-0.9011949884285697,-0.9011949884285697
60,9.0,6.0,9.0,2.757812976837158,13.830275058746338,-0.9806479721785024,-0.9806479721785024
61,10.0,10.0,10.0,3.802945852279663,14.884695053100586,-0.9756699491555654,-0.9756699491555654
62,10.0,8.0,10.0,3.5246899127960205,15.192537069320679,-0.9280730566066773,-0.9280730566066773
63,9.0,3.0,9.0,2.6881847381591797,14.20634412765503,-0.916582444469254,-0.916582444469254
64,9.0,12.0,9.0,3.796692132949829,14.607229948043823,-0.9359887593813226,-0.9359887593813226
65,10.0,5.0,10.0,3.042241096496582,14.311967134475708,-0.8963353241844821,-0.8963353241844821
66,10.0,10.0,10.0,3.682403802871704,14.35810923576355,-0.9915618285439693,-0.9915618285439693
67,10.0,7.0,10.0,3.334237813949585,14.33629322052002,-0.9743777118310651,-0.9743777118310651
68,10.0,8.0,10.0,3.251629114151001,14.760218143463135,-0.9958693620996066,-0.9958693620996066
69,9.0,8.0,9.0,3.115077018737793,14.434125185012817,-0.9412273911015119,-0.9412273911015119
70,10.0,10.0,10.0,3.7225568294525146,14.394453048706055,-0.984805356544124,-0.984805356544124
71,10.0,11.0,10.0,3.729881763458252,14.51224398612976,-0.9841874495977897,-0.9841874495977897
72,9.0,10.0,9.0,3.4806900024414062,14.601032018661499,-0.9876245704237592,-0.9876245704237592
73,9.0,6.0,9.0,3.0533037185668945,14.455195188522339,-0.8736449657749741,-0.8736449657749741
74,10.0,11.0,10.0,3.920156955718994,14.374320983886719,-0.9909159968423812,-0.9909159969769589
75,8.0,14.0,8.0,4.02295184135437,14.706997871398926,-0.9793686452776866,-0.9793686452776866
76,8.0,8.0,9.0,3.1357338428497314,14.936438083648682,-0.9371507276331532,-0.9371507276331532
77,10.0,8.0,10.0,3.529085874557495,14.385563135147095,-0.9114000795872811,-0.9114000795872811
78,9.0,12.0,9.0,3.7902960777282715,14.594115972518921,-0.9257470941749778,-0.9257470941749778
79,10.0,5.0,10.0,3.016223907470703,14.105002164840698,-0.9882170243620306,-0.9882170247870307
