,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,32.0,32.0,3.6121768951416016,-195.83082851885706
1,32.0,40.0,4.2546820640563965,-195.8308285188571
2,32.0,37.0,4.747775077819824,-195.8308285188571
3,32.0,43.0,4.568051815032959,-195.8308285188571
4,32.0,31.0,4.086137056350708,-195.8308285188571
5,32.0,32.0,4.243728876113892,-195.83082851882403
6,32.0,33.0,4.359757661819458,-195.8308285188571
7,32.0,28.0,4.309948205947876,-195.8308285188571
8,32.0,41.0,5.2772040367126465,-195.8308285188571
9,32.0,28.0,4.12150502204895,-195.8308285188571
10,32.0,30.0,5.569497108459473,-195.83082851885666
11,32.0,30.0,5.188308000564575,-195.8308285188571
12,32.0,34.0,6.344269037246704,-195.8308285188571
13,32.0,39.0,5.0904083251953125,-195.8308285188558
14,32.0,42.0,4.924960136413574,-195.8308285188558
15,32.0,28.0,3.844329833984375,-195.8308285188571
16,32.0,37.0,4.177402973175049,-195.83082851885712
17,32.0,36.0,4.270063877105713,-195.83082851885712
18,32.0,32.0,5.263227701187134,-195.83082851885706
19,32.0,27.0,4.485058069229126,-195.83082851882403
20,32.0,35.0,5.184410095214844,-195.83082851885618
21,32.0,45.0,6.304248094558716,-195.8308285188571
22,32.0,29.0,4.8116350173950195,-195.8308285188558
23,32.0,29.0,5.352032899856567,-195.83082851885683
24,32.0,31.0,5.3001182079315186,-195.8308285188571
25,32.0,34.0,5.174119234085083,-195.8308285188558
26,32.0,33.0,7.1642279624938965,-195.8308285188571
27,32.0,28.0,4.337981939315796,-195.83082851885712
28,32.0,27.0,4.279702663421631,-195.8308285188571
29,32.0,27.0,4.80097222328186,-195.83082851885683
30,32.0,30.0,5.1321611404418945,-195.83082851885712
31,32.0,38.0,5.665326833724976,-195.8308285188571
32,32.0,38.0,4.729355096817017,-195.83082851885706
33,32.0,30.0,5.312411069869995,-195.8308285188571
34,32.0,37.0,5.845417022705078,-195.83082851885712
35,32.0,33.0,6.300243854522705,-195.8308285188571
36,32.0,34.0,5.05197286605835,-195.8308285188571
37,32.0,39.0,6.297126770019531,-195.83082851885683
38,32.0,26.0,8.213675022125244,-195.83082851885706
39,32.0,33.0,11.058001041412354,-195.8308285188571
40,32.0,34.0,5.448527812957764,-195.83082851885712
41,32.0,25.0,5.20344614982605,-195.8308285188566
42,32.0,28.0,5.217325925827026,-195.8308285188571
43,32.0,22.0,4.773736000061035,-195.83082851885666
44,32.0,24.0,4.300295829772949,-195.83082851885712
45,32.0,29.0,4.425621032714844,-195.8308285188571
46,32.0,27.0,4.335989952087402,-195.83082851885683
47,32.0,32.0,4.587907791137695,-195.8308285188571
48,32.0,39.0,5.322273015975952,-195.8308285188571
49,32.0,39.0,5.06353497505188,-195.8308285188571
50,32.0,27.0,4.220761299133301,-195.83082851885683
51,32.0,34.0,5.494120836257935,-195.83082851882403
52,32.0,41.0,5.167827844619751,-195.8308285188571
53,32.0,35.0,5.175706148147583,-195.83082851885712
54,32.0,28.0,4.349277019500732,-195.8308285188571
55,32.0,30.0,4.976473808288574,-195.83082851885706
56,32.0,27.0,4.870229959487915,-195.8308285188571
57,32.0,32.0,5.311828136444092,-195.8308285188571
58,32.0,32.0,5.118969917297363,-195.83082851885683
59,32.0,40.0,5.578350782394409,-195.83082851885712
60,32.0,23.0,4.458976984024048,-195.8308285188571
61,32.0,37.0,4.353003740310669,-195.83082851885712
62,32.0,25.0,2.9699699878692627,-195.83082851885712
63,32.0,34.0,3.7039380073547363,-195.8308285188571
64,32.0,36.0,4.522242069244385,-195.83082851885615
65,32.0,32.0,4.173786878585815,-195.8308285188566
66,32.0,29.0,4.433913230895996,-195.8308285188571
67,32.0,26.0,4.534193992614746,-195.83082851885712
68,32.0,33.0,5.143857002258301,-195.83082851882403
69,32.0,32.0,4.670913219451904,-195.83082851885712
70,32.0,24.0,4.120710134506226,-195.8308285188571
71,32.0,38.0,5.0577168464660645,-195.83082851885644
72,32.0,34.0,4.414470195770264,-195.83082851885706
73,32.0,39.0,4.925858020782471,-195.8308285188571
74,32.0,28.0,5.567103147506714,-195.8308285188571
75,32.0,36.0,5.326739072799683,-195.83082851885712
76,32.0,32.0,6.615231037139893,-195.8308285188571
77,32.0,20.0,4.714466094970703,-195.83082851885692
78,32.0,31.0,5.072696924209595,-195.8308285188571
79,32.0,31.0,7.019751071929932,-195.8308285188566
80,32.0,36.0,5.185487985610962,-195.83082851885706
81,32.0,25.0,6.3377158641815186,-195.8308285188571
82,32.0,28.0,6.600320100784302,-195.83082851885618
83,32.0,24.0,6.5544610023498535,-195.8308285188571
84,32.0,17.0,4.374659776687622,-195.83082851885712
85,32.0,32.0,5.3952741622924805,-195.8308285188571
86,32.0,31.0,4.6435887813568115,-195.83082851885706
87,32.0,41.0,5.568816184997559,-195.8308285188571
88,32.0,30.0,5.530647039413452,-195.83082851885615
89,32.0,35.0,4.449479818344116,-195.83082851885712
90,32.0,28.0,3.9133059978485107,-195.8308285188571
91,32.0,37.0,4.250713109970093,-195.8308285188571
92,32.0,34.0,4.042489290237427,-195.83082851885712
93,32.0,36.0,4.098824977874756,-195.8308285188571
94,32.0,38.0,4.300019979476929,-195.8308285188571
95,32.0,36.0,4.035276889801025,-195.8308285188571
96,32.0,32.0,4.061361789703369,-195.83082851885712
97,32.0,29.0,3.8292291164398193,-195.8308285188571
98,32.0,26.0,2.8407881259918213,-195.83082851885692
99,32.0,33.0,3.464539051055908,-195.83082851885712
