,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,32.0,39.0,2.769101142883301,6.436523168775676e-11
1,31.0,42.0,2.933656692504883,8.023488487324742e-11
2,32.0,37.0,2.8150155544281006,1.1232769673993742e-10
3,32.0,40.0,2.8349757194519043,1.1341214564522736e-10
4,32.0,42.0,2.811148166656494,1.2463478500219234e-10
5,32.0,42.0,2.876007556915283,1.2553407617492143e-10
6,32.0,37.0,2.8744957447052,7.07414651014549e-11
7,32.0,39.0,3.299872636795044,4.1542870636213065e-11
8,32.0,41.0,2.794504165649414,8.64691679775308e-11
9,32.0,48.0,3.1709539890289307,1.2355004838389225e-10
10,32.0,47.0,2.8091650009155273,5.807356710571628e-11
11,32.0,44.0,2.9004807472229004,1.282177147109873e-10
12,31.0,35.0,2.583529233932495,1.4553006446748926e-10
13,31.0,53.0,3.2608020305633545,1.2222085401629094e-10
14,32.0,44.0,2.7524986267089844,1.28930796491919e-10
15,32.0,44.0,2.8037679195404053,1.0953888019711972e-10
16,32.0,42.0,2.887279987335205,1.4737514775415908e-10
17,32.0,51.0,3.041076898574829,7.978292387435897e-11
18,31.0,28.0,2.3012688159942627,4.5983514068188606e-11
19,32.0,35.0,2.7188401222229004,1.459793367470133e-10
20,31.0,33.0,2.5600595474243164,1.139375592412628e-10
21,32.0,37.0,2.6543776988983154,7.042233062526977e-11
22,31.0,41.0,2.729046583175659,1.1221739632410402e-10
23,32.0,41.0,2.879882335662842,1.0966315947410943e-10
24,32.0,39.0,2.82134747505188,1.4650758487951475e-10
25,32.0,47.0,3.056251287460327,1.0720968184792338e-10
26,32.0,51.0,3.0932955741882324,1.295612968441798e-10
27,32.0,40.0,2.792055368423462,1.4734983478136197e-10
28,32.0,36.0,2.735919237136841,1.1475585883451168e-10
29,32.0,31.0,2.587905168533325,9.808506217573234e-11
30,32.0,40.0,2.8218536376953125,1.3415309868734187e-10
31,30.0,41.0,2.7637267112731934,1.082371578265977e-10
32,32.0,52.0,3.0606229305267334,1.1389715806042058e-10
33,32.0,38.0,2.6162049770355225,1.2705509249995611e-10
34,32.0,36.0,2.839944362640381,9.624974926859433e-11
35,32.0,34.0,2.6446282863616943,1.2788949633521394e-10
36,32.0,46.0,2.974668025970459,1.508111946768047e-10
37,32.0,55.0,3.19682240486145,1.2715209426390598e-10
38,32.0,50.0,3.4136924743652344,1.4219464876126864e-10
39,32.0,51.0,3.337951898574829,8.515083516992719e-11
40,31.0,35.0,2.559192657470703,1.713052233149851e-10
41,32.0,38.0,2.69346022605896,1.3364883169579393e-10
42,32.0,49.0,3.157778024673462,5.947686883714815e-11
43,30.0,33.0,2.8135383129119873,1.281657403286339e-10
44,32.0,45.0,3.109959602355957,5.417424701417435e-11
45,31.0,39.0,3.3380074501037598,1.2135180261885806e-10
46,32.0,47.0,3.5503458976745605,9.362449818119118e-11
47,32.0,38.0,2.8243136405944824,6.909195549357341e-11
48,32.0,33.0,2.809094190597534,1.3404821523660455e-10
49,31.0,44.0,3.478586435317993,1.2665729254446824e-10
50,32.0,42.0,2.9438912868499756,7.722192601768964e-11
51,31.0,36.0,2.671931266784668,1.0427754232143505e-10
52,32.0,35.0,2.8608977794647217,1.140730974543829e-10
53,31.0,30.0,3.2344350814819336,1.4085799536574068e-10
54,32.0,28.0,2.553269147872925,1.254335529310384e-10
55,32.0,44.0,2.987382173538208,1.6011434746338463e-10
56,32.0,33.0,2.7417397499084473,3.600783810315682e-11
57,31.0,36.0,2.842819929122925,1.1498718879034572e-10
58,32.0,38.0,2.8707237243652344,3.7019817674521545e-11
