,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart
0,31.0,16.0,32.0,2.139202833175659,10.202360153198242,6.436523168775676e-11,1.368050823119023e-10
1,31.0,27.0,32.0,2.3985025882720947,9.800005912780762,8.023488487324742e-11,8.023488487324742e-11
2,32.0,25.0,32.0,2.3916752338409424,10.53628396987915,1.1232769673993742e-10,1.1232769673993742e-10
3,31.0,28.0,32.0,2.433637857437134,10.331275224685669,4.545194243174355e-11,4.545194243174355e-11
4,32.0,31.0,32.0,2.518172025680542,10.34341287612915,1.1535717671493376e-10,5.700671667607287e-11
5,32.0,21.0,32.0,2.444924831390381,10.323398351669312,1.3483205224173463e-10,1.3483205224173463e-10
6,32.0,24.0,32.0,2.4062929153442383,10.228679418563843,7.07414651014549e-11,7.07414651014549e-11
7,31.0,32.0,32.0,2.6016716957092285,10.94163703918457,4.1542870636213065e-11,4.1542870636213065e-11
8,31.0,23.0,32.0,2.8647987842559814,10.729674339294434,6.757590066145026e-11,8.64691679775308e-11
9,31.0,31.0,32.0,2.5692903995513916,10.350806474685669,1.2355004838389225e-10,1.5049386518088423e-10
10,32.0,29.0,32.0,2.335007667541504,10.032432794570923,1.2585353478409866e-10,4.8466574774835475e-11
11,32.0,32.0,32.0,2.4869093894958496,9.996732950210571,1.282177147109873e-10,1.0995809482739331e-10
12,31.0,24.0,32.0,2.2320477962493896,10.005559921264648,8.180154515434192e-11,7.676051008245036e-11
13,31.0,32.0,32.0,2.5400867462158203,10.185701370239258,1.6233457038426524e-10,1.2222085401629094e-10
14,32.0,21.0,32.0,2.2480838298797607,9.909372568130493,1.28930796491919e-10,1.5127921405910114e-10
15,30.0,27.0,32.0,2.5429861545562744,10.496365070343018,1.0953888019711972e-10,1.0953888019711972e-10
16,32.0,20.0,32.0,2.1572835445404053,10.313689470291138,1.4737514775415908e-10,1.3403052509738244e-10
17,32.0,26.0,32.0,2.356043577194214,10.12272047996521,7.978292387435897e-11,1.325708079240521e-10
18,32.0,13.0,32.0,1.9341280460357666,10.648625373840332,4.5983514068188606e-11,4.5983514068188606e-11
19,32.0,17.0,32.0,2.3741254806518555,13.799059391021729,9.917571916193723e-11,1.395890596816136e-10
20,32.0,21.0,32.0,2.256392478942871,12.26392126083374,1.139375592412628e-10,9.268989701740885e-11
21,32.0,22.0,32.0,2.534231185913086,10.204303741455078,5.872702509059049e-11,1.2029259079682051e-10
22,32.0,22.0,32.0,2.4038596153259277,11.775671482086182,5.935991623729969e-11,1.2347688236386023e-10
23,32.0,19.0,32.0,2.261709451675415,10.928944110870361,1.0966315947410943e-10,1.0966315947410943e-10
24,32.0,28.0,32.0,2.4521961212158203,10.846904039382935,1.4650758487951475e-10,1.4650758487951475e-10
25,32.0,27.0,32.0,2.3520543575286865,10.92799425125122,1.0720968184792338e-10,1.7010240182403758e-10
26,32.0,36.0,32.0,2.596729040145874,11.858601808547974,1.295612968441798e-10,4.687739875532943e-11
27,31.0,31.0,32.0,2.396005630493164,11.86840033531189,1.4734983478136197e-10,1.4734983478136197e-10
28,32.0,25.0,32.0,3.169926643371582,11.210152387619019,1.1475585883451168e-10,1.1475585883451168e-10
29,32.0,18.0,32.0,2.9956655502319336,12.357669115066528,9.808506217573234e-11,9.808506217573234e-11
30,31.0,23.0,32.0,2.373150587081909,10.975815773010254,1.3415309868734187e-10,1.3415309868734187e-10
31,30.0,23.0,32.0,2.2764127254486084,10.971431016921997,1.082371578265977e-10,1.082371578265977e-10
32,32.0,35.0,32.0,2.62454891204834,10.890864133834839,1.1389715806042058e-10,1.2004465395520545e-10
33,31.0,20.0,32.0,2.1211373805999756,10.785379409790039,1.2705509249995611e-10,1.2517025992661296e-10
34,32.0,26.0,32.0,2.436540365219116,10.939732789993286,9.624974926859433e-11,9.624974926859433e-11
35,32.0,14.0,32.0,2.053248405456543,10.823482751846313,1.2788949633521394e-10,1.0928545205276602e-10
36,32.0,27.0,32.0,2.433704137802124,10.923021793365479,1.508111946768047e-10,1.508111946768047e-10
37,32.0,30.0,32.0,2.5117604732513428,10.847908020019531,1.2715209426390598e-10,1.2538787467279887e-10
38,31.0,24.0,32.0,2.343345880508423,10.922545671463013,1.4219464876126864e-10,1.4219464876126864e-10
39,32.0,28.0,32.0,2.4175353050231934,11.290285348892212,1.16225824230838e-10,8.515083516992719e-11
40,31.0,22.0,32.0,2.0771756172180176,10.772665977478027,1.713052233149851e-10,1.6834021043760193e-10
41,32.0,23.0,32.0,2.2632179260253906,10.57686734199524,1.3364883169579393e-10,7.233251068594296e-11
42,31.0,31.0,32.0,2.407688856124878,10.328342199325562,5.947686883714815e-11,5.947686883714815e-11
43,31.0,21.0,32.0,2.2080142498016357,10.509995698928833,1.281657403286339e-10,1.4355817978121122e-10
44,31.0,26.0,32.0,2.281290054321289,10.296128273010254,5.417424701417435e-11,5.417424701417435e-11
45,31.0,13.0,32.0,1.932668685913086,10.664221286773682,5.994175098680958e-11,1.2135180261885806e-10
46,31.0,26.0,32.0,2.328669548034668,10.964125871658325,9.362449818119118e-11,9.362449818119118e-11
47,32.0,23.0,32.0,2.4258317947387695,11.654565811157227,6.909195549357341e-11,6.909195549357341e-11
48,32.0,20.0,32.0,2.2119953632354736,10.92011284828186,1.3404821523660455e-10,1.3404821523660455e-10
49,31.0,28.0,32.0,2.439016103744507,10.839076280593872,1.2665729254446824e-10,1.4457007748899667e-10
50,31.0,19.0,32.0,2.129930019378662,10.759999990463257,7.722192601768964e-11,7.722192601768964e-11
51,31.0,21.0,32.0,2.1631836891174316,10.888892412185669,1.0427754232143505e-10,9.612996451075018e-11
52,32.0,21.0,32.0,2.2680609226226807,10.939189434051514,1.140730974543829e-10,1.140730974543829e-10
53,31.0,14.0,32.0,2.0152370929718018,10.930845737457275,1.4085799536574068e-10,1.418967097939391e-10
54,30.0,21.0,32.0,2.1680452823638916,11.351766586303711,1.0072459252055593e-10,1.0385397193462823e-10
55,31.0,26.0,32.0,2.3658297061920166,12.117409706115723,1.5877582132260538e-10,1.1375223148889586e-10
56,31.0,20.0,32.0,2.3544955253601074,11.84299373626709,5.774533545219712e-11,1.703760021527189e-10
57,31.0,18.0,32.0,2.121589422225952,11.948014497756958,9.004801438707044e-11,1.1498718879034572e-10
58,32.0,15.0,32.0,2.264737844467163,12.062759399414062,3.7019817674521545e-11,1.1738980540740615e-10
59,32.0,25.0,32.0,2.4082493782043457,12.011509418487549,8.272386454047137e-11,1.2795546638717695e-10
60,32.0,27.0,32.0,2.3369362354278564,11.739501714706421,4.416027635553976e-11,1.8564128430496082e-10
61,30.0,27.0,32.0,2.4048357009887695,11.676986694335938,1.337593458336111e-10,1.4078748781999695e-10
62,32.0,21.0,32.0,2.3819315433502197,11.084212303161621,4.9051188444076476e-11,1.2457146293208634e-10
63,31.0,32.0,32.0,2.547880172729492,11.738515853881836,1.1028340550825379e-10,1.1028340550825379e-10
64,32.0,18.0,32.0,2.1274592876434326,10.651624202728271,1.0689763126151028e-10,1.3634075505645088e-10
65,32.0,18.0,32.0,2.139679431915283,11.861568689346313,1.4099536632967095e-10,1.5200083186705572e-10
66,32.0,20.0,32.0,2.158764600753784,11.046089887619019,9.07309042504481e-11,9.07309042504481e-11
67,32.0,20.0,32.0,2.1714327335357666,12.420184135437012,5.995464222614783e-11,7.135079295350189e-11
68,31.0,28.0,32.0,2.390706777572632,10.53145956993103,6.597752806411289e-11,7.073328521812207e-11
69,32.0,14.0,32.0,2.2554330825805664,11.416293144226074,1.0434922682046286e-10,1.0434922682046286e-10
70,31.0,15.0,32.0,1.991248607635498,11.247300148010254,9.257746772658079e-11,9.257746772658079e-11
71,31.0,26.0,32.0,2.320417881011963,10.964084386825562,1.1552923399866588e-10,1.3752664959725678e-10
72,31.0,18.0,32.0,2.171452760696411,11.680864810943604,1.5006994493224982e-10,1.4272042389935185e-10
73,31.0,29.0,32.0,2.444324016571045,10.728748083114624,1.2958633663135273e-10,1.2958633663135273e-10
74,32.0,21.0,32.0,2.2764689922332764,11.06369948387146,1.3550700076909912e-10,8.529332491547375e-12
75,30.0,22.0,32.0,2.168017864227295,11.110584735870361,1.0595179868641188e-10,5.974869201342396e-11
76,30.0,15.0,32.0,2.186084032058716,11.35472822189331,1.0652608943294122e-10,1.0652608943294122e-10
77,31.0,29.0,32.0,2.537153720855713,11.434811115264893,1.5430710120768707e-10,6.825140812882993e-11
78,32.0,24.0,32.0,2.398000955581665,11.486515522003174,1.4773858549547855e-10,5.6618301936264334e-11
79,31.0,13.0,32.0,2.083054542541504,11.45436978340149,1.2249026765514634e-10,1.1878621209883567e-10
80,31.0,19.0,32.0,2.285250186920166,11.775587797164917,7.799282564730925e-11,7.799282564730925e-11
81,30.0,27.0,32.0,2.559135675430298,11.510971307754517,8.405680290119282e-11,1.2916982321514103e-10
82,32.0,37.0,32.0,2.869205951690674,11.240469455718994,5.6796704693913736e-11,1.1505215543565923e-10
83,31.0,23.0,32.0,2.3911635875701904,11.35961103439331,1.2677436494930143e-10,1.5557376016170224e-10
