,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart
0,9.0,21.0,9.0,7.658845663070679,20.88715934753418,-0.918281565176629,-0.918281565176629
1,8.0,21.0,8.0,6.967426300048828,22.17528223991394,-0.9224377527556157,-0.9224377527556157
2,8.0,35.0,9.0,11.302000522613525,23.36573624610901,-0.9126880358169441,-0.9126880356716105
3,8.0,16.0,8.0,5.232049465179443,19.435479164123535,-0.9155559142413019,-0.9155559142413019
4,8.0,24.0,8.0,6.789691209793091,17.472087860107422,-0.8905940477856744,-0.8905940477856744
5,10.0,26.0,10.0,6.673974514007568,16.813350677490234,-0.8913505099373067,-0.8913505099373067
6,10.0,27.0,10.0,7.264323472976685,17.74790620803833,-0.9006666316239534,-0.9006666316239534
7,10.0,19.0,10.0,6.0582969188690186,19.010680198669434,-0.9064796404485728,-0.9064796404485728
8,10.0,17.0,10.0,5.5142662525177,17.208865880966187,-0.9522765476991213,-0.9522765479225362
9,9.0,30.0,9.0,8.693549633026123,20.978970766067505,-0.9080616719251613,-0.9080616719251613
10,8.0,16.0,8.0,5.2242372035980225,16.832395792007446,-0.9199775817246868,-0.9199775817246868
11,8.0,34.0,10.0,7.939627170562744,16.65612530708313,-0.8893026700294817,-0.8893026700294817
12,10.0,19.0,10.0,5.844358921051025,16.410019159317017,-0.9706924678262607,-0.9706924678262607
13,9.0,25.0,9.0,6.530935287475586,16.781118631362915,-0.9161310587136952,-0.9161310588944659
14,8.0,20.0,9.0,5.99768853187561,18.665911436080933,-0.9150262272333677,-0.9150262272333677
15,9.0,27.0,9.0,7.095350027084351,17.389539003372192,-0.8999254677853267,-0.8999254677853267
16,9.0,16.0,10.0,5.1158363819122314,16.99402093887329,-0.9004744635906302,-0.9004744635906302
17,8.0,28.0,9.0,6.94838809967041,16.964725494384766,-0.887629855400081,-0.887629855400081
18,9.0,25.0,9.0,6.617785692214966,16.74108386039734,-0.9112421966432913,-0.9112421966432913
19,9.0,26.0,9.0,7.767250061035156,17.739163398742676,-0.8953906819459816,-0.8953906819459816
20,10.0,28.0,10.0,7.2525951862335205,15.654604196548462,-0.9305357380974147,-0.9305357378132889
21,10.0,20.0,10.0,5.782840013504028,16.613149404525757,-0.8829142478322518,-0.8829142478322518
