,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,32.0,60.0,3.4314141273498535,-195.8308285188569
1,32.0,48.0,3.552778959274292,-195.83082851885712
2,32.0,58.0,3.8716351985931396,-195.830828518853
3,32.0,37.0,3.0848069190979004,-195.8308285188571
4,32.0,56.0,3.8359410762786865,-195.8308285188568
5,32.0,58.0,3.658982276916504,-195.83082851885712
6,32.0,53.0,3.4606690406799316,-195.83082851885712
7,32.0,47.0,3.2952330112457275,-195.8308285188571
8,32.0,50.0,3.5231082439422607,-195.83082851885712
9,32.0,49.0,3.3420441150665283,-195.83082851885706
10,32.0,46.0,3.309211015701294,-195.8308285188571
11,32.0,60.0,3.615861177444458,-195.830828518855
12,32.0,59.0,3.652316093444824,-195.83082851885672
13,32.0,53.0,3.439577102661133,-195.83082851885587
14,32.0,50.0,3.573225259780884,-195.8308285188571
15,32.0,49.0,3.3509349822998047,-195.8308285188369
16,32.0,41.0,3.186501979827881,-195.83082851885712
17,32.0,51.0,3.3654568195343018,-195.8308285188571
18,32.0,60.0,3.6267621517181396,-195.830828518857
19,32.0,75.0,4.287197113037109,-195.8308285188307
20,32.0,48.0,3.302692174911499,-195.83082851884814
21,32.0,64.0,3.9018959999084473,-195.83082851882293
22,32.0,45.0,3.3085129261016846,-195.83082851872015
23,32.0,40.0,3.151413917541504,-195.83082851883796
24,32.0,43.0,3.3898470401763916,-195.83082851873706
25,32.0,62.0,3.8149077892303467,-195.8308285188566
26,32.0,58.0,3.6546239852905273,-195.8308285188571
27,32.0,45.0,3.2551379203796387,-195.8308285188571
28,32.0,58.0,3.6919078826904297,-195.83082851885712
29,32.0,48.0,3.385122060775757,-195.83082851883609
30,32.0,46.0,3.2544021606445312,-195.83082851874033
31,32.0,47.0,3.3423900604248047,-195.8308285188571
32,32.0,55.0,3.6706440448760986,-195.8308285188533
33,32.0,48.0,3.2184362411499023,-195.8308285188571
34,32.0,56.0,3.577375888824463,-195.83082851885712
35,32.0,55.0,3.385206937789917,-195.83082851884436
36,32.0,61.0,3.8865699768066406,-195.8308285188571
37,32.0,60.0,3.633999824523926,-195.8308285188571
38,32.0,53.0,3.6299901008605957,-195.83082851885527
39,32.0,58.0,3.570930004119873,-195.8308285188571
40,32.0,65.0,3.7242488861083984,-195.8308285188571
41,32.0,51.0,3.4166483879089355,-195.8308285188571
42,32.0,64.0,3.8119029998779297,-195.83082851884623
43,32.0,58.0,3.7570230960845947,-195.83082851885365
44,32.0,59.0,3.7364232540130615,-195.8308285188571
45,32.0,57.0,3.655500650405884,-195.83082851885445
46,32.0,55.0,3.6271371841430664,-195.83082851885706
47,32.0,65.0,3.7843081951141357,-195.8308285188571
48,32.0,43.0,3.220284938812256,-195.8308285188571
49,32.0,64.0,3.6534509658813477,-195.8308285188571
50,32.0,62.0,3.793991804122925,-195.83082851885712
51,32.0,52.0,3.517374038696289,-195.83082851885592
52,32.0,57.0,3.5151631832122803,-195.8308285188571
53,32.0,64.0,3.741122007369995,-195.8308285188571
54,32.0,60.0,3.622925043106079,-195.83082851885658
55,32.0,64.0,3.838923931121826,-195.83082851885712
56,32.0,54.0,3.599452018737793,-195.83082851885706
57,32.0,57.0,3.5540988445281982,-195.8308285188571
58,32.0,51.0,3.2943530082702637,-195.83082851885706
59,32.0,50.0,3.442239999771118,-195.8308285188571
60,32.0,47.0,3.385344982147217,-195.83082851877708
61,32.0,65.0,4.2900941371917725,-195.83082851885632
62,32.0,62.0,3.6245651245117188,-195.83082851880562
63,32.0,45.0,3.3405888080596924,-195.8308285188571
64,32.0,66.0,3.7183799743652344,-195.83082851885706
65,32.0,63.0,3.9363009929656982,-195.83082851878936
66,32.0,64.0,3.921980857849121,-195.83082851885712
67,32.0,45.0,3.6094441413879395,-195.83082851885536
68,32.0,63.0,3.8987741470336914,-195.83082851881284
69,32.0,56.0,3.694282054901123,-195.83082851878336
70,32.0,40.0,2.773470878601074,-195.83082851879888
71,32.0,68.0,3.3284900188446045,-195.83082851885712
72,32.0,59.0,3.135240316390991,-195.83082851885138
73,32.0,61.0,3.046783924102783,-195.8308285188571
74,32.0,51.0,2.6884541511535645,-195.8308285188571
75,32.0,56.0,2.93822979927063,-195.83082851884706
76,32.0,53.0,3.086275100708008,-195.83082851885558
77,32.0,47.0,2.6188619136810303,-195.83082851885712
78,32.0,42.0,2.3029870986938477,-195.8308285188526
79,32.0,60.0,3.0153629779815674,-195.8308285188571
80,32.0,58.0,2.8325891494750977,-195.8308285188571
81,32.0,57.0,2.609281063079834,-195.8308285188571
82,32.0,46.0,2.3565220832824707,-195.8308285188571
83,32.0,54.0,2.482334852218628,-195.83082851885538
84,32.0,63.0,2.9599039554595947,-195.83082851885695
85,32.0,49.0,2.7679872512817383,-195.8308285188571
86,32.0,60.0,2.7724549770355225,-195.8308285188571
87,32.0,55.0,2.3499858379364014,-195.8308285188429
88,32.0,55.0,2.484149217605591,-195.83082851885712
89,32.0,54.0,2.4550061225891113,-195.83082851885712
90,32.0,62.0,2.719188928604126,-195.83082851885706
91,32.0,57.0,2.7074458599090576,-195.8308285188571
92,32.0,70.0,3.124969244003296,-195.8308285188571
93,32.0,51.0,2.4674761295318604,-195.83082851885712
94,32.0,65.0,2.877746820449829,-195.83082851885553
95,32.0,59.0,2.9157261848449707,-195.8308285188571
96,32.0,51.0,2.5823328495025635,-195.83082851884922
97,32.0,54.0,2.487663984298706,-195.8308285188571
98,32.0,48.0,2.521981954574585,-195.83082851885706
99,32.0,61.0,2.8153622150421143,-195.83082851885672
