,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,32.0,19.0,4.128032684326172,1.1602622981013953e-10
1,32.0,34.0,4.557225227355957,1.0665776361670501e-10
2,31.0,31.0,4.552321434020996,1.1709399836283528e-10
3,32.0,22.0,3.7549803256988525,1.4255702015231151e-10
4,32.0,20.0,3.722308397293091,9.186361093669998e-11
5,32.0,28.0,4.648969888687134,1.4905739181628075e-10
6,32.0,19.0,4.076350450515747,1.0177510867610087e-10
7,32.0,28.0,4.543942451477051,1.3844191079778729e-10
8,32.0,25.0,4.579694032669067,1.1566058302589362e-10
9,31.0,25.0,4.273631811141968,1.5551328555969966e-10
10,31.0,29.0,4.718363046646118,1.0760880863138426e-10
11,30.0,21.0,3.619638442993164,8.533683922519014e-11
12,31.0,24.0,4.925494194030762,7.86870328188544e-11
13,32.0,18.0,3.5201117992401123,1.1173597732155176e-10
14,32.0,14.0,4.254992485046387,1.275003477956961e-10
15,32.0,22.0,4.352588176727295,3.3947656557220656e-11
16,31.0,14.0,3.8150250911712646,1.1651330968479146e-10
17,32.0,20.0,4.744331121444702,6.00586789769024e-11
18,32.0,25.0,5.038149118423462,1.0741180202902354e-10
19,32.0,27.0,5.146633148193359,1.5449406677236533e-10
20,32.0,18.0,4.467325448989868,4.358033514729656e-11
21,31.0,25.0,4.292531490325928,5.876488882878898e-11
22,31.0,23.0,4.984989166259766,1.5194858916469643e-10
23,31.0,16.0,4.481011629104614,8.932202240326648e-11
24,32.0,31.0,4.2658514976501465,1.2457383008756308e-10
25,32.0,25.0,3.7676541805267334,1.406415236155832e-10
26,32.0,24.0,3.6959171295166016,1.2274436339301954e-10
27,31.0,24.0,3.584003210067749,7.38221470003541e-11
28,32.0,17.0,3.5083425045013428,4.616664747576225e-11
29,31.0,20.0,3.5420644283294678,1.61379417360692e-10
30,32.0,26.0,3.75881028175354,4.578196908213629e-11
31,31.0,20.0,3.5355968475341797,1.497049606161156e-10
32,30.0,28.0,3.8917622566223145,1.268022852824494e-10
33,29.0,21.0,3.6728925704956055,1.5359073951127757e-10
34,32.0,28.0,5.594388008117676,4.1106595901944395e-11
35,32.0,20.0,3.927356719970703,9.863409811393047e-11
36,32.0,32.0,4.141768455505371,1.2466104921399394e-10
37,32.0,17.0,3.4785454273223877,1.293003453959794e-11
38,32.0,18.0,3.4887588024139404,7.694889451256191e-11
39,30.0,29.0,3.9282941818237305,1.0880645110435877e-10
40,31.0,33.0,4.09094500541687,1.110055384042102e-10
41,32.0,28.0,3.8247830867767334,1.039206384368198e-10
42,32.0,31.0,4.035279035568237,1.631710014554303e-11
43,32.0,27.0,3.78471302986145,8.554489282397019e-11
44,30.0,26.0,3.9365885257720947,7.789509006506019e-11
45,32.0,28.0,3.8335421085357666,6.023539645941408e-11
46,32.0,23.0,3.8652539253234863,1.5571064613272397e-10
47,32.0,26.0,3.7369210720062256,4.2172431742217954e-11
48,32.0,23.0,3.8238484859466553,9.137838237610469e-11
49,31.0,26.0,3.8839144706726074,1.1373520213699491e-10
50,31.0,22.0,3.745816230773926,1.2242493513761464e-10
51,31.0,32.0,4.06790018081665,1.3548286403239992e-10
52,30.0,20.0,3.5089521408081055,1.3284804045062537e-10
53,31.0,24.0,3.6318516731262207,1.1462453973456914e-10
54,31.0,20.0,3.369222640991211,5.2582061351773944e-11
55,32.0,22.0,3.482987642288208,3.884978473544916e-11
