,number_minimas_per_func_metod,number_extra_descents_per_func_metod,number_minimas_per_func_multistart,time_metod,time_multistart
0,13.0,0.0,50.0,45.30965876579285,1605.6909320354462
1,15.0,0.0,49.0,47.29348421096802,1622.9775030612946
2,9.0,0.0,46.0,37.6661376953125,1594.0874769687653
3,14.0,0.0,47.0,47.37962555885315,1615.3956003189087
4,15.0,0.0,47.0,46.40359568595886,1629.8788719177246
5,14.0,0.0,49.0,46.51669502258301,1613.3736023902893
6,12.0,0.0,49.0,42.51804327964783,1637.4817049503326
7,16.0,0.0,49.0,49.75204014778137,1618.7076818943024
8,14.0,0.0,49.0,46.293862104415894,1585.635573387146
9,13.0,0.0,49.0,45.28219676017761,1614.4745457172394
10,18.0,0.0,48.0,53.623488426208496,1634.639880180359
11,15.0,0.0,50.0,48.130314111709595,1599.28098654747
12,14.0,0.0,48.0,46.606289863586426,1611.088764667511
13,17.0,0.0,49.0,51.284703493118286,1598.5960266590118
14,18.0,0.0,49.0,51.59711456298828,1599.6543736457825
15,14.0,0.0,48.0,47.36234450340271,1605.812973499298
16,20.0,0.0,48.0,58.0227370262146,1610.8448750972748
17,13.0,0.0,49.0,43.99242186546326,1605.674264907837
18,12.0,0.0,48.0,43.35329747200012,1616.3087117671967
19,16.0,0.0,48.0,49.59210777282715,1620.1455602645874
20,14.0,0.0,49.0,46.94684648513794,1585.7978613376617
21,17.0,0.0,48.0,51.78315567970276,1576.6040279865265
22,17.0,0.0,49.0,51.901946783065796,1595.491425037384
23,16.0,0.0,49.0,48.679617404937744,1595.7010650634766
24,14.0,0.0,50.0,45.770742654800415,1609.234390258789
25,13.0,0.0,49.0,45.95270323753357,1628.40247797966
26,12.0,0.0,48.0,43.26053309440613,1615.808952331543
27,17.0,0.0,50.0,51.561654567718506,1621.141144990921
28,14.0,0.0,47.0,44.8903374671936,1606.041074514389
29,15.0,0.0,50.0,48.8751266002655,1605.461561203003
30,16.0,0.0,50.0,48.53219270706177,1613.9259264469147
31,12.0,0.0,49.0,40.945804834365845,1616.2749836444855
32,17.0,0.0,47.0,51.10386061668396,1612.7190046310425
33,17.0,0.0,49.0,53.14968729019165,1606.805775642395
34,17.0,0.0,48.0,51.087828397750854,1597.677203655243
35,13.0,0.0,47.0,44.659024238586426,1601.7999317646027
36,15.0,0.0,49.0,47.912861824035645,1573.9858956336975
37,15.0,0.0,48.0,46.87574028968811,1600.198457479477
38,15.0,0.0,50.0,48.76467967033386,1588.800630569458
39,14.0,0.0,48.0,47.446572065353394,1613.6526980400085
40,14.0,0.0,49.0,45.80906534194946,1596.4538114070892
41,13.0,0.0,50.0,45.421117067337036,1600.3854637145996
42,12.0,0.0,50.0,42.19582176208496,1606.0417504310608
43,15.0,0.0,49.0,48.15304708480835,1597.2880549430847
44,12.0,0.0,48.0,43.53197979927063,1639.675015449524
45,14.0,0.0,48.0,46.70046663284302,1605.9483251571655
46,14.0,0.0,50.0,46.527846813201904,1629.7010176181793
47,13.0,0.0,49.0,44.93766689300537,1614.3633632659912
48,13.0,0.0,50.0,45.336886405944824,1612.7712614536285
49,13.0,0.0,48.0,45.623863220214844,1611.5237619876862
50,14.0,0.0,48.0,47.081411600112915,1615.5541236400604
51,14.0,0.0,46.0,46.28180480003357,1614.756567955017
52,16.0,0.0,47.0,50.54967784881592,1621.273404121399
53,12.0,0.0,50.0,43.86486101150513,1620.1791141033173
54,14.0,0.0,47.0,46.27191972732544,1606.8761823177338
55,13.0,0.0,48.0,45.32038187980652,1621.901778936386
56,13.0,0.0,49.0,45.159512758255005,1592.4701325893402
57,15.0,0.0,43.0,46.28968572616577,1569.6302542686462
58,15.0,0.0,50.0,46.38196420669556,1553.374279499054
59,15.0,0.0,50.0,47.86801719665527,1558.7550354003906
60,15.0,0.0,49.0,48.11793375015259,1587.4193131923676
61,15.0,0.0,49.0,45.56886053085327,1586.1988098621368
62,16.0,0.0,47.0,47.58924698829651,1566.4518592357635
63,15.0,0.0,47.0,45.24150228500366,1589.2127242088318
64,12.0,0.0,50.0,40.944538831710815,1568.2575252056122
65,11.0,0.0,48.0,39.18125772476196,1554.8097505569458
66,18.0,0.0,48.0,51.30043840408325,1559.9741697311401
67,13.0,0.0,48.0,45.08611583709717,1558.0756509304047
68,15.0,0.0,48.0,42.25272059440613,1571.3495528697968
69,14.0,0.0,49.0,46.1839759349823,1534.1922192573547
70,15.0,0.0,48.0,43.00743365287781,1562.5598759651184
71,17.0,0.0,50.0,47.80207896232605,1563.579063653946
72,14.0,0.0,47.0,42.97608256340027,1560.2377197742462
73,14.0,0.0,50.0,45.88163089752197,1557.6601881980896
74,14.0,0.0,49.0,43.91360425949097,1535.319685459137
75,16.0,0.0,49.0,45.707319021224976,1542.119026184082
76,17.0,0.0,48.0,48.938551902770996,1558.6693017482758
77,15.0,0.0,50.0,44.40150475502014,1551.0893275737762
78,15.0,0.0,50.0,47.40379476547241,1548.280662536621
79,18.0,0.0,48.0,48.69201683998108,1425.3530023097992
80,16.0,0.0,49.0,43.336437702178955,1453.685392856598
81,15.0,0.0,49.0,40.69268560409546,1470.7810199260712
82,15.0,0.0,50.0,41.320345878601074,1442.287249803543
83,15.0,0.0,47.0,42.422744274139404,1457.710181236267
84,14.0,0.0,50.0,41.247710943222046,1445.9487006664276
85,17.0,0.0,50.0,47.04912805557251,1460.7613327503204
86,19.0,0.0,47.0,49.842151165008545,1453.651780128479
87,11.0,0.0,48.0,35.99962854385376,1443.882933139801
88,11.0,0.0,49.0,36.83658528327942,1435.2929875850677
89,16.0,0.0,49.0,42.71604681015015,1420.8141992092133
90,17.0,0.0,48.0,44.833234786987305,1445.540747642517
91,15.0,0.0,50.0,42.40233373641968,1441.8924288749695
92,17.0,0.0,49.0,43.06544256210327,1433.079562664032
93,19.0,0.0,49.0,49.46514368057251,1424.7554786205292
94,15.0,0.0,49.0,42.07532858848572,1459.3791997432709
95,18.0,0.0,48.0,46.68635177612305,1543.166965007782
96,16.0,0.0,50.0,48.27319002151489,1551.8515102863312
97,16.0,0.0,50.0,46.53171730041504,1530.2698299884796
98,13.0,0.0,49.0,41.13794445991516,1582.5188627243042
99,15.0,0.0,49.0,46.553762912750244,1556.7502479553223
