,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod
0,10.0,65.0,33.364275217056274,-0.9579055533953642
1,10.0,63.0,32.09566521644592,-0.9595317735332857
2,10.0,55.0,30.374134063720703,-0.9905251649557962
3,9.0,57.0,31.742313146591187,-0.8808562560397423
4,10.0,61.0,33.37838387489319,-0.9363587582228088
5,10.0,67.0,36.675930976867676,-0.8978849294084562
6,10.0,67.0,37.084325075149536,-0.9543650128487856
7,10.0,56.0,31.62805724143982,-0.9665363729493535
8,10.0,61.0,34.0721070766449,-0.9926183900385013
9,10.0,67.0,36.2004828453064,-0.9717134023701773
10,10.0,74.0,41.16389489173889,-0.9738591712534019
11,9.0,61.0,35.06827688217163,-0.9997063745086011
12,10.0,65.0,37.21532392501831,-0.9159207689336089
13,10.0,69.0,38.17500686645508,-0.974068018827499
14,10.0,61.0,35.22429084777832,-0.9972581560434087
15,9.0,61.0,33.83460307121277,-0.9969429331194309
16,10.0,70.0,39.702754735946655,-0.9543475457809386
17,10.0,53.0,30.313574075698853,-0.8752889028559391
18,9.0,60.0,32.3996639251709,-0.9929030572186397
19,10.0,66.0,35.467357873916626,-0.9662259706434783
20,10.0,58.0,33.67927074432373,-1.0180208219807911
21,10.0,61.0,34.11772179603577,-0.9231291199753854
22,10.0,75.0,40.10070610046387,-0.9565321168289973
23,10.0,58.0,32.866289138793945,-0.9545750559888342
24,10.0,69.0,37.04154586791992,-0.9837279882020972
25,10.0,58.0,33.06540107727051,-0.9977783036871242
26,10.0,59.0,33.77667808532715,-0.9254506693696218
27,10.0,59.0,34.71458411216736,-0.9890916306168442
28,10.0,74.0,39.630648136138916,-0.9539830852927194
29,10.0,55.0,31.735305070877075,-0.998665287225689
30,10.0,61.0,34.86336302757263,-0.9690160635127641
31,10.0,65.0,35.97770810127258,-0.9051985632808148
32,10.0,63.0,34.87740397453308,-0.9807389101474939
33,10.0,49.0,29.55379319190979,-0.9830256332962607
34,9.0,54.0,32.49511790275574,-0.9290375382535198
35,10.0,53.0,36.313913106918335,-0.9614218734548557
36,9.0,58.0,32.91295623779297,-0.9009204240277062
37,10.0,63.0,35.26313805580139,-0.9345785880612647
38,10.0,70.0,37.791239738464355,-0.9748498297768473
39,10.0,61.0,34.17372107505798,-0.9826526828429419
40,10.0,56.0,31.751736879348755,-0.9888372537027049
41,10.0,71.0,40.0774462223053,-0.9848642233923913
42,10.0,57.0,32.218945026397705,-0.8972442717528751
43,10.0,49.0,29.131890058517456,-0.9692982796206993
44,10.0,51.0,29.974329948425293,-0.9981066384752272
45,10.0,62.0,34.459425926208496,-0.989641255352275
46,9.0,68.0,37.07540202140808,-0.976814729228894
47,10.0,64.0,36.210911989212036,-0.9115573910393572
48,9.0,57.0,32.79395890235901,-0.722199324823581
49,10.0,61.0,34.54993200302124,-0.9325446935847288
50,8.0,67.0,35.32676815986633,-0.9588568064196259
51,10.0,64.0,35.975948095321655,-0.9779222523192865
