,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,48.0,0.0,48.0,49.455328702926636,308.5259747505188,4.2527415450188884e-08,4.2527415450188884e-08,0.0,0.0
1,50.0,0.0,50.0,54.71576285362244,331.8311765193939,6.82212841863598e-08,6.82212841863598e-08,0.0,0.0
2,50.0,0.0,50.0,56.82563877105713,308.97652649879456,5.349482202579866e-08,5.349482202579866e-08,0.0,0.0
3,47.0,0.0,47.0,51.79773187637329,300.6648712158203,8.297690640829761e-08,8.297690640829761e-08,0.0,0.0
4,49.0,0.0,49.0,52.91933989524841,307.87036061286926,8.655864543984548e-08,8.655864543984548e-08,0.0,0.0
5,50.0,0.0,50.0,53.73990201950073,306.32534670829773,6.940243886443318e-08,6.940243886443318e-08,0.0,0.0
6,50.0,0.0,50.0,53.643375396728516,306.8770351409912,7.798095777262467e-08,7.798095777262467e-08,0.0,0.0
7,48.0,0.0,48.0,59.0342538356781,326.462673664093,3.970453703014532e-08,3.970453703014532e-08,0.0,0.0
8,49.0,0.0,49.0,56.0523681640625,324.60756969451904,8.099469715370037e-08,8.099469715370037e-08,0.0,0.0
9,49.0,0.0,49.0,54.82636213302612,323.69829964637756,4.636512515762821e-08,4.636512515762821e-08,0.0,0.0
10,48.0,0.0,48.0,54.02424144744873,340.18618512153625,3.8038371793844594e-08,3.8038371793844594e-08,0.0,0.0
11,50.0,0.0,50.0,61.985315799713135,371.04784321784973,4.554012754519241e-08,4.554012754519241e-08,0.0,0.0
12,49.0,0.0,49.0,61.190141439437866,374.32667350769043,6.646245408232869e-08,6.646245408232869e-08,0.0,0.0
13,49.0,0.0,49.0,60.97325110435486,368.04165840148926,8.294084176740429e-08,8.294084176740429e-08,0.0,0.0
14,48.0,0.0,48.0,56.46719026565552,370.3512852191925,4.612525996452403e-08,4.612525996452403e-08,0.0,0.0
15,49.0,0.0,49.0,64.36394619941711,387.65662479400635,4.341274701361524e-08,4.341274701361524e-08,0.0,0.0
16,50.0,0.0,50.0,63.14403557777405,413.5504660606384,4.979487159836223e-08,4.979487159836223e-08,0.0,0.0
17,49.0,0.0,49.0,75.50191617012024,391.94789385795593,4.198956952319132e-08,4.198956952319132e-08,0.0,0.0
18,50.0,0.0,50.0,72.276691198349,413.42104291915894,5.992959540672585e-08,5.992959540672585e-08,0.0,0.0
19,50.0,0.0,50.0,74.82132649421692,396.40048933029175,7.693763575270541e-08,7.693763575270541e-08,0.0,0.0
20,45.0,0.0,45.0,52.442582845687866,399.76336550712585,8.730523689476508e-08,8.730523689476508e-08,0.0,0.0
21,47.0,0.0,47.0,67.36122512817383,407.35043478012085,8.742974434969806e-08,8.742974434969806e-08,0.0,0.0
22,46.0,0.0,46.0,69.86936712265015,408.49892807006836,5.012260872124545e-08,5.012260872124545e-08,0.0,0.0
23,48.0,0.0,48.0,68.44302582740784,431.4607980251312,8.20965237314846e-08,8.20965237314846e-08,0.0,0.0
24,50.0,0.0,50.0,74.8092246055603,422.7781162261963,8.80442678039741e-08,8.80442678039741e-08,0.0,0.0
25,50.0,0.0,50.0,73.4661135673523,407.4613916873932,4.212026223380355e-08,4.212026223380355e-08,0.0,0.0
26,47.0,0.0,47.0,70.21382451057434,417.609281539917,4.817046339130405e-08,4.817046339130405e-08,0.0,0.0
27,49.0,0.0,49.0,71.54363417625427,428.6033844947815,9.130074972802827e-08,9.130074972802827e-08,0.0,0.0
28,49.0,0.0,49.0,72.96287798881531,426.6880385875702,4.7325386297281254e-08,4.7325386297281254e-08,0.0,0.0
29,49.0,0.0,49.0,76.27155995368958,413.571745634079,4.8831976736419645e-08,4.8831976736419645e-08,0.0,0.0
30,48.0,0.0,48.0,73.72218728065491,410.7600288391113,6.664245843414731e-08,6.664245843414731e-08,0.0,0.0
31,50.0,0.0,50.0,71.29642701148987,421.3349630832672,3.442410693778738e-08,3.442410693778738e-08,0.0,0.0
32,50.0,0.0,50.0,74.838050365448,422.73119044303894,7.755361034163866e-08,7.755361034163866e-08,0.0,0.0
33,46.0,0.0,46.0,69.8659918308258,414.942670583725,4.7566852894793725e-08,4.7566852894793725e-08,0.0,0.0
34,48.0,0.0,48.0,70.30822372436523,416.87621235847473,8.9391121675386e-08,8.9391121675386e-08,0.0,0.0
35,48.0,0.0,48.0,70.3538932800293,411.753785610199,7.922548327572288e-08,7.922548327572288e-08,0.0,0.0
36,50.0,0.0,50.0,72.70576977729797,412.46186780929565,8.219206225360746e-08,8.219206225360746e-08,0.0,0.0
37,49.0,0.0,49.0,75.39595603942871,433.54136061668396,8.541426422969358e-08,8.541426422969358e-08,0.0,0.0
38,48.0,0.0,48.0,69.74991631507874,428.34499621391296,8.444659508503893e-08,8.444659508503893e-08,0.0,0.0
39,49.0,0.0,49.0,71.79634284973145,410.2968068122864,3.287842432882046e-08,3.287842432882046e-08,0.0,0.0
40,49.0,0.0,49.0,71.64600920677185,420.03912806510925,4.411485923958358e-08,4.411485923958358e-08,0.0,0.0
41,50.0,0.0,50.0,71.29895353317261,416.7810552120209,6.203692403383372e-08,6.203692403383372e-08,0.0,0.0
42,49.0,0.0,49.0,80.82766675949097,398.10669445991516,4.551871477523657e-08,4.551871477523657e-08,0.0,0.0
43,50.0,0.0,50.0,76.20155215263367,417.83824396133423,8.499460587803577e-08,8.499460587803577e-08,0.0,0.0
44,50.0,0.0,50.0,73.22473430633545,412.89995670318604,7.037415025751327e-08,7.037415025751327e-08,0.0,0.0
45,48.0,0.0,48.0,67.30050206184387,415.14850306510925,2.9137843078119922e-08,2.9137843078119922e-08,0.0,0.0
46,49.0,0.0,49.0,70.92600107192993,386.1058359146118,8.670289879645761e-08,8.670289879645761e-08,0.0,0.0
47,50.0,0.0,50.0,61.51737856864929,381.69436597824097,3.799843965095571e-08,3.799843965095571e-08,0.0,0.0
48,50.0,0.0,50.0,59.98567199707031,344.34368109703064,4.821220691207151e-08,4.821220691207151e-08,0.0,0.0
49,48.0,0.0,48.0,58.97713041305542,371.5743019580841,3.3684291128933584e-08,3.3684291128933584e-08,0.0,0.0
50,49.0,0.0,49.0,60.77775168418884,411.0497374534607,7.34943393552534e-08,7.34943393552534e-08,0.0,0.0
51,48.0,0.0,48.0,59.36194443702698,391.5795147418976,3.110688874630959e-08,3.110688874630959e-08,0.0,0.0
52,48.0,0.0,48.0,63.05726623535156,367.86180877685547,7.959308735909982e-08,7.959308735909982e-08,0.0,0.0
53,50.0,0.0,50.0,60.00690770149231,363.3427472114563,8.321532533344794e-08,8.321532533344794e-08,0.0,0.0
