,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,48.0,0.0,48.0,52.306658029556274,315.48801255226135,4.2527415450188884e-08,4.2527415450188884e-08,0.0,0.0
1,50.0,0.0,50.0,55.30048584938049,313.50108313560486,6.82212841863598e-08,6.82212841863598e-08,0.0,1.0
2,50.0,0.0,50.0,53.04007601737976,308.46196961402893,5.349482202579866e-08,5.349482202579866e-08,0.0,1.0
3,47.0,0.0,47.0,50.672399282455444,311.5647575855255,8.297690640829761e-08,8.297690640829761e-08,0.0,1.0
4,49.0,0.0,49.0,56.96597695350647,321.6108069419861,8.655864543984548e-08,8.655864543984548e-08,0.0,4.0
5,50.0,0.0,50.0,57.664236545562744,349.9822680950165,6.940243886443318e-08,6.940243886443318e-08,0.0,3.0
6,50.0,0.0,50.0,60.58983278274536,325.34710478782654,7.798095777262467e-08,7.798095777262467e-08,0.0,2.0
7,48.0,0.0,48.0,52.166274070739746,327.55475068092346,3.970453703014532e-08,3.970453703014532e-08,0.0,2.0
8,49.0,0.0,49.0,53.84832191467285,307.1991627216339,8.099469715370037e-08,8.099469715370037e-08,0.0,2.0
9,49.0,0.0,49.0,57.61473226547241,320.12501788139343,4.636512515762821e-08,4.636512515762821e-08,0.0,0.0
10,48.0,0.0,48.0,52.64872670173645,328.9544517993927,3.8038371793844594e-08,3.8038371793844594e-08,0.0,4.0
11,50.0,0.0,50.0,59.236679792404175,365.93316411972046,4.554012754519241e-08,4.554012754519241e-08,0.0,2.0
12,49.0,0.0,49.0,62.22915959358215,382.7884991168976,6.646245408232869e-08,6.646245408232869e-08,0.0,0.0
13,49.0,0.0,49.0,63.52113485336304,377.6861448287964,8.294084176740429e-08,8.294084176740429e-08,0.0,1.0
14,48.0,0.0,48.0,65.4788339138031,393.865109205246,4.612525996452403e-08,4.612525996452403e-08,0.0,2.0
15,49.0,0.0,49.0,65.36172032356262,379.14293909072876,4.341274701361524e-08,4.341274701361524e-08,0.0,7.0
16,50.0,0.0,50.0,59.2011513710022,333.25282740592957,4.979487159836223e-08,4.979487159836223e-08,0.0,1.0
17,49.0,0.0,49.0,58.460899114608765,333.3076591491699,4.198956952319132e-08,4.198956952319132e-08,0.0,4.0
18,50.0,0.0,50.0,58.22438097000122,326.17743396759033,5.992959540672585e-08,5.992959540672585e-08,0.0,2.0
19,50.0,0.0,50.0,58.59518241882324,318.90580344200134,7.693763575270541e-08,7.693763575270541e-08,0.0,1.0
20,45.0,0.0,45.0,52.47825264930725,334.3767879009247,8.730523689476508e-08,8.730523689476508e-08,0.0,1.0
21,47.0,0.0,47.0,55.25425910949707,318.57649302482605,8.742974434969806e-08,8.742974434969806e-08,0.0,2.0
22,46.0,0.0,46.0,51.53022623062134,323.55252838134766,5.012260872124545e-08,5.012260872124545e-08,0.0,0.0
23,48.0,0.0,48.0,55.77155113220215,333.15367794036865,8.20965237314846e-08,8.20965237314846e-08,0.0,8.0
24,50.0,0.0,50.0,57.193169832229614,330.28035140037537,8.80442678039741e-08,8.80442678039741e-08,0.0,0.0
25,50.0,0.0,50.0,57.19275736808777,324.9144592285156,4.212026223380355e-08,4.212026223380355e-08,0.0,6.0
26,47.0,0.0,47.0,59.049097776412964,328.150004863739,4.817046339130405e-08,4.817046339130405e-08,0.0,0.0
27,49.0,0.0,49.0,58.0355761051178,316.3292841911316,9.130074972802827e-08,9.130074972802827e-08,0.0,0.0
28,49.0,0.0,49.0,54.24905776977539,329.14172101020813,4.7325386297281254e-08,4.7325386297281254e-08,0.0,0.0
29,49.0,0.0,49.0,57.003989934921265,313.9604163169861,4.8831976736419645e-08,4.8831976736419645e-08,0.0,2.0
30,48.0,0.0,48.0,51.77536082267761,312.5720250606537,6.664245843414731e-08,6.664245843414731e-08,0.0,4.0
31,50.0,0.0,50.0,54.837687492370605,333.6898159980774,3.442410693778738e-08,3.442410693778738e-08,0.0,5.0
32,50.0,0.0,50.0,56.49488377571106,314.9374854564667,7.755361034163866e-08,7.755361034163866e-08,0.0,0.0
33,46.0,0.0,46.0,50.64383101463318,307.9991352558136,4.7566852894793725e-08,4.7566852894793725e-08,0.0,3.0
34,48.0,0.0,48.0,52.93472695350647,314.2694478034973,8.9391121675386e-08,8.9391121675386e-08,0.0,0.0
35,48.0,0.0,48.0,53.04496169090271,314.49081230163574,7.922548327572288e-08,7.922548327572288e-08,0.0,3.0
36,50.0,0.0,50.0,55.80931115150452,324.09632396698,8.219206225360746e-08,8.219206225360746e-08,0.0,0.0
37,49.0,0.0,49.0,55.48401117324829,349.62009048461914,8.541426422969358e-08,8.541426422969358e-08,0.0,2.0
38,48.0,0.0,48.0,61.44294261932373,387.09739232063293,8.444659508503893e-08,8.444659508503893e-08,0.0,1.0
39,49.0,0.0,49.0,60.117239475250244,368.1005415916443,3.287842432882046e-08,3.287842432882046e-08,0.0,3.0
40,49.0,0.0,49.0,55.45303988456726,327.329345703125,4.411485923958358e-08,4.411485923958358e-08,0.0,1.0
41,50.0,0.0,50.0,57.77170968055725,347.11741304397583,6.203692403383372e-08,6.203692403383372e-08,0.0,4.0
42,49.0,0.0,49.0,56.17475605010986,359.7073554992676,4.551871477523657e-08,4.551871477523657e-08,0.0,1.0
43,50.0,0.0,50.0,57.19882369041443,344.784081697464,8.499460587803577e-08,8.499460587803577e-08,0.0,0.0
44,50.0,0.0,50.0,56.50554394721985,362.521564245224,7.037415025751327e-08,7.037415025751327e-08,0.0,0.0
45,48.0,0.0,48.0,54.51509761810303,331.36512327194214,2.9137843078119922e-08,2.9137843078119922e-08,0.0,0.0
46,49.0,0.0,49.0,57.919798612594604,333.0499861240387,8.670289879645761e-08,8.670289879645761e-08,0.0,1.0
47,50.0,0.0,50.0,57.22691750526428,334.0149004459381,3.799843965095571e-08,3.799843965095571e-08,0.0,1.0
48,50.0,0.0,50.0,60.94580316543579,360.85632705688477,4.821220691207151e-08,4.821220691207151e-08,0.0,3.0
49,48.0,0.0,48.0,65.23884463310242,358.21390557289124,3.3684291128933584e-08,3.3684291128933584e-08,0.0,0.0
