,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,48.0,0.0,48.0,57.85444974899292,398.1197271347046,4.259564151202758e-08,4.259564151202758e-08,0.0,7.0
1,50.0,0.0,50.0,55.50541591644287,426.4814999103546,6.821442364292489e-08,6.821442364292489e-08,0.0,22.0
2,50.0,0.0,50.0,56.07025408744812,397.8786039352417,5.365751764235871e-08,5.365751764235871e-08,0.0,13.0
3,47.0,0.0,47.0,54.796380281448364,398.61497378349304,8.365003844039219e-08,8.365003844039219e-08,0.0,4.0
4,49.0,0.0,49.0,56.592702865600586,401.92034697532654,8.579397900839698e-08,8.579397900839698e-08,0.0,17.0
5,50.0,0.0,50.0,57.07870101928711,401.36736011505127,6.872921818884662e-08,6.872921818884662e-08,0.0,7.0
6,50.0,0.0,50.0,56.873302936553955,413.07751297950745,7.82897553885645e-08,7.82897553885645e-08,0.0,13.0
7,48.0,0.0,48.0,55.252495765686035,418.27107191085815,3.964844565156495e-08,3.964844565156495e-08,0.0,9.0
8,48.0,0.0,49.0,56.7037308216095,407.53740906715393,8.202737929135377e-08,8.202737929135377e-08,0.001,10.0
9,49.0,0.0,49.0,58.75955080986023,444.59432196617126,4.6428125427052486e-08,4.6428125427052486e-08,0.0,2.0
10,48.0,0.0,48.0,55.223485231399536,412.21329402923584,3.767569609473085e-08,3.767569609473085e-08,0.0,14.0
11,50.0,0.0,50.0,57.85866189002991,410.1824908256531,4.5515866532742145e-08,4.5515866532742145e-08,0.0,7.0
12,49.0,0.0,49.0,57.414665937423706,407.5574882030487,6.646242786250304e-08,6.646242786250304e-08,0.0,11.0
13,49.0,0.0,49.0,58.489342212677,410.8414378166199,8.319460758039447e-08,8.319460758039447e-08,0.0,4.0
14,48.0,0.0,48.0,56.00606107711792,413.2014720439911,4.6324819901672586e-08,4.6324819901672586e-08,0.0,2.0
15,49.0,0.0,49.0,56.507951736450195,400.62788701057434,4.3439588217124315e-08,4.3439588217124315e-08,0.0,23.0
16,50.0,0.0,50.0,58.21326017379761,412.325599193573,5.014991314325599e-08,5.014991314325599e-08,0.0,10.0
17,49.0,0.0,49.0,60.981085777282715,428.82464814186096,4.22526145733934e-08,4.22526145733934e-08,0.0,14.0
18,50.0,0.0,50.0,58.148300886154175,418.5151102542877,5.995809612167909e-08,5.995809612167909e-08,0.0,9.0
19,50.0,0.0,50.0,58.598726749420166,415.6054232120514,7.697512701905024e-08,7.697512701905024e-08,0.0,5.0
20,45.0,0.0,45.0,54.62054491043091,412.2288966178894,8.771583545111698e-08,8.771583545111698e-08,0.0,40.0
21,47.0,0.0,47.0,55.50455904006958,405.4441969394684,8.73583577159312e-08,8.73583577159312e-08,0.0,17.0
22,46.0,0.0,46.0,54.38139486312866,411.32236194610596,5.008220314806314e-08,5.008220314806314e-08,0.0,8.0
23,48.0,0.0,48.0,56.65100812911987,417.42503595352173,8.210502316751703e-08,8.210502316751703e-08,0.0,12.0
24,50.0,0.0,50.0,58.90987014770508,440.13973093032837,8.736944442491548e-08,8.736944442491548e-08,0.0,3.0
25,50.0,0.0,50.0,60.503833055496216,412.28619480133057,4.210996082408562e-08,4.210996082408562e-08,0.0,14.0
26,47.0,0.0,47.0,56.02483510971069,410.8594739437103,4.810320527385e-08,4.810320527385e-08,0.0,10.0
27,49.0,0.0,49.0,59.39020109176636,418.34869718551636,9.147538772323281e-08,9.147538772323281e-08,0.0,7.0
28,49.0,0.0,49.0,58.796003103256226,416.53371810913086,4.738759717707891e-08,4.738759717707891e-08,0.0,11.0
29,49.0,0.0,49.0,57.82815885543823,421.0344789028168,4.87530565081223e-08,4.87530565081223e-08,0.0,15.0
30,48.0,0.0,48.0,56.33872604370117,410.12034606933594,6.670602156789599e-08,6.670602156789599e-08,0.0,40.0
31,50.0,0.0,50.0,57.96740984916687,411.5102849006653,3.4255683931245725e-08,3.4255683931245725e-08,0.0,12.0
32,50.0,0.0,50.0,58.991321086883545,434.32859206199646,7.694783094262579e-08,7.694783094262579e-08,0.0,4.0
33,46.0,0.0,46.0,55.755774974823,417.1549029350281,4.8005398845773945e-08,4.8005398845773945e-08,0.0,12.0
34,48.0,0.0,48.0,57.074936866760254,421.05368399620056,8.960246066033987e-08,8.960246066033987e-08,0.0,5.0
35,48.0,0.0,48.0,56.96119713783264,413.48439502716064,7.942963991342648e-08,7.942963991342648e-08,0.0,10.0
36,50.0,0.0,50.0,57.47287392616272,408.3882188796997,8.224911906760613e-08,8.224911906760613e-08,0.0,4.0
37,49.0,0.0,49.0,57.462571144104004,413.6193151473999,8.578318076322137e-08,8.578318076322137e-08,0.0,15.0
38,48.0,0.0,48.0,56.95574402809143,409.56057596206665,8.459547969733519e-08,8.459547969733519e-08,0.0,10.0
39,49.0,0.0,49.0,58.66045594215393,426.95496797561646,3.2616009696897415e-08,3.2616009696897415e-08,0.0,22.0
40,49.0,0.0,49.0,57.558842182159424,427.78954005241394,4.4171835097961985e-08,4.4171835097961985e-08,0.0,6.0
41,50.0,0.0,50.0,58.42984437942505,411.0337290763855,6.222319129816079e-08,6.222319129816079e-08,0.0,15.0
42,49.0,0.0,49.0,59.06869125366211,413.56697607040405,4.5472019541585324e-08,4.5472019541585324e-08,0.0,10.0
43,50.0,0.0,50.0,58.849282026290894,416.61245799064636,8.437500466694776e-08,8.437500466694776e-08,0.0,5.0
44,50.0,0.0,50.0,58.324077129364014,415.37353110313416,7.07971470620234e-08,7.07971470620234e-08,0.0,4.0
45,48.0,0.0,48.0,56.85448718070984,409.6264476776123,2.919290182692892e-08,2.919290182692892e-08,0.0,5.0
46,49.0,0.0,49.0,57.5738320350647,409.4571690559387,8.630151733057759e-08,8.630151733057759e-08,0.0,14.0
47,50.0,0.0,50.0,59.02738690376282,434.57711482048035,3.7995434343744475e-08,3.7995434343744475e-08,0.0,5.0
48,50.0,0.0,50.0,57.76095008850098,410.802120923996,4.8054849589316976e-08,4.8054849589316976e-08,0.0,12.0
49,48.0,0.0,48.0,57.02329683303833,412.1247971057892,3.3635660447574666e-08,3.3635660447574666e-08,0.0,2.0
50,49.0,0.0,49.0,57.21410822868347,415.7407612800598,7.356978040256629e-08,7.356978040256629e-08,0.0,17.0
51,48.0,0.0,48.0,70.89817190170288,426.0475881099701,3.115859314192377e-08,3.115859314192377e-08,0.0,10.0
52,48.0,0.0,48.0,56.87975287437439,409.2126638889313,7.956088985052634e-08,7.956088985052634e-08,0.0,24.0
53,50.0,0.0,50.0,58.496941804885864,412.4764211177826,8.28778876712381e-08,8.28778876712381e-08,0.0,9.0
54,48.0,0.0,48.0,56.807955265045166,414.07977509498596,8.43977894971994e-08,8.43977894971994e-08,0.0,15.0
55,47.0,0.0,47.0,57.467308044433594,438.07642698287964,4.471430201341915e-08,4.471430201341915e-08,0.0,8.0
56,48.0,0.0,48.0,56.980823040008545,412.6073122024536,4.2231586705362886e-08,4.2231586705362886e-08,0.0,2.0
57,49.0,0.0,49.0,57.24668598175049,415.58253479003906,7.172659250716866e-08,7.172659250716866e-08,0.0,15.0
58,47.0,0.0,47.0,64.0881040096283,417.55808687210083,7.532744455134987e-08,7.532744455134987e-08,0.0,7.0
59,47.0,0.0,47.0,56.51257395744324,410.11498284339905,8.521918443805845e-08,8.521918443805845e-08,0.0,6.0
60,50.0,0.0,50.0,58.95822310447693,411.96600103378296,8.444607896835691e-08,8.444607896835691e-08,0.0,4.0
61,48.0,0.0,48.0,57.847561836242676,417.3365869522095,6.411633149017969e-08,6.411633149017969e-08,0.0,18.0
62,50.0,0.0,50.0,57.072171211242676,416.37222814559937,7.486401979957589e-08,7.486401979957589e-08,0.0,8.0
63,48.0,0.0,48.0,66.5798499584198,422.48325085639954,2.8474893344066835e-08,2.8474893344066835e-08,0.0,3.0
64,49.0,0.0,49.0,57.934600830078125,408.50036096572876,6.785373955514605e-08,6.785373955514605e-08,0.0,8.0
65,47.0,0.0,47.0,55.779375076293945,406.8655059337616,3.764057917085886e-08,3.764057917085886e-08,0.0,17.0
66,49.0,0.0,49.0,58.36636185646057,410.15876507759094,5.3192143444060814e-08,5.3192143444060814e-08,0.0,5.0
67,48.0,0.0,48.0,57.20129728317261,409.2061948776245,8.639448101496449e-08,8.639448101496449e-08,0.0,29.0
68,49.0,0.0,49.0,58.31013894081116,416.0373411178589,5.3117447172003055e-08,5.3117447172003055e-08,0.0,8.0
69,49.0,0.0,49.0,58.0520977973938,407.88894510269165,3.6113761167369596e-08,3.6113761167369596e-08,0.0,29.0
70,47.0,0.0,47.0,55.93405365943909,432.2542099952698,6.89066746764456e-08,6.89066746764456e-08,0.0,34.0
71,50.0,0.0,50.0,58.7170569896698,413.1769950389862,6.211655904091746e-08,6.211655904091746e-08,0.0,10.0
72,49.0,0.0,49.0,57.457127809524536,413.7902100086212,7.784536785458442e-08,7.784536785458442e-08,0.0,17.0
73,46.0,0.0,46.0,55.55756115913391,413.89778685569763,3.100102033463425e-08,3.100102033463425e-08,0.0,28.0
74,49.0,0.0,49.0,57.172207832336426,410.04691219329834,7.450114378347573e-08,7.450114378347573e-08,0.0,6.0
75,49.0,0.0,49.0,58.093575954437256,407.6285722255707,6.516519948451675e-08,6.516519948451675e-08,0.0,10.0
76,50.0,0.0,50.0,58.01384925842285,412.0788221359253,8.785479865843587e-08,8.785479865843587e-08,0.0,6.0
77,48.0,0.0,48.0,56.8240110874176,410.54826068878174,4.418672759788329e-08,4.418672759788329e-08,0.0,5.0
78,49.0,0.0,49.0,57.088111877441406,436.24651408195496,3.643894193038149e-08,3.643894193038149e-08,0.0,16.0
79,50.0,0.0,50.0,58.04303574562073,410.51680183410645,4.9745187315497376e-08,4.9745187315497376e-08,0.0,4.0
80,50.0,0.0,50.0,57.10821199417114,403.97234201431274,3.453845369469891e-08,3.453845369469891e-08,0.0,11.0
81,48.0,0.0,48.0,57.09139585494995,405.01189398765564,8.668337613794061e-08,8.668337613794061e-08,0.0,15.0
82,49.0,0.0,49.0,57.50503897666931,412.83486104011536,8.899887938215469e-08,8.899887938215469e-08,0.0,12.0
83,49.0,0.0,49.0,57.601637840270996,410.06587076187134,7.891718856937475e-08,7.891718856937475e-08,0.0,3.0
84,50.0,0.0,50.0,58.55228090286255,412.91640615463257,6.421238071721061e-08,6.421238071721061e-08,0.0,22.0
85,50.0,0.0,50.0,57.910890102386475,406.6919319629669,5.090823888292625e-08,5.090823888292625e-08,0.0,27.0
86,50.0,0.0,50.0,63.112844944000244,423.36836791038513,3.616378302011893e-08,3.616378302011893e-08,0.0,4.0
87,50.0,0.0,50.0,58.179596185684204,408.95852422714233,8.01921118622893e-08,8.01921118622893e-08,0.0,3.0
88,45.0,0.0,45.0,54.210485219955444,406.481036901474,4.6806902217683615e-08,4.6806902217683615e-08,0.0,19.0
89,50.0,0.0,50.0,59.23571300506592,410.38528203964233,8.56369925563013e-08,8.56369925563013e-08,0.0,1.0
90,46.0,0.0,46.0,55.32676291465759,406.838809967041,8.131302669794272e-08,8.131302669794272e-08,0.0,12.0
91,49.0,0.0,49.0,57.10600996017456,398.09773421287537,8.665994005690574e-08,8.665994005690574e-08,0.0,34.0
92,50.0,0.0,50.0,57.61358189582825,408.35434794425964,5.4161977242129816e-08,5.4161977242129816e-08,0.0,13.0
93,49.0,0.0,49.0,58.21240711212158,418.1060140132904,8.441099437341062e-08,8.441099437341062e-08,0.0,3.0
94,50.0,0.0,50.0,73.73963689804077,412.2264051437378,3.796168326827984e-08,3.796168326827984e-08,0.0,12.0
95,50.0,0.0,50.0,57.5807900428772,407.1847541332245,7.764265631254604e-08,7.764265631254604e-08,0.0,9.0
96,49.0,0.0,49.0,56.6250479221344,405.63106393814087,8.14536800018402e-08,8.14536800018402e-08,0.0,3.0
97,50.0,0.0,50.0,57.66721296310425,404.2598478794098,5.380906698365401e-08,5.380906698365401e-08,0.0,11.0
