,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,18.0,75.0,18.0,144.75010228157043,718.1003150939941,-0.9975855641313829,-0.9975855641313829,0.0,0.0
1,20.0,287.0,20.0,281.65501403808594,717.2737057209015,-0.9991109582474539,-0.9991109582474539,0.0,0.0
2,20.0,282.0,20.0,287.44809341430664,728.1543006896973,-0.9977134027314122,-0.9977134027314122,0.0,0.0
3,19.0,106.0,19.0,169.86653637886047,717.3624143600464,-0.9824551349327935,-0.9824551349327935,0.0,0.0
4,19.0,239.0,19.0,240.03763365745544,683.3217074871063,-0.9291543756409397,-0.9291543756409397,0.0,0.0
5,20.0,361.0,20.0,304.31875681877136,646.4488353729248,-0.998783312510389,-0.998783312510389,0.0,0.0
6,18.0,112.0,18.0,141.62450122833252,621.6019172668457,-0.9965716397217734,-0.9965716397217734,0.0,0.0
7,20.0,283.0,20.0,248.70483326911926,651.4967541694641,-0.9207392735170519,-0.9207392735170519,0.0,0.0
8,20.0,189.0,20.0,194.0177686214447,629.3385663032532,-0.9961862353430644,-0.9961862353430644,0.0,0.0
9,20.0,282.0,20.0,254.0404987335205,617.4222044944763,-0.9698893945234228,-0.9698893945234228,0.0,0.0
10,16.0,97.0,16.0,142.21880269050598,620.485208272934,-0.985999766651062,-0.985999766651062,0.0,0.0
11,20.0,414.0,20.0,323.9791033267975,647.3307316303253,-0.9924245341572275,-0.9924245341572275,0.0,0.0
12,19.0,131.0,19.0,156.73271870613098,623.2011873722076,-0.9186295207278721,-0.9186295207278721,0.0,0.0
13,19.0,290.0,19.0,246.4822814464569,611.8813471794128,-0.9210252967954813,-0.9210252967954813,0.0,0.0
14,20.0,174.0,20.0,190.52841091156006,624.0056164264679,-0.9864180293000587,-0.9864180293000587,0.0,0.0
15,19.0,155.0,19.0,180.75421714782715,641.9582872390747,-0.9975280882804186,-0.9975280882804186,0.0,0.0
16,20.0,111.0,20.0,151.38486766815186,650.6485106945038,-0.9969603245688774,-0.9969603245688774,0.0,0.0
17,18.0,179.0,18.0,192.25368452072144,658.0025546550751,-0.9453381420616447,-0.9453381420616447,0.0,0.0
18,20.0,274.0,20.0,237.88838624954224,627.1494374275208,-0.9594890174375393,-0.9594890174375393,0.0,0.0
19,19.0,477.0,19.0,374.7242286205292,643.0376305580139,-0.966889384640914,-0.966889384640914,0.0,0.0
20,20.0,452.0,20.0,352.41822814941406,665.5575623512268,-0.9742232634804378,-0.9742232634804378,0.0,0.0
21,20.0,296.0,20.0,268.00743412971497,655.516028881073,-0.9544212776174741,-0.9544212776174741,0.0,0.0
22,19.0,146.0,19.0,193.92260885238647,691.1285979747772,-0.9318306202821818,-0.9318306202821818,0.0,0.0
