,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,50.0,0.0,50.0,25.95497179031372,116.11245918273926,8.704324019843007e-08,8.704324019843007e-08,0.0,22.0
1,50.0,0.0,50.0,25.44832420349121,114.13664484024048,8.223413390682884e-08,8.223413390682884e-08,0.0,28.0
2,50.0,0.0,50.0,26.240138053894043,116.4997911453247,6.042620329704505e-08,6.042620329704505e-08,0.0,32.0
3,50.0,0.0,50.0,26.842880725860596,117.34726095199585,8.889158295201584e-08,8.889158295201584e-08,0.0,57.0
4,48.0,0.0,49.0,25.921290397644043,118.39112997055054,7.453589698307122e-08,7.453589698307122e-08,0.001,38.0
5,50.0,0.0,50.0,27.739393949508667,118.97257208824158,7.5810532747474e-08,7.5810532747474e-08,0.0,47.0
6,50.0,0.0,50.0,27.64817476272583,117.87292909622192,7.971634537905008e-08,7.971634537905008e-08,0.0,28.0
7,49.0,0.0,49.0,27.260746955871582,119.08903813362122,7.5554021694286e-08,7.5554021694286e-08,0.0,50.0
8,50.0,0.0,50.0,27.103165864944458,118.85332083702087,4.4970835285178076e-08,4.4970835285178076e-08,0.0,17.0
9,50.0,0.0,50.0,27.070823907852173,119.63326001167297,4.674915096180343e-08,4.674915096180343e-08,0.0,27.0
10,49.0,0.0,49.0,26.918843984603882,118.11995506286621,8.033824606920577e-08,8.033824606920577e-08,0.0,30.0
11,50.0,0.0,50.0,26.98906373977661,118.41959714889526,4.3987437108532633e-08,4.3987437108532633e-08,0.0,82.0
12,47.0,0.0,47.0,26.02971887588501,118.89544486999512,5.8513371884957675e-08,5.8513371884957675e-08,0.0,48.0
13,49.0,0.0,49.0,26.949623823165894,118.98453402519226,8.339917288657842e-08,8.339917288657842e-08,0.0,12.0
14,50.0,0.0,50.0,27.456331968307495,118.30780911445618,5.0251174042321327e-08,5.0251174042321327e-08,0.0,20.0
15,49.0,0.0,49.0,26.74834680557251,119.8440158367157,8.658333120115162e-08,8.658333120115162e-08,0.0,34.0
16,49.0,0.0,49.0,26.75447916984558,120.36293721199036,4.822529968148599e-08,4.822529968148599e-08,0.0,22.0
17,47.0,0.0,47.0,26.454735279083252,119.7692220211029,8.237139157545517e-08,8.237139157545517e-08,0.0,18.0
