,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,18.0,75.0,18.0,201.1180009841919,680.5166215896606,-0.9975855641313829,-0.9975855641313829,0.0,0.0
1,20.0,286.0,20.0,280.48316645622253,702.6743047237396,-0.9991109582474539,-0.9991109582474539,0.0,0.0
2,20.0,278.0,20.0,288.1917757987976,683.8740875720978,-0.9977134027314122,-0.9977134027314122,0.0,0.0
3,19.0,105.0,19.0,157.93497371673584,730.0101456642151,-0.9824551349327935,-0.9824551349327935,0.0,0.0
4,19.0,233.0,19.0,239.41208624839783,639.5053298473358,-0.9291543756409397,-0.9291543756409397,0.0,0.0
5,20.0,360.0,20.0,312.682870388031,704.8046073913574,-0.998783312510389,-0.998783312510389,0.0,0.0
6,18.0,111.0,18.0,150.57188391685486,628.1293559074402,-0.9965716397217734,-0.9965716397217734,0.0,0.0
7,20.0,278.0,20.0,256.6413495540619,669.372679233551,-0.9207392735170519,-0.9207392735170519,0.0,0.0
8,20.0,188.0,20.0,208.9881157875061,669.7961623668671,-0.9961862353430644,-0.9961862353430644,0.0,0.0
9,20.0,277.0,20.0,274.63911533355713,675.3458857536316,-0.9698893945234228,-0.9698893945234228,0.0,0.0
10,16.0,96.0,16.0,145.14684081077576,647.7643151283264,-0.985999766651062,-0.985999766651062,0.0,0.0
11,20.0,412.0,20.0,343.4274241924286,669.5510025024414,-0.9924245341572275,-0.9924245341572275,0.0,0.0
12,19.0,129.0,19.0,168.4991431236267,656.2159223556519,-0.9186295207278721,-0.9186295207278721,0.0,0.0
13,19.0,290.0,19.0,259.0127477645874,641.8505582809448,-0.9210252967954813,-0.9210252967954813,0.0,0.0
14,20.0,173.0,20.0,201.9364116191864,685.7036533355713,-0.9864180293000587,-0.9864180293000587,0.0,0.0
15,19.0,155.0,19.0,186.68820333480835,665.1087141036987,-0.9975280882804186,-0.9975280882804186,0.0,0.0
16,20.0,111.0,20.0,166.00985503196716,699.4311420917511,-0.9969603245688774,-0.9969603245688774,0.0,0.0
17,18.0,177.0,18.0,200.12977600097656,728.6734020709991,-0.9453381420616447,-0.9453381420616447,0.0,0.0
18,20.0,273.0,20.0,250.67006826400757,637.1982996463776,-0.9594890174375393,-0.9594890174375393,0.0,0.0
19,19.0,477.0,19.0,388.4699614048004,657.2526683807373,-0.966889384640914,-0.966889384640914,0.0,0.0
20,20.0,450.0,20.0,366.0725061893463,684.2838816642761,-0.9742232634804378,-0.9742232634804378,0.0,0.0
21,20.0,295.0,20.0,274.55445194244385,700.8878123760223,-0.9544212776174741,-0.9544212776174741,0.0,0.0
22,19.0,143.0,19.0,179.11860966682434,644.4344918727875,-0.9318306202821818,-0.9318306202821818,0.0,0.0
23,19.0,312.0,19.0,271.5837953090668,671.1881020069122,-0.9884991864805207,-0.9884991864805207,0.0,0.0
24,19.0,90.0,19.0,147.55089163780212,667.7640459537506,-0.9978005010541982,-0.9978005010541982,0.0,0.0
25,20.0,135.0,20.0,184.17054533958435,693.5045657157898,-0.9979800789726478,-0.9979800789726478,0.0,0.0
