,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,20.0,59.0,20.0,160.17823338508606,1145.6907966136932,-0.9463782114294639,-0.9463782114294639,0.0,1.0
1,20.0,95.0,20.0,183.65242218971252,1115.229901790619,-0.9932054575347172,-0.9932054575347172,0.0,2.0
2,20.0,88.0,20.0,176.02543902397156,1086.7262625694275,-0.9938413474189047,-0.9938413474189047,0.0,2.0
3,20.0,63.0,20.0,150.0952808856964,1116.320762872696,-0.9882943356056614,-0.9882943356056614,0.0,2.0
4,20.0,129.0,20.0,234.93259048461914,1256.684993505478,-0.949269558752231,-0.949269558752231,0.0,11.0
5,20.0,42.0,20.0,134.1949746608734,1249.7730062007904,-0.9585651217177543,-0.9585651217177543,0.0,6.0
6,20.0,87.0,20.0,194.1610906124115,1356.4803364276886,-0.9986716853253597,-0.9986716853253597,0.0,2.0
7,20.0,53.0,20.0,153.02746438980103,1241.8731746673584,-0.9835954067111183,-0.9835954067111183,0.001,5.0
8,20.0,64.0,20.0,171.06962943077087,1237.8833992481232,-0.9824704102313747,-0.9824704102313747,0.0,2.0
9,20.0,132.0,20.0,262.7103838920593,1354.415761232376,-0.9450117374847032,-0.9450117374847032,0.0,1.0
10,20.0,108.0,20.0,203.69056725502014,1137.7676405906677,-0.9972528482180419,-0.9972528482180419,0.001,7.0
11,20.0,81.0,20.0,174.3690423965454,1116.891033411026,-0.9918900811412222,-0.9918900811412222,0.001,7.0
12,20.0,42.0,20.0,135.11488103866577,1168.462768793106,-0.9640255831887087,-0.9640255831887087,0.004,17.0
13,20.0,107.0,20.0,205.26476287841797,1262.459986448288,-0.9878870228701433,-0.9878870228701433,0.0,5.0
14,20.0,67.0,20.0,151.9283092021942,1117.0526525974274,-0.9842426745064009,-0.9842426745064009,0.0,9.0
15,20.0,86.0,20.0,176.69376277923584,1111.280428647995,-0.9402848650962591,-0.9402848650962591,0.0,0.0
16,20.0,57.0,20.0,143.7038357257843,1160.4857795238495,-0.9575112584708533,-0.9575112584708533,0.0,4.0
17,20.0,162.0,20.0,240.27165031433105,1101.1002659797668,-0.9992033667063148,-0.9992033667063148,0.0,7.0
18,20.0,38.0,20.0,128.73144340515137,1132.8959550857544,-0.9582703370761395,-0.9582703370761395,0.0,0.0
19,20.0,99.0,20.0,180.47874975204468,1115.4648842811584,-0.9743001265072352,-0.9743001265072352,0.0,4.0
20,20.0,55.0,20.0,149.43004608154297,1194.6781644821167,-0.9950301320314251,-0.9950301320314251,0.0,10.0
21,20.0,83.0,20.0,164.17361855506897,1056.3401317596436,-0.9941869119787832,-0.9941869119787832,0.0,16.0
22,20.0,77.0,20.0,174.5862820148468,1037.8794486522675,-0.9830350866076011,-0.9830350866076011,0.0,1.0
23,19.0,69.0,19.0,158.02507209777832,1120.7239391803741,-0.9720751689976406,-0.9720751689976406,0.002,12.0
24,20.0,333.0,20.0,394.9925353527069,1071.7249462604523,-0.9457700237553371,-0.9457700237553371,0.001,4.0
25,20.0,112.0,20.0,201.90782165527344,1107.2295467853546,-0.9421143266109253,-0.9421143266109253,0.0,4.0
26,20.0,51.0,20.0,132.98274850845337,1087.831722021103,-0.9792098279649737,-0.9792098279649737,0.001,9.0
27,20.0,305.0,20.0,385.4593753814697,1090.7100212574005,-0.9951735746736832,-0.9951735746736832,0.0,3.0
28,20.0,168.0,20.0,270.80241417884827,1079.0334014892578,-0.9937818767436841,-0.9937818767436841,0.0,3.0
29,20.0,33.0,20.0,119.06282997131348,1130.9835758209229,-0.9864702526330703,-0.9864702526330703,0.0,5.0
30,20.0,82.0,20.0,185.04809045791626,1164.0786600112915,-0.9858028233602317,-0.9858028233602317,0.0,3.0
31,20.0,88.0,20.0,194.10195922851562,1154.5418512821198,-0.9864607894124318,-0.9864607894124318,0.0,3.0
32,20.0,52.0,20.0,147.33045482635498,1208.5582394599915,-0.9913367611219431,-0.9913367611219431,0.0,7.0
33,20.0,38.0,20.0,121.40538501739502,1080.3313195705414,-0.9766265514472864,-0.9766265514472864,0.0,1.0
34,20.0,62.0,20.0,161.06488919258118,1178.3146469593048,-0.9786866187282708,-0.9786866187282708,0.0,3.0
35,20.0,39.0,20.0,123.69407439231873,1155.0410780906677,-0.9826634439959494,-0.9826634439959494,0.0,3.0
36,20.0,67.0,20.0,146.89848637580872,1056.648813009262,-0.9910757662763819,-0.9910757662763819,0.0,5.0
37,20.0,120.0,20.0,200.2417347431183,1087.5720217227936,-0.9767830605382413,-0.9767830605382413,0.0,3.0
38,20.0,73.0,20.0,166.28412318229675,1123.1132526397705,-0.9930987702930143,-0.9930987702930143,0.0,1.0
39,20.0,83.0,20.0,171.07762050628662,1158.3990972042084,-0.990047108260181,-0.990047108260181,0.0,10.0
40,20.0,82.0,20.0,179.43379712104797,1148.0559694766998,-0.9910290448138597,-0.9910290448138597,0.0,1.0
41,20.0,63.0,20.0,151.7989821434021,1111.6784880161285,-0.9813282609785793,-0.9813282609785793,0.0,11.0
42,20.0,51.0,20.0,132.8844735622406,1112.6929106712341,-0.9794980714420769,-0.9794980714420769,0.0,7.0
43,20.0,47.0,20.0,151.055743932724,1233.036511182785,-0.9019377418667042,-0.9019377418667042,0.0,2.0
44,20.0,36.0,20.0,117.68203401565552,1055.0775635242462,-0.9806963893605478,-0.9806963893605478,0.0,7.0
45,20.0,129.0,20.0,233.26210808753967,1117.5163152217865,-0.9877064034906307,-0.9877064034906307,0.0,1.0
46,20.0,49.0,20.0,135.22646689414978,1082.5225069522858,-0.9700421272423706,-0.9700421272423706,0.001,10.0
47,20.0,157.0,20.0,250.44186162948608,1144.52295088768,-0.9947631830175343,-0.9947631830175343,0.0,7.0
48,20.0,56.0,20.0,148.6749587059021,1176.2732882499695,-0.9532015245988011,-0.9532015245988011,0.001,5.0
49,20.0,133.0,20.0,238.91132760047913,1136.2295157909393,-0.9953577482024748,-0.9953577482024748,0.001,2.0
50,20.0,121.0,20.0,205.62902164459229,1157.6454813480377,-0.9497208163979477,-0.9497208163979477,0.0,5.0
51,20.0,37.0,20.0,125.54342937469482,1162.4105710983276,-0.9828813706349023,-0.9828813706349023,0.002,5.0
52,20.0,44.0,20.0,133.39957070350647,1170.9008090496063,-0.9708634174588948,-0.9708634174588948,0.0,2.0
53,20.0,82.0,20.0,173.43614506721497,1121.3640503883362,-0.9650983773633472,-0.9650983773633472,0.0,3.0
54,20.0,49.0,20.0,137.29507660865784,1164.0552842617035,-0.9832052838772729,-0.9832052838772729,0.004,11.0
55,20.0,123.0,20.0,233.59763860702515,1174.6822469234467,-0.9837386090299328,-0.9837386090299328,0.0,2.0
56,20.0,75.0,20.0,154.88505625724792,1122.7362043857574,-0.9794248046727614,-0.9794248046727614,0.0,1.0
57,20.0,79.0,20.0,169.18932509422302,1149.0940165519714,-0.9754640029075904,-0.9754640029075904,0.0,6.0
58,20.0,261.0,20.0,409.6395230293274,1212.4969699382782,-0.9645412473337738,-0.9645412473337738,0.003,7.0
59,20.0,45.0,20.0,132.26533770561218,1119.2198123931885,-0.9693239773072249,-0.9693239773072249,0.0,1.0
60,20.0,106.0,20.0,203.42146396636963,1221.5915122032166,-0.9985338821819781,-0.9985338821819781,0.0,0.0
61,20.0,39.0,20.0,140.17774891853333,1239.2755460739136,-0.956014721082173,-0.956014721082173,0.0,2.0
62,20.0,51.0,20.0,135.90184354782104,1123.1751341819763,-0.9821718131182382,-0.9821718131182382,0.0,8.0
63,20.0,44.0,20.0,126.97412467002869,1091.8280084133148,-0.9870522803067339,-0.9870522803067339,0.0,9.0
64,20.0,206.0,20.0,308.51512002944946,1182.368187904358,-0.9872619191537438,-0.9872619191537438,0.0,2.0
65,20.0,33.0,20.0,118.22602367401123,1056.4581742286682,-0.9854752514648448,-0.9854752514648448,0.0,9.0
66,20.0,94.0,20.0,182.42265963554382,1060.5777430534363,-0.9893751077825309,-0.9893751077825309,0.001,3.0
67,20.0,58.0,20.0,134.18851399421692,1042.8769330978394,-0.9842679367761213,-0.9842679367761213,0.001,5.0
68,20.0,217.0,20.0,282.1698033809662,1048.547043800354,-0.9810947743649957,-0.9810947743649957,0.0,1.0
69,20.0,70.0,20.0,149.40408277511597,1115.0721282958984,-0.9969897845665912,-0.9969897845665912,0.0,0.0
70,20.0,55.0,20.0,160.7213900089264,1234.9439194202423,-0.9903718811861442,-0.9903718811861442,0.0,0.0
71,20.0,113.0,20.0,224.56541061401367,1286.2085137367249,-0.9943808946708247,-0.9943808946708247,0.0,4.0
72,20.0,197.0,20.0,299.0768344402313,1151.126017332077,-0.9923511702340949,-0.9923511702340949,0.0,1.0
73,20.0,133.0,20.0,217.46319556236267,1178.498062133789,-0.997310045528066,-0.997310045528066,0.0,5.0
74,20.0,66.0,20.0,165.90860056877136,1251.3021266460419,-0.9793119050837276,-0.9793119050837276,0.0,4.0
75,20.0,45.0,20.0,134.98012137413025,1235.441372871399,-0.9755943607526251,-0.9755943607526251,0.0,2.0
76,20.0,104.0,20.0,216.40680742263794,1210.5714945793152,-0.9394317643679987,-0.9394317643679987,0.0,5.0
77,20.0,106.0,20.0,231.0642192363739,1174.4324510097504,-0.9984156891247542,-0.9984156891247542,0.001,4.0
78,20.0,51.0,20.0,153.66151428222656,1185.0991432666779,-0.9792806792958652,-0.9792806792958652,0.0,2.0
79,19.0,120.0,19.0,224.53673458099365,1288.7093620300293,-0.9888143794222328,-0.9888143794222328,0.0,1.0
80,19.0,85.0,19.0,174.26310443878174,1088.6484687328339,-0.9887081997739774,-0.9887081997739774,0.001,11.0
81,20.0,51.0,20.0,142.8314492702484,1234.2774846553802,-0.9293370785222382,-0.9293370785222382,0.0,3.0
82,20.0,71.0,20.0,157.968195438385,1172.0847628116608,-0.9706792204181027,-0.9706792204181027,0.0,10.0
83,20.0,149.0,20.0,250.12588763237,1170.12566280365,-0.9993150353627743,-0.9993150353627743,0.0,2.0
84,20.0,126.0,20.0,234.4014949798584,1164.262398481369,-0.9977519568501647,-0.9977519568501647,0.0,3.0
85,20.0,51.0,20.0,149.53487181663513,1151.5416722297668,-0.9208644830654311,-0.9208644830654311,0.0,3.0
86,20.0,51.0,20.0,139.09722137451172,1184.8733355998993,-0.9840954710017539,-0.9840954710017539,0.0,3.0
87,20.0,182.0,20.0,288.1606469154358,1140.8362538814545,-0.994949800832199,-0.994949800832199,0.0,2.0
88,20.0,90.0,20.0,192.81150674819946,1209.031494140625,-0.9824812629668896,-0.9824812629668896,0.0,5.0
89,20.0,108.0,20.0,208.66714215278625,1215.913808107376,-0.9551126990192232,-0.9551126990192232,0.0,4.0
90,19.0,56.0,19.0,155.491934299469,1201.876297235489,-0.9997724651823059,-0.9997724651823059,0.001,2.0
91,20.0,48.0,20.0,140.82702660560608,1153.1618406772614,-0.9906727938876426,-0.9906727938876426,0.0,4.0
92,20.0,39.0,20.0,123.67934727668762,1072.2202117443085,-0.9838396497066636,-0.9838396497066636,0.0,25.0
93,20.0,97.0,20.0,192.62002229690552,1115.718667268753,-0.975016368491236,-0.975016368491236,0.0,1.0
94,19.0,66.0,19.0,163.47813320159912,1172.892472743988,-0.9932952721840851,-0.9932952721840851,0.0,3.0
95,20.0,98.0,20.0,205.9858899116516,1173.5279014110565,-0.9728695072654636,-0.9728695072654636,0.001,6.0
96,20.0,47.0,20.0,138.74878668785095,1088.6068699359894,-0.9852109599586873,-0.9852109599586873,0.0,4.0
97,20.0,52.0,20.0,146.0619659423828,1205.7550857067108,-0.998255167937475,-0.998255167937475,0.0,2.0
98,20.0,78.0,20.0,161.11776208877563,1119.3789548873901,-0.9877373934328774,-0.9877373934328774,0.0,1.0
99,20.0,59.0,20.0,148.7625012397766,1136.979124546051,-0.9620847553935745,-0.9620847553935745,0.0,6.0
