,Regions Missed = 0,Regions Missed = 1,Regions Missed >= 2,Descents = p,Descents = p-1,Descents <= p-2,Percentage of incorrectly identified regions,Total Minimizers missed,Total times sat inequality,Percentage minimizers missed
1,0.0,0.0,100.0,0.0,0.0,100.0,77.44800000000001,80658.0,99399.0,81.146
2,34.0,31.0,35.0,34.0,31.0,35.0,0.001,21.0,95123.0,0.022
3,34.0,32.0,34.0,34.0,32.0,34.0,0.0,6.0,95122.0,0.006
1,0.0,0.0,100.0,0.0,0.0,100.0,76.57000000000001,79506.0,99354.0,80.023
2,34.0,31.0,35.0,34.0,31.0,35.0,0.001,17.0,95123.0,0.018
3,34.0,32.0,34.0,34.0,32.0,34.0,0.0,6.0,95122.0,0.006
1,0.0,0.0,100.0,0.0,0.0,100.0,56.95499999999999,62894.0,98636.0,63.764
2,34.0,32.0,34.0,34.0,32.0,34.0,0.0,3.0,95122.0,0.003
3,34.0,32.0,34.0,34.0,32.0,34.0,0.0,0.0,95122.0,0.0
1,32.0,33.0,35.0,32.0,33.0,35.0,0.006,310.0,95128.0,0.326
2,34.0,32.0,34.0,34.0,32.0,34.0,0.0,0.0,95122.0,0.0
3,34.0,32.0,34.0,34.0,32.0,34.0,0.0,0.0,95122.0,0.0
