,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,20.0,0.0,50.0,197.8470389842987,208.98891162872314,9.137494651019731e-08,8.704324019843007e-08,0.442,958.0,527.0,980.0
1,15.0,0.0,50.0,192.4821493625641,197.61974716186523,8.223413390682885e-08,8.223413390682885e-08,0.501,972.0,650.0,985.0
2,15.0,0.0,50.0,205.5785367488861,201.46185326576233,9.364052111663175e-08,6.042620329704505e-08,0.524,955.0,581.0,985.0
3,15.0,0.0,50.0,194.2366178035736,188.93910574913025,7.980104291741716e-08,8.889158295201584e-08,0.464,962.0,489.0,985.0
4,15.0,0.0,49.0,188.40689158439636,189.53459548950195,8.852536770241015e-08,7.453589698307122e-08,0.522,970.0,576.0,985.0
5,16.0,0.0,50.0,190.93693280220032,191.69229102134705,7.0872706139804e-08,7.581053274747398e-08,0.543,971.0,633.0,984.0
6,20.0,0.0,50.0,191.95777821540833,191.7144341468811,8.402700701897644e-08,7.971634537905008e-08,0.444,963.0,623.0,980.0
7,15.0,0.0,49.0,190.62741708755493,193.02875590324402,8.565138491828371e-08,7.555402169428599e-08,0.776,967.0,821.0,985.0
8,13.0,0.0,50.0,188.4232997894287,189.16781497001648,5.47888995684217e-08,4.4970835285178076e-08,0.49,966.0,506.0,987.0
9,15.0,0.0,50.0,192.71289014816284,194.8670334815979,4.300210650009498e-08,4.674915096180343e-08,0.599,964.0,673.0,985.0
10,22.0,0.0,49.0,196.1042332649231,193.84592056274414,9.243865210416634e-08,8.033824606920576e-08,0.448,961.0,490.0,978.0
11,18.0,0.0,50.0,191.7640392780304,190.6955964565277,4.398743710853264e-08,4.398743710853264e-08,0.384,962.0,480.0,982.0
12,15.0,0.0,47.0,192.7929003238678,192.17768049240112,5.8513371884957675e-08,5.8513371884957675e-08,0.643,964.0,685.0,985.0
13,18.0,0.0,49.0,190.19936633110046,193.75328946113586,9.173276207428974e-08,8.339917288657842e-08,0.509,958.0,588.0,982.0
14,18.0,0.0,50.0,192.41082978248596,186.2773175239563,7.623245607233299e-08,5.0251174042321327e-08,0.619,965.0,669.0,982.0
15,18.0,0.0,49.0,189.10733032226562,187.92666292190552,8.637923720009978e-08,8.658333120115164e-08,0.443,958.0,533.0,982.0
16,15.0,0.0,49.0,188.70968508720398,187.2683699131012,5.0274668245203986e-08,4.822529968148599e-08,0.408,942.0,450.0,985.0
17,17.0,0.0,47.0,183.28439450263977,181.26950788497925,8.707042784628753e-08,8.237139157545517e-08,0.51,969.0,573.0,983.0
18,15.0,0.0,48.0,180.83447408676147,180.22414803504944,3.595975004784769e-08,3.595975004784769e-08,0.536,973.0,623.0,985.0
19,18.0,0.0,49.0,188.94014406204224,189.3624358177185,9.025339146283594e-08,3.6302675097848045e-08,0.555,962.0,651.0,982.0
20,18.0,0.0,50.0,184.69734263420105,183.92641377449036,8.50263215485962e-08,8.658249289904608e-08,0.457,962.0,501.0,982.0
21,18.0,0.0,48.0,184.39913773536682,183.48755168914795,8.439444506192661e-08,6.196604667845697e-08,0.695,975.0,769.0,982.0
22,19.0,0.0,49.0,191.44981169700623,188.46497249603271,9.259030720359542e-08,8.533065900736693e-08,0.393,962.0,513.0,981.0
23,16.0,0.0,48.0,182.58302211761475,185.9216067790985,8.964603797757969e-08,5.327261724915428e-08,0.53,974.0,580.0,984.0
24,16.0,0.0,49.0,188.23517441749573,186.42196822166443,8.75204136614696e-08,6.222017879122058e-08,0.579,957.0,662.0,984.0
25,17.0,0.0,50.0,182.75489211082458,183.66158390045166,9.424532340345966e-08,5.61561124774619e-08,0.431,961.0,516.0,983.0
26,17.0,0.0,48.0,191.4997682571411,191.2171528339386,8.425637029363598e-08,6.066029589271272e-08,0.644,966.0,669.0,983.0
27,21.0,0.0,49.0,190.5200972557068,191.2045681476593,9.346389943295442e-08,5.7584210526411345e-08,0.597,956.0,715.0,979.0
28,14.0,0.0,49.0,182.95799589157104,186.49935102462769,5.295263058296711e-08,6.014569027562732e-08,0.642,967.0,720.0,986.0
29,15.0,0.0,48.0,190.3258192539215,192.84004306793213,7.423829413381947e-08,3.358226082484637e-08,0.582,968.0,613.0,985.0
30,21.0,0.0,50.0,190.0252435207367,191.85943388938904,9.886109000003533e-08,6.075504348254754e-08,0.414,977.0,507.0,979.0
31,15.0,0.0,48.0,195.05128717422485,193.06934309005737,7.316423645081427e-08,5.178886505570839e-08,0.473,963.0,545.0,985.0
32,15.0,0.0,48.0,197.60447549819946,196.90805840492249,8.804242217975507e-08,8.346162809786953e-08,0.556,955.0,604.0,985.0
33,14.0,0.0,49.0,196.10109972953796,194.51325845718384,6.70327769816148e-08,6.70327769816148e-08,0.657,966.0,686.0,986.0
34,18.0,0.0,48.0,190.23048377037048,191.44950914382935,8.552012159446836e-08,6.500434552095217e-08,0.383,955.0,447.0,982.0
35,15.0,0.0,48.0,194.09644675254822,196.49516248703003,8.979194531417519e-08,8.342368203016024e-08,0.466,970.0,522.0,985.0
36,17.0,0.0,49.0,193.70378470420837,194.25620436668396,8.393643502585149e-08,8.119215628278939e-08,0.414,965.0,491.0,983.0
37,16.0,0.0,50.0,191.25434470176697,189.87032270431519,8.331817506076123e-08,3.7850330850578155e-08,0.48,969.0,579.0,984.0
38,13.0,0.0,48.0,194.08936667442322,193.5621452331543,8.075863508888399e-08,8.526635328635677e-08,0.607,962.0,649.0,987.0
39,14.0,0.0,49.0,190.32735013961792,190.81718468666077,9.604021516592909e-08,4.282439039118307e-08,0.577,957.0,666.0,986.0
40,16.0,0.0,50.0,205.97882676124573,202.89070963859558,8.991762633764233e-08,5.667522136195648e-08,0.735,972.0,779.0,984.0
41,20.0,0.0,49.0,193.9538288116455,192.7587730884552,8.087711219847353e-08,7.585845484899621e-08,0.563,969.0,622.0,980.0
42,16.0,0.0,48.0,192.98537921905518,191.51119089126587,7.977168987590222e-08,8.86750877197043e-08,0.567,961.0,600.0,984.0
43,19.0,0.0,47.0,187.8888659477234,199.87008690834045,9.069005353728264e-08,9.24144464650762e-08,0.34,957.0,401.0,981.0
44,16.0,0.0,50.0,210.78284549713135,199.1491949558258,9.347592575291339e-08,7.147168854735168e-08,0.546,970.0,670.0,984.0
45,12.0,0.0,48.0,199.3986542224884,225.02178144454956,6.062842144734802e-08,4.522177943164954e-08,0.61,972.0,669.0,988.0
46,15.0,0.0,50.0,241.03805303573608,256.5686388015747,8.698126584923413e-08,5.586238797120867e-08,0.523,956.0,589.0,985.0
47,15.0,0.0,48.0,243.96648406982422,249.2277684211731,9.401676934561476e-08,6.722504800629222e-08,0.506,971.0,557.0,985.0
48,14.0,0.0,50.0,257.71319675445557,262.1311066150665,8.65814876066264e-08,5.747356141391303e-08,0.59,969.0,637.0,986.0
49,16.0,0.0,47.0,265.885249376297,268.3996706008911,4.066743253833339e-08,4.066743253833339e-08,0.384,969.0,540.0,984.0
50,18.0,0.0,49.0,270.0012605190277,268.02119398117065,8.583605154226521e-08,8.904955998707122e-08,0.554,969.0,649.0,982.0
51,15.0,0.0,49.0,268.12773990631104,268.4440133571625,9.85784347242212e-08,7.308924785537613e-08,0.604,971.0,642.0,985.0
52,17.0,0.0,49.0,259.8271563053131,258.3126311302185,9.657936784562713e-08,8.607436567735003e-08,0.517,967.0,541.0,983.0
53,19.0,0.0,50.0,268.27142691612244,265.52227783203125,8.908020135797488e-08,4.688635161278891e-08,0.535,963.0,565.0,981.0
54,19.0,0.0,50.0,239.61003923416138,212.13186955451965,6.664892771483932e-08,7.983816861941018e-08,0.467,964.0,548.0,981.0
55,18.0,0.0,50.0,208.07818627357483,197.21301007270813,8.092855857989291e-08,6.999095725368704e-08,0.554,962.0,591.0,982.0
56,16.0,0.0,50.0,192.344731092453,183.116028547287,9.217288248117566e-08,5.2699429487347125e-08,0.608,970.0,702.0,984.0
57,13.0,0.0,49.0,183.07971239089966,184.83320832252502,9.440733122897015e-08,3.9448425367187185e-08,0.487,967.0,585.0,987.0
58,17.0,0.0,48.0,183.6538918018341,183.33905124664307,9.063934387468975e-08,8.356099610824183e-08,0.494,962.0,536.0,983.0
59,15.0,0.0,50.0,192.9054057598114,192.1677119731903,8.715682115401673e-08,8.218419105096558e-08,0.58,960.0,675.0,985.0
60,16.0,0.0,50.0,188.8638093471527,187.62784576416016,8.603179453639748e-08,6.895041105520105e-08,0.433,971.0,502.0,984.0
61,9.0,0.0,49.0,191.76313304901123,194.63978099822998,8.411395549253825e-08,8.411395549253825e-08,0.667,957.0,671.0,991.0
62,13.0,0.0,50.0,183.97306847572327,185.41592001914978,9.056648900849624e-08,8.525465148966408e-08,0.534,982.0,594.0,987.0
63,17.0,0.0,49.0,189.04993748664856,185.322007894516,3.8831598764332215e-08,3.8831598764332215e-08,0.474,947.0,524.0,983.0
64,13.0,0.0,49.0,192.6059947013855,193.8671236038208,5.144850483208189e-08,5.144850483208189e-08,0.553,958.0,571.0,987.0
65,19.0,0.0,49.0,187.65361618995667,186.2629792690277,9.066180615064475e-08,7.673722141406204e-08,0.578,967.0,638.0,981.0
66,18.0,0.0,49.0,194.21687841415405,194.11483144760132,8.797377169945648e-08,6.28495717299692e-08,0.668,965.0,725.0,982.0
67,16.0,0.0,48.0,191.8189079761505,189.00210547447205,9.23048280681199e-08,9.0191072597852e-08,0.442,965.0,494.0,984.0
68,18.0,0.0,50.0,184.26954579353333,180.9854986667633,7.832543389203598e-08,7.832543389203598e-08,0.422,957.0,471.0,982.0
69,19.0,0.0,48.0,187.24053072929382,184.65580081939697,9.255420549574428e-08,6.869783291226112e-08,0.477,970.0,551.0,981.0
70,13.0,0.0,49.0,182.47433257102966,189.35090804100037,4.8736154563715405e-08,8.285269183124667e-08,0.557,955.0,595.0,987.0
71,16.0,0.0,48.0,189.05783081054688,186.19570136070251,8.946923078683108e-08,7.455319535493125e-08,0.627,959.0,668.0,984.0
72,19.0,0.0,50.0,189.9277367591858,185.40155506134033,8.586137079358105e-08,5.0988170376163144e-08,0.52,958.0,580.0,981.0
73,15.0,0.0,49.0,187.95833468437195,189.50883102416992,8.63491805989688e-08,6.203336438305073e-08,0.546,956.0,603.0,985.0
74,16.0,0.0,50.0,189.79438543319702,184.93544006347656,4.801924008392318e-08,7.842306559453334e-08,0.567,966.0,655.0,984.0
75,17.0,0.0,50.0,185.3348150253296,186.95028471946716,5.972548041621659e-08,8.637492734342282e-08,0.463,955.0,512.0,983.0
76,17.0,0.0,50.0,184.25420570373535,185.64517879486084,9.185195991641256e-08,8.522329908704035e-08,0.611,973.0,676.0,983.0
77,18.0,0.0,49.0,185.3796627521515,186.73137426376343,4.9928211611295155e-08,7.046232551248086e-08,0.431,955.0,505.0,982.0
78,18.0,0.0,49.0,185.26244592666626,188.48799633979797,8.961846589011313e-08,7.434878744281304e-08,0.42,964.0,506.0,982.0
79,16.0,0.0,50.0,193.13204073905945,194.60368824005127,9.213387429135901e-08,5.086329424155556e-08,0.6,958.0,680.0,984.0
80,15.0,0.0,50.0,185.4806752204895,186.34812712669373,8.580853536685285e-08,6.64531683814211e-08,0.516,970.0,592.0,985.0
81,19.0,0.0,50.0,196.91457533836365,189.1016607284546,3.073742566542922e-08,3.073742566542922e-08,0.578,960.0,642.0,981.0
82,15.0,0.0,49.0,187.31570601463318,190.03625631332397,5.637848465402668e-08,5.637848465402668e-08,0.537,971.0,577.0,985.0
83,15.0,0.0,50.0,192.92747974395752,191.9127712249756,9.301517767095969e-08,8.897441790396001e-08,0.495,972.0,537.0,985.0
84,17.0,0.0,47.0,188.28185772895813,187.61500453948975,8.64241753391923e-08,8.001716396657168e-08,0.508,966.0,548.0,983.0
85,18.0,0.0,50.0,192.89445972442627,193.95505809783936,8.582046128417699e-08,8.582046128417699e-08,0.402,969.0,517.0,982.0
86,15.0,0.0,49.0,194.33719158172607,191.3675937652588,8.830217356908214e-08,8.690204559926529e-08,0.702,968.0,742.0,985.0
87,15.0,0.0,48.0,192.79084467887878,193.59621167182922,8.533362612185564e-08,8.539640875715471e-08,0.503,955.0,560.0,985.0
88,20.0,0.0,48.0,188.88090324401855,188.03438591957092,8.348779213013322e-08,7.849158046371777e-08,0.515,967.0,676.0,980.0
89,14.0,0.0,50.0,198.980375289917,197.29783535003662,1.0073803726725948e-07,8.744220863012966e-08,0.535,968.0,563.0,986.0
90,15.0,0.0,49.0,183.1044478416443,183.34759664535522,4.438913604836753e-08,4.438913604836753e-08,0.498,957.0,512.0,985.0
91,16.0,0.0,48.0,185.01110887527466,184.74014019966125,9.465516334505654e-08,4.5887909450910625e-08,0.353,980.0,443.0,984.0
92,20.0,0.0,49.0,187.47195291519165,186.94488620758057,8.683536500135784e-08,8.692765961703345e-08,0.497,970.0,631.0,980.0
93,14.0,0.0,50.0,186.43200087547302,190.73276615142822,5.798739939667108e-08,8.257461343194311e-08,0.608,958.0,651.0,986.0
94,16.0,0.0,50.0,185.30934810638428,187.06340837478638,8.448672691872562e-08,5.510027503054727e-08,0.377,959.0,415.0,984.0
95,17.0,0.0,50.0,195.50983047485352,194.1743185520172,8.990401467614954e-08,8.563550275215604e-08,0.494,959.0,531.0,983.0
96,21.0,0.0,50.0,184.97639274597168,181.8021137714386,9.300907100060514e-08,8.86635530937134e-08,0.507,959.0,622.0,979.0
97,16.0,0.0,49.0,190.62739753723145,190.30051708221436,7.805957004476847e-08,8.824580033934134e-08,0.59,974.0,641.0,984.0
98,15.0,0.0,50.0,185.11897587776184,181.56721591949463,9.251090068975735e-08,6.761170532173649e-08,0.563,958.0,634.0,985.0
99,18.0,0.0,49.0,191.04789900779724,191.07412028312683,9.074075572410948e-08,3.27987730273824e-08,0.529,957.0,638.0,982.0
