,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,18.0,75.0,18.0,984.5953731536865,1026.986328125,-0.9975855641313829,-0.9975855641313829,0.0,0.0,0.0,907.0
1,20.0,286.0,20.0,1007.2969622612,993.851490020752,-0.9991109582474539,-0.9991109582474539,0.0,0.0,0.0,694.0
2,20.0,278.0,20.0,1013.9267868995667,995.2073266506195,-0.9977134027314122,-0.9977134027314122,0.0,0.0,0.0,702.0
3,19.0,105.0,19.0,1033.8758907318115,1026.293066740036,-0.9824551349327935,-0.9824551349327935,0.0,0.0,0.0,876.0
4,19.0,233.0,19.0,1004.1321728229523,975.7359671592712,-0.9291543756409397,-0.9291543756409397,0.0,0.0,0.0,748.0
5,20.0,360.0,20.0,989.7120904922485,979.7052345275879,-0.998783312510389,-0.998783312510389,0.0,0.0,0.0,620.0
6,18.0,111.0,18.0,782.1475052833557,788.0596516132355,-0.9965716397217734,-0.9965716397217734,0.0,0.0,0.0,871.0
7,20.0,278.0,20.0,813.5175824165344,772.2560875415802,-0.9207392735170519,-0.9207392735170519,0.0,0.0,0.0,702.0
8,20.0,188.0,20.0,880.3263993263245,909.0870428085327,-0.9961862353430644,-0.9961862353430644,0.0,0.0,0.0,792.0
9,20.0,277.0,20.0,952.3991522789001,970.195515871048,-0.9698893945234228,-0.9698893945234228,0.0,0.0,0.0,703.0
10,16.0,96.0,16.0,910.609304189682,915.1934158802032,-0.985999766651062,-0.985999766651062,0.0,0.0,0.0,888.0
11,20.0,412.0,20.0,924.3963692188263,924.3826680183411,-0.9924245341572275,-0.9924245341572275,0.0,0.0,0.0,568.0
12,19.0,129.0,19.0,935.1872372627258,951.1386544704437,-0.9186295207278721,-0.9186295207278721,0.0,0.0,0.0,852.0
13,19.0,290.0,19.0,907.188937664032,887.1787869930267,-0.9210252967954813,-0.9210252967954813,0.0,0.0,0.0,691.0
14,20.0,173.0,20.0,979.7897417545319,811.8700499534607,-0.9864180293000587,-0.9864180293000587,0.0,0.0,0.0,807.0
15,19.0,155.0,19.0,748.7131061553955,715.863442659378,-0.9975280882804186,-0.9975280882804186,0.0,0.0,0.0,826.0
16,20.0,111.0,20.0,742.9465301036835,755.3396468162537,-0.9969603245688774,-0.9969603245688774,0.0,0.0,0.0,869.0
17,18.0,177.0,18.0,756.8196091651917,785.4829442501068,-0.9453381420616447,-0.9453381420616447,0.0,0.0,0.0,805.0
18,20.0,273.0,20.0,824.1297299861908,904.7218980789185,-0.9594890174375393,-0.9594890174375393,0.0,0.0,0.0,707.0
19,19.0,477.0,19.0,905.9429357051849,923.668215751648,-0.966889384640914,-0.966889384640914,0.0,0.0,0.0,504.0
