,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,20.0,5.0,20.0,1296.7557609081268,1252.3449048995972,-0.9463782114294639,-0.9463782114294639,0.0,3.0,0.0,975.0
1,20.0,5.0,20.0,1262.354338169098,1253.0118470191956,-0.9932054575347172,-0.9932054575347172,0.0,0.0,0.0,975.0
2,20.0,6.0,20.0,1252.4500715732574,1221.4880974292755,-0.9938413474189047,-0.9938413474189047,0.0,3.0,0.0,974.0
3,20.0,19.0,20.0,1279.6140398979187,1257.2590205669403,-0.9882943356056614,-0.9882943356056614,0.0,4.0,0.0,961.0
4,20.0,3.0,20.0,1304.284743309021,1272.4824109077454,-0.949269558752231,-0.949269558752231,0.0,3.0,0.0,977.0
5,20.0,6.0,20.0,1300.7823565006256,1291.3854806423187,-0.9585651217177543,-0.9585651217177543,0.0,0.0,0.0,974.0
6,20.0,12.0,20.0,1424.8055636882782,1379.9215755462646,-0.9986716853253597,-0.9986716853253597,0.0,0.0,0.0,968.0
7,20.0,5.0,20.0,1298.6754577159882,1269.2589073181152,-0.9835954067111183,-0.9835954067111183,0.0,2.0,0.0,975.0
8,20.0,6.0,20.0,1367.2583510875702,1338.513703584671,-0.9824704102313747,-0.9824704102313747,0.0,0.0,0.0,974.0
9,20.0,13.0,20.0,1504.8505058288574,1468.6392140388489,-0.9450117374847032,-0.9450117374847032,0.0,1.0,0.0,967.0
10,20.0,8.0,20.0,1273.866512298584,1243.0529563426971,-0.9972528482180419,-0.9972528482180419,0.0,6.0,0.0,972.0
11,20.0,4.0,20.0,1242.7873167991638,1212.71235704422,-0.9918900811412222,-0.9918900811412222,0.0,1.0,0.0,976.0
12,20.0,4.0,20.0,1278.4472510814667,1258.2540032863617,-0.9640255831887087,-0.9640255831887087,0.001,11.0,0.0,976.0
13,20.0,3.0,20.0,1350.9139575958252,1317.4794948101044,-0.9878870228701433,-0.9878870228701433,0.0,2.0,0.0,977.0
14,20.0,6.0,20.0,1298.0363140106201,1289.396374464035,-0.9842426745064009,-0.9842426745064009,0.0,2.0,0.0,974.0
15,20.0,7.0,20.0,1324.1693422794342,1303.5433857440948,-0.9402848650962591,-0.9402848650962591,0.0,0.0,0.0,973.0
16,20.0,4.0,20.0,1444.427879333496,1461.3564238548279,-0.9575112584708533,-0.9575112584708533,0.0,0.0,0.0,976.0
17,20.0,4.0,20.0,1279.9948024749756,1231.1539330482483,-0.9992033667063148,-0.9992033667063148,0.0,4.0,0.0,976.0
18,20.0,4.0,20.0,1305.601267337799,1271.2916786670685,-0.9582703370761395,-0.9582703370761395,0.0,1.0,0.0,976.0
19,20.0,47.0,20.0,1266.1992971897125,1252.226582288742,-0.9743001265072352,-0.9743001265072352,0.0,2.0,0.0,933.0
20,20.0,4.0,20.0,1357.8246693611145,1341.1528024673462,-0.9950301320314251,-0.9950301320314251,0.0,3.0,0.0,976.0
21,20.0,10.0,20.0,1274.2702169418335,1244.9291443824768,-0.9941869119787832,-0.9941869119787832,0.0,6.0,0.0,970.0
22,20.0,4.0,20.0,1252.8991696834564,1314.8649723529816,-0.9830350866076011,-0.9830350866076011,0.0,2.0,0.0,976.0
23,19.0,7.0,19.0,1766.657042503357,1349.5847249031067,-0.9720751689976406,-0.9720751689976406,0.0,6.0,0.0,974.0
24,20.0,10.0,20.0,1284.1803345680237,1260.8003141880035,-0.9457700237553371,-0.9457700237553371,0.0,4.0,0.0,970.0
25,20.0,40.0,20.0,1354.3725140094757,1341.2572429180145,-0.9421143266109253,-0.9421143266109253,0.0,5.0,0.0,940.0
26,20.0,9.0,20.0,1337.345278263092,1320.7144675254822,-0.9792098279649737,-0.9792098279649737,0.001,2.0,0.0,971.0
27,20.0,6.0,20.0,1288.5701315402985,1239.596447467804,-0.9951735746736832,-0.9951735746736832,0.0,0.0,0.0,974.0
28,20.0,24.0,20.0,1291.7950880527496,1262.199331998825,-0.9937818767436841,-0.9937818767436841,0.0,1.0,0.0,956.0
29,20.0,2.0,20.0,1327.3037469387054,1306.208916425705,-0.9864702526330703,-0.9864702526330703,0.0,3.0,0.0,978.0
30,20.0,5.0,20.0,1335.6901533603668,1306.8579618930817,-0.9858028233602317,-0.9858028233602317,0.0,1.0,0.0,975.0
31,20.0,32.0,20.0,1311.5896406173706,1268.722223520279,-0.9864607894124318,-0.9864607894124318,0.0,1.0,0.0,948.0
32,20.0,8.0,20.0,1371.8607046604156,1348.3742170333862,-0.9913367611219431,-0.9913367611219431,0.0,15.0,1.0,972.0
33,20.0,8.0,20.0,1243.0109181404114,1211.4281594753265,-0.9766265514472864,-0.9766265514472864,0.0,1.0,0.0,972.0
34,20.0,6.0,20.0,1396.203468799591,1356.9290120601654,-0.9786866187282708,-0.9786866187282708,0.0,7.0,0.0,974.0
35,20.0,12.0,20.0,1339.6327831745148,1300.110188484192,-0.9826634439959494,-0.9826634439959494,0.0,1.0,0.0,968.0
36,20.0,6.0,20.0,1221.9110913276672,1195.048802614212,-0.9910757662763819,-0.9910757662763819,0.0,1.0,0.0,974.0
37,20.0,8.0,20.0,1325.42293715477,1262.2087802886963,-0.9767830605382413,-0.9767830605382413,0.0,2.0,0.0,972.0
38,20.0,10.0,20.0,1317.6751127243042,1276.3813679218292,-0.9930987702930143,-0.9930987702930143,0.0,1.0,0.0,970.0
39,20.0,3.0,20.0,1341.3964536190033,1311.4342024326324,-0.990047108260181,-0.990047108260181,0.0,4.0,0.0,977.0
40,20.0,15.0,20.0,1302.7436501979828,1281.7824773788452,-0.9910290448138597,-0.9910290448138597,0.0,3.0,0.0,965.0
41,20.0,7.0,20.0,1273.9062526226044,1242.0317077636719,-0.9813282609785793,-0.9813282609785793,0.001,3.0,0.0,973.0
42,20.0,6.0,20.0,1256.0822422504425,1237.2999184131622,-0.9794980714420769,-0.9794980714420769,0.0,3.0,0.0,974.0
43,20.0,8.0,20.0,1435.5463013648987,1377.3424122333527,-0.9019377418667042,-0.9019377418667042,0.0,0.0,0.0,972.0
44,20.0,4.0,20.0,1208.2000062465668,1195.0272052288055,-0.9806963893605478,-0.9806963893605478,0.0,3.0,0.0,976.0
45,20.0,6.0,20.0,1314.2226345539093,1277.9547309875488,-0.9877064034906307,-0.9877064034906307,0.0,2.0,0.0,974.0
