,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,46.0,0.0,46.0,2296.240231513977,2819.2604212760925,1.7396247624373e-07,1.7396247624373e-07,0.0,0.0,0.0,954.0
1,48.0,0.0,48.0,2683.1286725997925,2609.449960708618,9.356897113458912e-08,9.356897113458912e-08,0.0,0.0,0.0,952.0
2,50.0,0.0,50.0,2240.2449514865875,2092.537816286087,1.5074973046616307e-07,1.5074973046616307e-07,0.0,0.0,0.0,950.0
3,48.0,0.0,48.0,2287.9919831752777,2080.621423959732,7.3652274251463e-08,7.3652274251463e-08,0.0,0.0,0.0,952.0
4,48.0,0.0,48.0,2299.0953888893127,2329.8457605838776,1.4201511618389254e-07,1.4201511618389254e-07,0.0,0.0,0.0,952.0
5,46.0,0.0,46.0,2429.7162590026855,2522.9398136138916,1.4528349159342122e-07,1.4528349159342122e-07,0.0,0.0,0.0,954.0
6,49.0,0.0,49.0,2529.2363879680634,2534.6838698387146,1.2561306040132072e-07,1.2561306040132072e-07,0.0,0.0,0.0,951.0
7,49.0,0.0,49.0,2495.6097750663757,2215.1929666996,1.0922405075157559e-07,1.0922405075157559e-07,0.0,0.0,0.0,951.0
8,49.0,0.0,49.0,2555.8254067897797,2376.1782689094543,7.299915149894011e-08,7.299915149894011e-08,0.0,0.0,0.0,951.0
9,49.0,0.0,49.0,2282.9653420448303,1985.8606386184692,6.655607338918185e-08,6.655607338918185e-08,0.0,0.0,0.0,951.0
10,49.0,0.0,49.0,1837.6087374687195,2272.1554951667786,1.2971108803720835e-07,1.2971108803720835e-07,0.0,0.0,0.0,951.0
11,49.0,0.0,49.0,2479.104113817215,2211.993682384491,9.244893182165986e-08,9.244893182165986e-08,0.0,0.0,0.0,951.0
12,49.0,0.0,49.0,2207.867354631424,2150.0004155635834,7.073546265769265e-08,7.073546265769265e-08,0.0,0.0,0.0,951.0
13,46.0,0.0,46.0,2157.777585744858,2268.455230951309,1.0299114764754904e-07,1.0299114764754904e-07,0.0,0.0,0.0,954.0
14,50.0,0.0,50.0,1856.0211651325226,2339.131791830063,8.006140865546605e-08,8.006140865546605e-08,0.0,0.0,0.0,950.0
15,50.0,0.0,50.0,2749.193704366684,2226.997312784195,1.3846918848032347e-07,1.3846918848032347e-07,0.0,0.0,0.0,950.0
16,48.0,0.0,48.0,2201.4778542518616,2231.467666387558,1.234422988216761e-07,1.234422988216761e-07,0.0,0.0,0.0,952.0
17,45.0,0.0,45.0,2484.66095495224,2368.5597808361053,1.1366292419547298e-07,1.1366292419547298e-07,0.0,0.0,0.0,955.0
18,49.0,0.0,49.0,2596.311983346939,2514.0585668087006,7.618593338357076e-08,7.618593338357076e-08,0.0,0.0,0.0,951.0
19,50.0,0.0,50.0,2838.844146490097,2509.6176369190216,1.1749798469311817e-07,1.1749798469311817e-07,0.0,0.0,0.0,950.0
20,47.0,0.0,47.0,2612.1641504764557,2732.3297917842865,1.7034183029275113e-07,1.7034183029275113e-07,0.0,0.0,0.0,953.0
21,50.0,0.0,50.0,2118.0356419086456,2410.8579227924347,1.5711697674266103e-07,1.5711697674266103e-07,0.0,0.0,0.0,950.0
22,49.0,0.0,49.0,2679.313010931015,2646.7399060726166,1.08908958360613e-07,1.08908958360613e-07,0.0,0.0,0.0,951.0
23,48.0,0.0,48.0,2457.005934238434,2022.8129415512085,1.2910555213372756e-07,1.2910555213372756e-07,0.0,0.0,0.0,952.0
24,48.0,0.0,48.0,2033.5619459152222,2042.9336845874786,1.1550939249294043e-07,1.1550939249294043e-07,0.0,0.0,0.0,952.0
25,47.0,0.0,47.0,2164.037757873535,2124.9669620990753,7.818998167150574e-08,7.818998167150574e-08,0.0,0.0,0.0,953.0
26,48.0,0.0,48.0,2317.9366030693054,2152.340309381485,8.69725549278651e-08,8.69725549278651e-08,0.0,0.0,0.0,952.0
27,49.0,0.0,49.0,2233.1675674915314,2096.0221605300903,7.610654747937959e-08,7.610654747937959e-08,0.0,0.0,0.0,951.0
28,48.0,0.0,48.0,2505.478738307953,2230.7054255008698,1.222027814092876e-07,1.222027814092876e-07,0.0,0.0,0.0,952.0
29,46.0,0.0,46.0,2674.9934763908386,2505.2264971733093,1.6819838594915127e-07,1.6819838594915127e-07,0.0,0.0,0.0,954.0
30,49.0,0.0,49.0,2280.190953731537,2095.819163799286,1.7132979455528588e-07,1.7132979455528588e-07,0.0,0.0,0.0,951.0
31,47.0,0.0,47.0,2290.8195056915283,2818.070678949356,1.0315477082558787e-07,1.0315477082558787e-07,0.0,0.0,0.0,953.0
32,49.0,0.0,49.0,2167.739259958267,2543.0429587364197,7.277713956279115e-08,7.277713956279115e-08,0.0,0.0,0.0,951.0
33,50.0,0.0,50.0,2578.070147752762,2372.9252622127533,1.1235066469245054e-07,1.1235066469245054e-07,0.0,0.0,0.0,950.0
34,49.0,0.0,49.0,2202.103301048279,2311.753006219864,1.256217963189723e-07,1.256217963189723e-07,0.0,0.0,0.0,951.0
35,45.0,0.0,45.0,1959.4215950965881,2312.5457634925842,1.63060009390562e-07,1.63060009390562e-07,0.0,0.0,0.0,955.0
36,49.0,0.0,49.0,2489.236615896225,1996.3738660812378,8.254488758891812e-08,8.254488758891812e-08,0.0,0.0,0.0,951.0
37,50.0,0.0,50.0,2472.211366891861,2417.6401534080505,1.122388076770396e-07,1.122388076770396e-07,0.0,0.0,0.0,950.0
38,48.0,0.0,48.0,2097.6089873313904,1999.524376630783,1.6481108386092356e-07,1.6481108386092356e-07,0.0,0.0,0.0,952.0
39,47.0,0.0,47.0,1978.3395080566406,2400.1376719474792,1.0562521021425544e-07,1.0562521021425544e-07,0.0,0.0,0.0,953.0
40,50.0,0.0,50.0,2573.3482303619385,2220.517088651657,1.477980735411631e-07,1.477980735411631e-07,0.0,0.0,0.0,950.0
41,50.0,0.0,50.0,2279.6782059669495,2048.576258420944,1.4207471333747333e-07,1.4207471333747333e-07,0.0,0.0,0.0,950.0
42,46.0,0.0,46.0,2631.0275745391846,2231.2565791606903,1.0168543731693263e-07,1.0168543731693263e-07,0.0,0.0,0.0,954.0
43,46.0,0.0,46.0,2438.4836976528168,2396.969264268875,1.385129971635183e-07,1.385129971635183e-07,0.0,0.0,0.0,954.0
44,47.0,0.0,47.0,2735.0316841602325,2265.820256948471,1.684201827878087e-07,1.684201827878087e-07,0.0,0.0,0.0,953.0
45,49.0,0.0,49.0,2565.2394948005676,2676.7919697761536,9.155005186244889e-08,9.155005186244889e-08,0.0,0.0,0.0,951.0
46,49.0,0.0,49.0,2442.533245563507,2359.1519479751587,9.955601298473623e-08,9.955601298473623e-08,0.0,0.0,0.0,951.0
47,48.0,0.0,48.0,2451.3541135787964,2667.6490395069122,1.767804058900927e-07,1.767804058900927e-07,0.0,0.0,0.0,952.0
48,46.0,0.0,46.0,2063.4142010211945,2067.096958875656,1.2774107630740392e-07,1.2774107630740392e-07,0.0,0.0,0.0,954.0
49,49.0,0.0,49.0,1893.8714287281036,1922.67076253891,1.269109984305776e-07,1.269109984305776e-07,0.0,0.0,0.0,951.0
50,47.0,0.0,47.0,2466.8936896324158,2147.928405046463,1.3841325489166982e-07,1.3841325489166982e-07,0.0,0.0,0.0,953.0
51,47.0,0.0,47.0,2448.2976887226105,2175.8799567222595,1.4176070772663975e-07,1.4176070772663975e-07,0.0,0.0,0.0,953.0
52,48.0,0.0,48.0,2588.588578939438,2670.0124475955963,9.505444902674034e-08,9.505444902674034e-08,0.0,0.0,0.0,952.0
53,47.0,0.0,47.0,2744.4680597782135,2490.656669139862,1.3727628143683287e-07,1.3727628143683287e-07,0.0,0.0,0.0,953.0
54,49.0,0.0,49.0,2679.047192811966,2296.982797384262,5.652562178832005e-08,5.652562178832005e-08,0.0,0.0,0.0,951.0
55,49.0,0.0,49.0,2614.171859264374,2676.7564854621887,1.3954541379536424e-07,1.3954541379536424e-07,0.0,0.0,0.0,951.0
56,48.0,0.0,48.0,2269.7987310886383,2206.940304994583,1.0323051109513658e-07,1.0323051109513658e-07,0.0,0.0,0.0,952.0
57,49.0,0.0,49.0,2122.174777030945,2066.334468126297,8.184006764155839e-08,8.184006764155839e-08,0.0,0.0,0.0,951.0
58,50.0,0.0,50.0,2004.6258277893066,2063.0842974185944,5.676715994488548e-08,5.676715994488548e-08,0.0,0.0,0.0,950.0
59,49.0,0.0,49.0,2019.8287982940674,2344.729740381241,1.3665901737450933e-07,1.3665901737450933e-07,0.0,0.0,0.0,951.0
60,47.0,0.0,47.0,2714.0546956062317,2529.412821531296,9.210402392571507e-08,9.210402392571507e-08,0.0,0.0,0.0,953.0
61,47.0,0.0,47.0,2876.36062335968,2193.631105899811,1.7841178053074546e-07,1.7841178053074546e-07,0.0,0.0,0.0,953.0
62,46.0,0.0,46.0,1809.0600292682648,1590.5187149047852,7.022493382857356e-08,7.022493382857356e-08,0.0,0.0,0.0,954.0
63,48.0,0.0,48.0,1904.1870481967926,1797.0001647472382,1.768039376002109e-07,1.768039376002109e-07,0.0,0.0,0.0,952.0
64,49.0,0.0,49.0,1769.7518019676208,2215.7477045059204,7.110031770604372e-08,7.110031770604372e-08,0.0,0.0,0.0,951.0
65,48.0,0.0,48.0,2411.71511554718,2106.628152370453,6.952411472422709e-08,6.952411472422709e-08,0.0,0.0,0.0,952.0
66,50.0,0.0,50.0,1844.1254754066467,1693.0387570858002,1.1656974830364173e-07,1.1656974830364173e-07,0.0,0.0,0.0,950.0
67,49.0,0.0,49.0,2283.8003013134003,2170.7236585617065,8.070121436863296e-08,8.070121436863296e-08,0.0,0.0,0.0,951.0
68,49.0,0.0,49.0,1857.2833907604218,1779.6126475334167,8.720218071053219e-08,8.720218071053219e-08,0.0,0.0,0.0,951.0
69,48.0,0.0,48.0,1927.5225505828857,2402.870362520218,1.5131271532527124e-07,1.5131271532527124e-07,0.0,0.0,0.0,952.0
70,48.0,0.0,48.0,1974.1357324123383,1700.5249917507172,8.450255253642384e-08,8.450255253642384e-08,0.0,0.0,0.0,952.0
71,49.0,0.0,49.0,1636.4616069793701,2224.938528060913,9.593595200937629e-08,9.593595200937629e-08,0.0,0.0,0.0,951.0
72,50.0,0.0,50.0,2496.9590196609497,1958.790861606598,1.7132514756291857e-07,1.7132514756291857e-07,0.0,0.0,0.0,950.0
73,48.0,0.0,48.0,1624.4456689357758,2168.7615642547607,1.6429059308101654e-07,1.6429059308101654e-07,0.0,0.0,0.0,952.0
74,49.0,0.0,49.0,1681.7254347801208,1901.4038898944855,1.283752424828104e-07,1.283752424828104e-07,0.0,0.0,0.0,951.0
75,49.0,0.0,49.0,1845.3783600330353,2231.3409719467163,1.0991033825618471e-07,1.0991033825618471e-07,0.0,0.0,0.0,951.0
76,48.0,0.0,48.0,1766.304639339447,1749.240608215332,1.1111526279629954e-07,1.1111526279629954e-07,0.0,0.0,0.0,952.0
77,49.0,0.0,49.0,2309.228668451309,1752.7533977031708,9.871071158166375e-08,9.871071158166375e-08,0.0,0.0,0.0,951.0
78,47.0,0.0,47.0,1899.430713891983,1968.4202313423157,5.9360034895472314e-08,5.9360034895472314e-08,0.0,0.0,0.0,953.0
79,49.0,0.0,49.0,2151.347689151764,2098.900540828705,1.639954669830204e-07,1.639954669830204e-07,0.0,0.0,0.0,951.0
80,47.0,0.0,47.0,1646.7763466835022,1613.3195531368256,1.6689810798040856e-07,1.6689810798040856e-07,0.0,0.0,0.0,953.0
81,48.0,0.0,48.0,2101.5192034244537,2120.7396516799927,1.0477854759588672e-07,1.0477854759588672e-07,0.0,0.0,0.0,952.0
