,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,48.0,0.0,48.0,291.0603713989258,281.0889801979065,7.238488577283616e-08,7.238488577283616e-08,0.0,119.0,2.0,952.0
1,50.0,0.0,50.0,295.6589386463165,294.43653321266174,7.803587435705281e-08,7.803587435705281e-08,0.0,168.0,2.0,950.0
2,50.0,0.0,50.0,340.80586671829224,327.7739477157593,1.3133584984937752e-07,1.3133584984937752e-07,0.0,73.0,1.0,950.0
3,47.0,0.0,47.0,284.05039167404175,275.6287922859192,1.4650461469661366e-07,1.4650461469661366e-07,0.0,209.0,7.0,953.0
4,49.0,0.0,49.0,308.3903260231018,277.11154413223267,1.718369664418217e-07,1.718369664418217e-07,0.0,174.0,0.0,951.0
5,50.0,0.0,50.0,276.94644951820374,277.0328197479248,7.621358766489257e-08,7.621358766489257e-08,0.0,156.0,4.0,950.0
6,50.0,0.0,50.0,279.65904808044434,272.6087415218353,1.4995367647664763e-07,1.4995367647664763e-07,0.0,218.0,3.0,950.0
7,48.0,0.0,48.0,301.38730907440186,297.86642384529114,1.0512768287726284e-07,1.0512768287726284e-07,0.0,181.0,0.0,952.0
8,49.0,0.0,49.0,309.81061482429504,275.0645954608917,1.5046794249437978e-07,1.5046794249437978e-07,0.0,159.0,4.0,951.0
9,49.0,0.0,49.0,282.9437825679779,267.7097795009613,5.552869725066184e-08,5.552869725066184e-08,0.0,176.0,0.0,951.0
10,48.0,0.0,48.0,275.69666743278503,264.08797669410706,9.969569327078224e-08,9.969569327078224e-08,0.0,213.0,2.0,952.0
11,50.0,0.0,50.0,282.1199781894684,271.61536598205566,1.1582136679132049e-07,1.1582136679132049e-07,0.0,91.0,3.0,950.0
12,49.0,0.0,49.0,292.3610725402832,267.20889258384705,7.029483547569524e-08,7.029483547569524e-08,0.0,190.0,3.0,951.0
13,49.0,0.0,49.0,277.7697205543518,266.2338638305664,1.5938114505152585e-07,1.5938114505152585e-07,0.0,206.0,4.0,951.0
14,48.0,0.0,48.0,275.17829990386963,272.23837757110596,1.1399577443452111e-07,1.1399577443452111e-07,0.0,231.0,4.0,952.0
15,48.0,0.0,49.0,284.84695982933044,266.0975549221039,1.1103648662606706e-07,1.1103648662606706e-07,0.001,283.0,7.0,952.0
16,50.0,0.0,50.0,282.74310755729675,279.8417134284973,7.726718390792992e-08,1.2404282705260115e-07,0.0,207.0,3.0,950.0
17,49.0,0.0,49.0,279.61524844169617,283.84782004356384,8.629561704332095e-08,8.629561704332095e-08,0.0,147.0,2.0,951.0
18,50.0,0.0,50.0,319.0537838935852,285.68764567375183,9.635585786927463e-08,9.635585786927463e-08,0.0,175.0,1.0,950.0
19,50.0,0.0,50.0,272.4831004142761,264.4324905872345,1.1861404511018411e-07,1.1861404511018411e-07,0.0,186.0,5.0,950.0
20,45.0,0.0,45.0,275.1563386917114,263.05312061309814,1.484339088799067e-07,1.484339088799067e-07,0.0,295.0,2.0,955.0
21,47.0,0.0,47.0,311.09907484054565,264.31595063209534,1.4239518200021803e-07,1.4239518200021803e-07,0.0,130.0,0.0,953.0
22,46.0,0.0,46.0,282.39435720443726,265.2593939304352,1.1061914535798291e-07,1.1061914535798291e-07,0.0,173.0,7.0,954.0
23,48.0,0.0,48.0,289.78231859207153,273.62490916252136,8.154578315833427e-08,8.154578315833427e-08,0.0,211.0,3.0,952.0
24,50.0,0.0,50.0,283.0110332965851,274.3672778606415,1.8609531407145025e-07,1.754935174846858e-07,0.0,155.0,4.0,950.0
25,50.0,0.0,50.0,296.1833875179291,271.192467212677,1.1599136475353219e-07,1.1599136475353219e-07,0.0,167.0,3.0,950.0
26,47.0,0.0,47.0,278.6103148460388,278.9323060512543,1.300701118903006e-07,1.300701118903006e-07,0.0,109.0,0.0,953.0
27,49.0,0.0,49.0,286.3768820762634,273.0745255947113,1.8273994824475126e-07,1.8273994824475126e-07,0.0,204.0,1.0,951.0
28,49.0,0.0,49.0,283.0362527370453,268.83121037483215,1.2184944310362145e-07,1.2184944310362145e-07,0.0,114.0,2.0,951.0
29,49.0,0.0,49.0,279.49485659599304,271.93955755233765,1.0299147265818361e-07,1.0299147265818361e-07,0.0,163.0,6.0,951.0
30,48.0,0.0,48.0,272.0070219039917,263.3993830680847,7.54678165857979e-08,7.54678165857979e-08,0.0,291.0,7.0,952.0
31,50.0,0.0,50.0,266.9589858055115,253.34525060653687,8.47641993751359e-08,8.47641993751359e-08,0.0,98.0,3.0,950.0
32,50.0,0.0,50.0,266.3592092990875,247.6298587322235,8.437395910794591e-08,8.437395910794591e-08,0.0,147.0,6.0,950.0
33,46.0,0.0,46.0,257.9337019920349,249.59604930877686,1.0594368504566496e-07,1.0594368504566496e-07,0.0,138.0,5.0,954.0
34,48.0,0.0,48.0,264.02839493751526,253.35216808319092,1.4829989873192384e-07,1.4829989873192384e-07,0.0,103.0,3.0,952.0
35,47.0,0.0,48.0,260.645644903183,252.63833117485046,1.2594085925444575e-07,1.2594085925444575e-07,0.001,178.0,3.0,953.0
36,50.0,0.0,50.0,257.19262194633484,246.07929468154907,1.6224398569776084e-07,1.6224398569776084e-07,0.0,106.0,0.0,950.0
37,49.0,0.0,49.0,261.11266827583313,252.11509561538696,1.641645168891207e-07,1.641645168891207e-07,0.0,143.0,2.0,951.0
38,48.0,0.0,48.0,259.5377628803253,249.84215688705444,1.649089793068627e-07,1.649089793068627e-07,0.0,127.0,4.0,952.0
39,49.0,0.0,49.0,261.14541578292847,250.88508319854736,9.525630526115694e-08,9.525630526115694e-08,0.0,168.0,2.0,951.0
40,49.0,0.0,49.0,272.47604846954346,249.6028492450714,5.93254805202066e-08,5.93254805202066e-08,0.0,141.0,3.0,951.0
41,50.0,0.0,50.0,263.0356376171112,252.92883157730103,9.90283186920829e-08,9.90283186920829e-08,0.0,202.0,5.0,950.0
42,49.0,0.0,49.0,261.143839597702,250.1977698802948,1.2222441502599117e-07,1.2222441502599117e-07,0.0,170.0,2.0,951.0
43,50.0,0.0,50.0,263.59364223480225,252.3954529762268,1.691302694806099e-07,1.691302694806099e-07,0.0,101.0,1.0,950.0
44,50.0,0.0,50.0,256.987060546875,246.70019388198853,1.4362571820572302e-07,1.4362571820572302e-07,0.0,186.0,1.0,950.0
45,48.0,0.0,48.0,257.0256612300873,249.61047220230103,8.708290604681367e-08,8.708290604681367e-08,0.0,79.0,5.0,952.0
46,49.0,0.0,49.0,258.32404232025146,248.4721918106079,1.63013184869369e-07,1.63013184869369e-07,0.0,214.0,3.0,951.0
47,50.0,0.0,50.0,257.08215069770813,246.53637838363647,1.0570501133559345e-07,1.0570501133559345e-07,0.0,133.0,2.0,950.0
48,50.0,0.0,50.0,256.5615701675415,248.3210370540619,7.780500202728061e-08,7.780500202728061e-08,0.0,175.0,5.0,950.0
49,48.0,0.0,48.0,259.53883051872253,251.19955277442932,4.9563924048968955e-08,4.9563924048968955e-08,0.0,163.0,0.0,952.0
50,49.0,0.0,49.0,259.68489813804626,250.834246635437,1.589172127332473e-07,1.589172127332473e-07,0.0,137.0,3.0,951.0
51,48.0,0.0,48.0,259.31182622909546,251.03695273399353,1.0240125085794437e-07,1.0240125085794437e-07,0.0,304.0,4.0,952.0
52,48.0,0.0,48.0,260.70691418647766,248.16802763938904,1.3023796146393312e-07,1.3023796146393312e-07,0.0,188.0,1.0,952.0
53,50.0,0.0,50.0,263.4710953235626,249.63673543930054,1.449541085629529e-07,1.449541085629529e-07,0.0,137.0,2.0,950.0
54,48.0,0.0,48.0,268.15208077430725,252.23298406600952,1.2718181994832235e-07,1.2718181994832235e-07,0.0,107.0,1.0,952.0
55,47.0,0.0,47.0,261.4996647834778,252.55223870277405,1.3568438789149274e-07,1.3568438789149274e-07,0.0,162.0,5.0,953.0
56,47.0,0.0,48.0,258.73858523368835,248.39092302322388,9.838073193891646e-08,9.838073193891646e-08,0.001,265.0,7.0,953.0
57,49.0,0.0,49.0,261.11378049850464,251.58078575134277,1.0294906338875024e-07,1.3954063340580537e-07,0.0,213.0,6.0,951.0
58,47.0,0.0,47.0,260.11333751678467,252.65057969093323,1.305842597096833e-07,1.305842597096833e-07,0.0,148.0,1.0,953.0
59,47.0,0.0,47.0,258.28552889823914,248.33144545555115,1.7418236913605406e-07,1.7418236913605406e-07,0.0,174.0,1.0,953.0
60,50.0,0.0,50.0,261.1268618106842,256.5117893218994,1.718865916351147e-07,1.718865916351147e-07,0.0,146.0,7.0,950.0
61,48.0,0.0,48.0,271.8631925582886,255.96716141700745,1.3331110201956958e-07,1.441852250490175e-07,0.0,249.0,6.0,952.0
62,50.0,0.0,50.0,261.30460476875305,250.80331778526306,1.3112882341096774e-07,1.3112882341096774e-07,0.0,148.0,1.0,950.0
63,48.0,0.0,48.0,264.7318522930145,248.6414270401001,9.263384877899622e-08,9.263384877899622e-08,0.0,218.0,1.0,952.0
64,49.0,0.0,49.0,264.6258201599121,253.3373475074768,1.1457149339327576e-07,1.1457149339327576e-07,0.0,120.0,5.0,951.0
65,46.0,0.0,47.0,260.5796842575073,250.10487341880798,8.688924640220025e-08,8.688924640220025e-08,0.001,327.0,5.0,954.0
66,49.0,0.0,49.0,261.2661077976227,257.924902677536,6.162185700416787e-08,6.162185700416787e-08,0.0,168.0,1.0,951.0
67,48.0,0.0,48.0,262.6317117214203,248.07743048667908,1.5809170499035044e-07,1.5809170499035044e-07,0.0,270.0,7.0,952.0
68,49.0,0.0,49.0,280.6710681915283,259.6688861846924,1.1506626676836371e-07,1.1506626676836371e-07,0.0,142.0,4.0,951.0
69,49.0,0.0,49.0,264.4501874446869,250.0781626701355,1.0474910528277069e-07,1.0474910528277069e-07,0.0,233.0,3.0,951.0
70,47.0,0.0,47.0,260.08418011665344,254.3112187385559,7.342375864142239e-08,7.342375864142239e-08,0.0,271.0,11.0,953.0
71,50.0,0.0,50.0,261.563982963562,251.11764192581177,7.356086244933196e-08,7.356086244933196e-08,0.0,182.0,1.0,950.0
72,49.0,0.0,49.0,267.70402359962463,251.04441356658936,1.3656085838151416e-07,1.7824319650452592e-07,0.0,165.0,4.0,951.0
73,46.0,0.0,46.0,258.146466255188,246.82964301109314,9.245808744010688e-08,9.245808744010688e-08,0.0,297.0,4.0,954.0
74,49.0,0.0,49.0,260.98284792900085,249.0504560470581,1.1011265267219359e-07,1.1011265267219359e-07,0.0,223.0,3.0,951.0
75,49.0,0.0,49.0,258.7411255836487,249.88083910942078,1.1587624112545111e-07,1.1587624112545111e-07,0.0,204.0,3.0,951.0
76,50.0,0.0,50.0,264.99870681762695,255.38947653770447,1.63725619904986e-07,1.63725619904986e-07,0.0,115.0,2.0,950.0
77,48.0,0.0,48.0,263.80604243278503,247.95411944389343,7.269498882319602e-08,7.269498882319602e-08,0.0,147.0,2.0,952.0
78,49.0,0.0,49.0,264.5733952522278,250.36565613746643,7.982528505530274e-08,7.982528505530274e-08,0.0,196.0,1.0,951.0
79,49.0,0.0,50.0,264.7040650844574,244.88161444664001,9.645319246121916e-08,9.645319246121916e-08,0.001,73.0,3.0,951.0
80,50.0,0.0,50.0,256.63301825523376,245.51334810256958,9.715033195413108e-08,9.715033195413108e-08,0.0,165.0,1.0,950.0
81,48.0,0.0,48.0,259.4624228477478,247.73891830444336,1.7138877854616945e-07,1.7138877854616945e-07,0.0,288.0,3.0,952.0
82,49.0,0.0,49.0,263.1922776699066,252.21205234527588,8.805704039703493e-08,8.805704039703493e-08,0.0,180.0,4.0,951.0
83,49.0,0.0,49.0,259.9044830799103,250.49238657951355,1.414134418421304e-07,1.414134418421304e-07,0.0,163.0,3.0,951.0
84,50.0,0.0,50.0,260.3583917617798,247.01909923553467,1.5923958643846602e-07,1.5923958643846602e-07,0.0,207.0,4.0,950.0
85,50.0,0.0,50.0,257.69790530204773,247.39554381370544,1.0376367314140943e-07,1.0376367314140943e-07,0.0,183.0,2.0,950.0
86,50.0,0.0,50.0,259.6900396347046,245.7776849269867,6.786982537995898e-08,6.786982537995898e-08,0.0,221.0,4.0,950.0
87,49.0,0.0,50.0,258.55661702156067,252.15825819969177,1.3034591981082543e-07,1.3034591981082543e-07,0.001,195.0,3.0,951.0
88,45.0,0.0,45.0,255.20636343955994,251.66229629516602,1.0661161892597895e-07,1.0661161892597895e-07,0.0,206.0,3.0,955.0
89,50.0,0.0,50.0,271.360878944397,253.75075006484985,1.6589818646386794e-07,1.6589818646386794e-07,0.0,144.0,5.0,950.0
90,46.0,0.0,46.0,264.6617205142975,251.44835901260376,1.5868670382134824e-07,1.5868670382134824e-07,0.0,205.0,2.0,954.0
91,49.0,0.0,49.0,258.1654942035675,251.9539077281952,1.738150157262151e-07,1.738150157262151e-07,0.0,127.0,1.0,951.0
92,50.0,0.0,50.0,265.0821764469147,268.6155607700348,6.49769126710709e-08,1.122784952114843e-07,0.0,151.0,3.0,950.0
93,49.0,0.0,49.0,269.35261607170105,254.000590801239,1.6883527389044664e-07,1.6883527389044664e-07,0.0,74.0,4.0,951.0
94,50.0,0.0,50.0,261.026743888855,247.6712555885315,8.565162127378396e-08,8.565162127378396e-08,0.0,238.0,3.0,950.0
95,50.0,0.0,50.0,266.70513701438904,248.54632377624512,9.79803051856386e-08,1.55809540027351e-07,0.0,132.0,2.0,950.0
96,49.0,0.0,49.0,266.24861335754395,252.99704241752625,1.646854176428187e-07,1.646854176428187e-07,0.0,149.0,4.0,951.0
97,50.0,0.0,50.0,260.5974063873291,251.8664608001709,1.0472967056475504e-07,1.0472967056475504e-07,0.0,190.0,1.0,950.0
98,49.0,0.0,49.0,263.4646797180176,259.2688386440277,1.730797323936913e-07,1.730797323936913e-07,0.0,164.0,2.0,951.0
99,49.0,0.0,49.0,275.1521096229553,252.88033032417297,1.7670120190673691e-07,1.7670120190673691e-07,0.0,172.0,5.0,951.0
