,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod,total_times_minimizer_missed,total_no_times_inequals_sat
0,46.0,0.0,2351.099645137787,1.7396247624373e-07,0.0,954.0
1,48.0,0.0,1535.7642831802368,9.356897113458912e-08,0.0,952.0
2,50.0,0.0,1507.7704474925995,1.5074973046616307e-07,0.0,950.0
3,48.0,0.0,1528.6574890613556,7.3652274251463e-08,0.0,952.0
4,48.0,0.0,1481.492506980896,1.4201511618389254e-07,0.0,952.0
5,46.0,0.0,1508.5218622684479,1.4528349159342122e-07,0.0,954.0
6,49.0,0.0,1471.381190776825,1.2561306040132072e-07,0.0,951.0
7,49.0,0.0,2147.778975248337,1.0922405075157559e-07,0.0,951.0
8,49.0,0.0,1474.9352915287018,7.299915149894011e-08,0.0,951.0
9,49.0,0.0,1451.2067334651947,6.655607338918185e-08,0.0,951.0
10,49.0,0.0,1518.3093700408936,1.2971108803720835e-07,0.0,951.0
11,49.0,0.0,1705.9052503108978,9.244893182165986e-08,0.0,951.0
12,49.0,0.0,1620.6487095355988,7.073546265769265e-08,0.0,951.0
13,46.0,0.0,1769.1712110042572,1.0299114764754904e-07,0.0,954.0
14,50.0,0.0,1592.0382554531097,8.006140865546605e-08,0.0,950.0
15,50.0,0.0,1422.6013202667236,1.3846918848032347e-07,0.0,950.0
16,48.0,0.0,1422.3555448055267,1.234422988216761e-07,0.0,952.0
17,45.0,0.0,1624.3930995464325,1.1366292419547298e-07,0.0,955.0
18,49.0,0.0,1368.862709760666,7.618593338357076e-08,0.0,951.0
19,50.0,0.0,1342.3509829044342,1.1749798469311817e-07,0.0,950.0
20,47.0,0.0,1384.6501145362854,1.7034183029275113e-07,0.0,953.0
21,50.0,0.0,1660.1441819667816,1.5711697674266103e-07,0.0,950.0
22,49.0,0.0,1318.0091230869293,1.08908958360613e-07,0.0,951.0
23,48.0,0.0,1240.520947933197,1.2910555213372756e-07,0.0,952.0
24,48.0,0.0,1445.3171050548553,1.1550939249294043e-07,0.0,952.0
25,47.0,0.0,1371.2186102867126,7.818998167150574e-08,0.0,953.0
26,48.0,0.0,1420.1565086841583,8.69725549278651e-08,0.0,952.0
27,49.0,0.0,1230.7357985973358,7.610654747937959e-08,0.0,951.0
28,48.0,0.0,1299.475276708603,1.222027814092876e-07,0.0,952.0
29,46.0,0.0,1233.2140617370605,1.6819838594915127e-07,0.0,954.0
30,49.0,0.0,1374.6354157924652,1.7132979455528588e-07,0.0,951.0
31,47.0,0.0,1319.1364934444427,1.0315477082558787e-07,0.0,953.0
32,49.0,0.0,1244.3082478046417,7.277713956279115e-08,0.0,951.0
