,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,7.0,0.0,48.0,328.42580699920654,325.3607256412506,1.4368744850551397e-07,7.238488577283616e-08,0.721,986.0,743.0,993.0
1,5.0,0.0,50.0,336.6763186454773,342.48677611351013,1.9921040939949e-07,7.803587435705281e-08,0.7,977.0,711.0,995.0
2,7.0,0.0,50.0,335.7928659915924,364.81929993629456,1.76848592958307e-07,1.3133584984937752e-07,0.775,988.0,821.0,993.0
3,6.0,0.0,47.0,323.3284685611725,327.99307465553284,2.23285964965913e-07,1.4650461469661366e-07,0.782,993.0,798.0,994.0
4,7.0,0.0,49.0,346.9650180339813,335.49587512016296,1.9592908139303836e-07,1.718369664418217e-07,0.778,987.0,815.0,993.0
5,6.0,0.0,50.0,314.78678917884827,315.48944306373596,1.1996516430450484e-07,7.621358766489257e-08,0.837,984.0,852.0,994.0
6,5.0,0.0,50.0,324.81999802589417,328.8018629550934,2.0243006206844826e-07,1.4995367647664763e-07,0.846,981.0,858.0,995.0
7,6.0,0.0,48.0,316.2508351802826,319.69321155548096,1.3445317107385e-07,1.0512768287726284e-07,0.836,986.0,862.0,994.0
8,5.0,0.0,49.0,316.29626727104187,333.88442158699036,2.0536152198974312e-07,1.5046794249437978e-07,0.803,986.0,813.0,995.0
9,6.0,0.0,49.0,334.2912697792053,360.81119894981384,1.7630426538348437e-07,5.552869725066184e-08,0.769,977.0,784.0,994.0
10,6.0,0.0,48.0,310.41338992118835,334.6570551395416,2.043680481969458e-07,9.969569327078224e-08,0.791,990.0,822.0,994.0
11,7.0,0.0,50.0,318.4472424983978,326.3692002296448,1.9271556855629848e-07,1.1582136679132049e-07,0.702,982.0,719.0,993.0
12,6.0,0.0,49.0,315.2897574901581,318.1977460384369,1.0298972252590293e-07,7.029483547569524e-08,0.759,992.0,830.0,994.0
13,5.0,0.0,49.0,299.3698296546936,312.1493844985962,2.025944553724049e-07,1.5938114505152585e-07,0.799,985.0,843.0,995.0
14,5.0,0.0,48.0,302.86228251457214,314.07535123825073,1.1399577443452111e-07,1.1399577443452111e-07,0.793,989.0,802.0,995.0
15,5.0,0.0,49.0,311.05738043785095,310.3714499473572,1.1506761693601992e-07,1.1103648662606706e-07,0.707,994.0,715.0,995.0
16,5.0,0.0,50.0,315.10141587257385,348.386931180954,1.2404282705260115e-07,1.2404282705260115e-07,0.806,979.0,824.0,995.0
17,5.0,0.0,49.0,333.2290315628052,330.26017022132874,1.987869553583647e-07,8.629561704332095e-08,0.851,988.0,884.0,995.0
18,6.0,0.0,50.0,318.9403681755066,324.0547454357147,1.8282432969974996e-07,9.635585786927463e-08,0.653,978.0,669.0,994.0
19,7.0,0.0,50.0,316.61550402641296,333.10194087028503,1.8045039658864156e-07,1.1861404511018411e-07,0.707,992.0,817.0,993.0
20,4.0,0.0,45.0,327.59476375579834,325.38524436950684,2.0027111617628585e-07,1.484339088799067e-07,0.521,991.0,702.0,996.0
21,7.0,0.0,47.0,310.44374203681946,315.9742362499237,1.765795466359012e-07,1.4239518200021803e-07,0.804,983.0,825.0,993.0
22,5.0,0.0,46.0,321.2444930076599,321.11566948890686,2.1331528813628889e-07,1.1061914535798291e-07,0.751,983.0,757.0,995.0
23,6.0,0.0,48.0,322.9731888771057,348.9107196331024,1.9794384033495168e-07,8.154578315833427e-08,0.919,987.0,924.0,994.0
24,8.0,0.0,50.0,351.28694319725037,336.14764761924744,7.124781079264993e-08,1.754935174846858e-07,0.802,991.0,819.0,992.0
25,7.0,0.0,50.0,359.30854749679565,335.22511863708496,1.834362815243122e-07,1.1599136475353219e-07,0.733,980.0,765.0,993.0
26,5.0,0.0,47.0,324.077228307724,322.57217741012573,1.9900067448427751e-07,1.300701118903006e-07,0.772,983.0,775.0,995.0
27,6.0,0.0,49.0,331.20838356018066,338.2019648551941,2.181551749832948e-07,1.8273994824475126e-07,0.864,989.0,899.0,994.0
28,6.0,0.0,49.0,319.3407566547394,317.8914887905121,1.933792472242264e-07,1.2184944310362145e-07,0.787,992.0,819.0,994.0
29,7.0,0.0,49.0,314.3812506198883,336.04823565483093,1.9105856177969146e-07,1.0299147265818361e-07,0.739,989.0,763.0,993.0
30,6.0,0.0,48.0,324.6658625602722,335.02943992614746,1.8824895514889185e-07,7.54678165857979e-08,0.729,989.0,799.0,994.0
31,7.0,0.0,50.0,322.25780725479126,322.55855202674866,1.6980504759328876e-07,8.47641993751359e-08,0.726,993.0,857.0,993.0
32,7.0,0.0,50.0,317.0775260925293,319.98341131210327,1.4940741336894296e-07,8.437395910794591e-08,0.782,988.0,798.0,993.0
33,5.0,0.0,46.0,334.1833348274231,314.69548416137695,1.7443460771295863e-07,1.0594368504566496e-07,0.857,989.0,867.0,995.0
34,8.0,0.0,48.0,321.2592806816101,330.57585310935974,1.977531090275465e-07,1.4829989873192384e-07,0.67,980.0,688.0,992.0
35,9.0,0.0,48.0,322.5892171859741,319.9719350337982,1.4323032508131218e-07,1.2594085925444575e-07,0.742,987.0,774.0,991.0
36,7.0,0.0,50.0,336.61330556869507,326.3985676765442,1.9071493505477376e-07,1.6224398569776084e-07,0.549,985.0,570.0,993.0
37,6.0,0.0,49.0,317.0951201915741,330.8421289920807,1.8184953140617604e-07,1.641645168891207e-07,0.8,980.0,850.0,994.0
38,7.0,0.0,48.0,325.22709250450134,329.69242000579834,2.1525837745676214e-07,1.649089793068627e-07,0.67,987.0,777.0,993.0
39,6.0,0.0,49.0,317.9941658973694,331.2201638221741,2.181088975094448e-07,9.525630526115694e-08,0.493,984.0,629.0,994.0
40,6.0,0.0,49.0,312.20141768455505,333.39525294303894,1.8838349019782706e-07,5.93254805202066e-08,0.774,987.0,816.0,994.0
41,5.0,0.0,50.0,338.0131137371063,319.2845344543457,2.313365831439871e-07,9.90283186920829e-08,0.748,990.0,794.0,995.0
42,4.0,0.0,49.0,314.68721079826355,327.03643321990967,2.295991696735984e-07,1.2222441502599117e-07,0.823,958.0,829.0,996.0
43,7.0,0.0,50.0,319.018887758255,335.39573907852173,1.691302694806099e-07,1.691302694806099e-07,0.818,992.0,843.0,993.0
44,7.0,0.0,50.0,354.35357642173767,334.13249158859253,1.3276049535255224e-07,1.4362571820572302e-07,0.71,980.0,804.0,993.0
45,5.0,0.0,48.0,344.5792851448059,317.46533203125,8.708290604681367e-08,8.708290604681367e-08,0.758,976.0,802.0,995.0
46,7.0,0.0,49.0,324.7187216281891,352.2070679664612,1.930785975543337e-07,1.63013184869369e-07,0.879,991.0,897.0,993.0
47,5.0,0.0,50.0,342.88533210754395,358.158757686615,1.925202767916599e-07,1.0570501133559345e-07,0.898,982.0,904.0,995.0
48,6.0,0.0,50.0,362.24045753479004,368.61807656288147,1.721161173676585e-07,7.780500202728061e-08,0.844,990.0,905.0,994.0
49,6.0,0.0,48.0,353.0518591403961,333.64032649993896,1.7019016345874664e-07,4.9563924048968955e-08,0.844,978.0,856.0,994.0
50,7.0,0.0,49.0,353.50715827941895,352.5161702632904,2.0102221890287006e-07,1.589172127332473e-07,0.639,990.0,670.0,993.0
51,5.0,0.0,48.0,340.10667276382446,344.4846737384796,1.0240125085794437e-07,1.0240125085794437e-07,0.815,986.0,849.0,995.0
52,5.0,0.0,48.0,336.46914982795715,338.105623960495,1.8903176773958287e-07,1.3023796146393312e-07,0.883,982.0,886.0,995.0
53,5.0,0.0,50.0,337.37446451187134,308.25088834762573,1.8174835804813796e-07,1.449541085629529e-07,0.889,985.0,907.0,995.0
54,7.0,0.0,48.0,311.21027088165283,343.5701777935028,1.8034530318515286e-07,1.2718181994832235e-07,0.712,990.0,736.0,993.0
55,6.0,0.0,47.0,304.437379360199,305.29515981674194,1.771569635090474e-07,1.3568438789149274e-07,0.732,982.0,738.0,994.0
56,8.0,0.0,48.0,308.58095598220825,319.56796884536743,1.8246091513095658e-07,9.838073193891646e-08,0.727,991.0,750.0,992.0
57,4.0,0.0,49.0,305.0602910518646,315.2306559085846,1.73735608063482e-07,1.3954063340580537e-07,0.728,980.0,750.0,996.0
58,9.0,0.0,47.0,338.7792856693268,327.0872721672058,1.6379654803070425e-07,1.305842597096833e-07,0.623,989.0,694.0,991.0
59,6.0,0.0,47.0,334.9299569129944,341.01644253730774,1.6113513010907367e-07,1.7418236913605406e-07,0.726,990.0,779.0,994.0
60,6.0,0.0,50.0,331.1365878582001,344.77586340904236,1.8556874416622022e-07,1.718865916351147e-07,0.762,985.0,794.0,994.0
61,6.0,0.0,48.0,345.1965341567993,344.75079107284546,1.8572990600211145e-07,1.441852250490175e-07,0.835,986.0,860.0,994.0
62,6.0,0.0,50.0,326.6340217590332,328.3985228538513,1.8392096608827474e-07,1.3112882341096774e-07,0.736,991.0,768.0,994.0
63,6.0,0.0,48.0,322.48084449768066,325.24083185195923,1.404042586992153e-07,9.263384877899622e-08,0.83,990.0,848.0,994.0
64,4.0,0.0,49.0,327.8337998390198,328.3314700126648,1.9871646100154318e-07,1.1457149339327576e-07,0.781,974.0,797.0,996.0
65,5.0,0.0,47.0,322.7446427345276,348.04497623443604,1.532594774924895e-07,8.688924640220025e-08,0.764,983.0,790.0,995.0
66,9.0,0.0,49.0,379.73037123680115,344.33214950561523,1.5520099556306978e-07,6.162185700416787e-08,0.714,991.0,771.0,991.0
67,5.0,0.0,48.0,374.8834795951843,360.94085812568665,1.8310625851525105e-07,1.5809170499035044e-07,0.821,981.0,831.0,995.0
68,6.0,0.0,49.0,371.7515013217926,343.49116015434265,1.757650808386703e-07,1.1506626676836371e-07,0.764,990.0,812.0,994.0
69,7.0,0.0,49.0,352.40138363838196,382.047643661499,1.9123847730565599e-07,1.0474910528277069e-07,0.803,989.0,813.0,993.0
70,5.0,0.0,47.0,366.04344391822815,370.4209806919098,1.185300485120874e-07,7.342375864142239e-08,0.777,993.0,820.0,995.0
71,5.0,0.0,50.0,368.6047730445862,372.44559383392334,1.9944320967021602e-07,7.356086244933196e-08,0.833,983.0,850.0,995.0
72,6.0,0.0,49.0,371.9312410354614,365.53469586372375,1.728845969683033e-07,1.7824319650452592e-07,0.704,987.0,733.0,994.0
73,6.0,0.0,46.0,338.15211367607117,336.81586146354675,1.913530585898566e-07,9.245808744010688e-08,0.744,991.0,775.0,994.0
74,5.0,0.0,49.0,348.580091714859,383.2195620536804,2.068545086617926e-07,1.1011265267219359e-07,0.885,983.0,886.0,995.0
75,8.0,0.0,49.0,379.0059096813202,385.33700132369995,1.6505852689391513e-07,1.1587624112545111e-07,0.7,991.0,802.0,992.0
76,8.0,0.0,50.0,374.92226552963257,376.1207194328308,1.891739125610727e-07,1.63725619904986e-07,0.76,987.0,785.0,992.0
77,6.0,0.0,48.0,341.97684121131897,324.6111922264099,1.8200845812290746e-07,7.269498882319602e-08,0.835,993.0,855.0,994.0
78,5.0,0.0,49.0,314.33322286605835,324.60091400146484,1.8565058976253457e-07,7.982528505530274e-08,0.805,989.0,823.0,995.0
