,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
0,46.0,0.0,46.0,1689.434939622879,1602.3601179122925,1.7396247624373e-07,1.7396247624373e-07,0.0,954.0
1,48.0,0.0,48.0,1631.001042842865,1831.6183054447174,9.356897113458912e-08,9.356897113458912e-08,0.0,952.0
2,50.0,0.0,50.0,1515.4851393699646,1503.6434993743896,1.5074973046616307e-07,1.5074973046616307e-07,1.0,950.0
3,48.0,0.0,48.0,1711.9736444950104,1992.0597579479218,7.3652274251463e-08,7.3652274251463e-08,0.0,952.0
4,48.0,0.0,48.0,1474.8118524551392,1490.748875617981,1.4201511618389254e-07,1.4201511618389254e-07,0.0,952.0
5,46.0,0.0,46.0,1752.2950835227966,1743.3426706790924,1.4528349159342122e-07,1.4528349159342122e-07,0.0,954.0
6,49.0,0.0,49.0,1471.9664797782898,1323.053435087204,1.2561306040132072e-07,1.2561306040132072e-07,1.0,951.0
7,49.0,0.0,49.0,1397.059981584549,1417.0789530277252,1.0922405075157559e-07,1.0922405075157559e-07,0.0,951.0
8,49.0,0.0,49.0,1615.4725000858307,1411.2842388153076,7.299915149894011e-08,7.299915149894011e-08,0.0,951.0
9,49.0,0.0,49.0,1615.1403412818909,1580.940532207489,6.655607338918185e-08,6.655607338918185e-08,0.0,951.0
10,49.0,0.0,49.0,1432.3757271766663,1257.8586807250977,1.2971108803720835e-07,1.2971108803720835e-07,0.0,951.0
11,49.0,0.0,49.0,1566.3806414604187,1701.876404762268,9.244893182165986e-08,9.244893182165986e-08,0.0,951.0
12,49.0,0.0,49.0,1378.139488697052,1462.3651781082153,7.073546265769265e-08,7.073546265769265e-08,0.0,951.0
13,46.0,0.0,46.0,1597.6137371063232,1552.043937444687,1.0299114764754904e-07,1.0299114764754904e-07,0.0,954.0
14,50.0,0.0,50.0,1713.6958212852478,1445.9682195186615,8.006140865546605e-08,8.006140865546605e-08,0.0,950.0
15,50.0,0.0,50.0,1550.3685743808746,1720.9826972484589,1.3846918848032347e-07,1.3846918848032347e-07,0.0,950.0
16,48.0,0.0,48.0,1371.5406579971313,1321.5868170261383,1.234422988216761e-07,1.234422988216761e-07,0.0,952.0
17,45.0,0.0,45.0,1226.7528743743896,1634.9508786201477,1.1366292419547298e-07,1.1366292419547298e-07,0.0,955.0
18,49.0,0.0,49.0,1475.5521943569183,1429.3539171218872,7.618593338357076e-08,7.618593338357076e-08,0.0,951.0
19,50.0,0.0,50.0,1395.2977690696716,1392.6281206607819,1.1749798469311817e-07,1.1749798469311817e-07,0.0,950.0
