,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,time_metod,min_func_val_metod,total_times_minimizer_missed,total_no_times_inequals_sat
0,10.0,5.0,538.3883793354034,-1.4952002414140675,0.0,985.0
1,10.0,6.0,444.74404096603394,-1.433991833905214,0.0,984.0
2,10.0,4.0,448.8702869415283,-1.594074872558963,0.0,986.0
3,10.0,6.0,444.9820148944855,-1.5900150884611666,0.0,984.0
4,10.0,3.0,443.45880913734436,-1.5903237621953779,0.0,987.0
5,10.0,5.0,520.3674809932709,-1.4936141193020718,0.0,985.0
6,10.0,7.0,468.96174693107605,-1.5620068166341035,0.0,983.0
7,10.0,6.0,459.59249091148376,-1.5528665227472846,0.0,984.0
8,10.0,0.0,457.42542576789856,-1.4447563872219074,0.0,990.0
9,10.0,6.0,452.71200299263,-1.5600264953654055,0.0,984.0
10,10.0,10.0,548.3336849212646,-1.530052234167263,0.0,980.0
11,10.0,10.0,461.2152729034424,-1.6001502223106976,0.0,980.0
12,10.0,6.0,458.6534740924835,-1.5644865064388505,0.0,984.0
13,10.0,4.0,466.4015460014343,-1.5612097719727054,0.0,986.0
14,10.0,3.0,464.7420082092285,-1.4383877928441287,0.0,987.0
15,10.0,3.0,472.5088629722595,-1.5597600658903006,0.0,987.0
16,10.0,3.0,474.07097482681274,-1.5912300536173756,0.0,987.0
17,10.0,6.0,547.8747732639313,-1.5968076870230123,0.0,984.0
18,10.0,3.0,484.1853518486023,-1.5786431083692427,0.0,987.0
19,10.0,1.0,450.5859708786011,-1.3929666243964014,0.0,989.0
20,10.0,6.0,474.2468490600586,-1.5083234288488783,0.0,984.0
21,10.0,10.0,463.532555103302,-1.5864184301348379,0.0,980.0
22,10.0,4.0,460.7147500514984,-1.5569699039688054,0.0,986.0
23,10.0,7.0,455.7236292362213,-1.50343129086213,0.0,983.0
24,10.0,1.0,519.3416948318481,-1.5774401647804766,0.0,989.0
25,10.0,9.0,466.98815417289734,-1.5273876337357448,0.0,981.0
26,10.0,6.0,517.9565269947052,-1.5559105448228367,0.0,984.0
27,10.0,10.0,598.9217669963837,-1.5495967858632889,0.0,980.0
28,10.0,7.0,532.211452960968,-1.5955931972831203,0.0,983.0
29,10.0,6.0,492.185506105423,-1.5308956499058803,0.0,984.0
30,10.0,6.0,505.32422709465027,-1.5317532288885847,0.0,984.0
31,10.0,10.0,529.6792619228363,-1.5625662578791708,0.0,980.0
32,10.0,5.0,489.3567810058594,-1.491649963384358,0.0,985.0
33,10.0,5.0,474.56337690353394,-1.55725748421664,0.0,985.0
34,10.0,4.0,481.37819814682007,-1.5875777271462856,0.0,986.0
35,10.0,2.0,495.00691294670105,-1.588735670881322,0.0,988.0
36,10.0,4.0,484.51967310905457,-1.5743717685210206,0.0,986.0
37,10.0,10.0,487.0170249938965,-1.5511531114569335,0.0,980.0
38,10.0,4.0,482.04778504371643,-1.4881841147063533,0.0,986.0
39,10.0,6.0,508.4168779850006,-1.5693118171998968,0.0,984.0
40,10.0,6.0,479.26209807395935,-1.4857359416914235,0.0,984.0
41,10.0,7.0,477.45401906967163,-1.5588391481084607,0.0,983.0
42,10.0,11.0,474.3335328102112,-1.5665771562915545,0.0,979.0
43,10.0,4.0,468.81665420532227,-1.3873006986440017,0.0,986.0
44,10.0,6.0,475.18098306655884,-1.4591881740032804,0.0,984.0
45,10.0,5.0,477.0156819820404,-1.5465952944337287,0.0,985.0
46,10.0,7.0,507.6050879955292,-1.5962186364064295,0.0,983.0
47,10.0,3.0,509.1344120502472,-1.4680037355148592,0.0,987.0
48,10.0,4.0,560.0403201580048,-1.5661310573655918,0.0,986.0
49,10.0,2.0,583.4033839702606,-1.575055375200264,0.0,988.0
50,10.0,6.0,581.2743971347809,-1.583501777624071,0.0,984.0
51,10.0,8.0,586.5125579833984,-1.5559457836761945,0.0,982.0
52,10.0,4.0,606.04181599617,-1.5637079407284398,0.0,986.0
53,10.0,6.0,661.228866815567,-1.5799624857867691,0.0,984.0
54,10.0,1.0,580.1311130523682,-1.5517399352254226,0.0,989.0
55,10.0,5.0,586.7993769645691,-1.56583972677335,0.0,985.0
56,10.0,8.0,589.4246997833252,-1.5397609102326428,0.0,982.0
57,10.0,3.0,664.0077497959137,-1.5536933565590276,0.0,987.0
58,10.0,4.0,711.475524187088,-1.523143418528413,0.0,986.0
59,10.0,2.0,647.249653339386,-1.5577500400391662,0.0,988.0
60,10.0,7.0,620.508837223053,-1.406260558042082,0.0,983.0
61,10.0,8.0,642.9178349971771,-1.557672638505435,0.0,982.0
62,10.0,6.0,641.348005771637,-1.521608809743286,0.0,984.0
63,10.0,2.0,639.8475561141968,-1.4414628207988407,0.0,988.0
64,10.0,5.0,676.907711982727,-1.4384979089327439,0.0,985.0
65,10.0,5.0,632.8539259433746,-1.5586402256481267,0.0,985.0
66,10.0,1.0,617.877571105957,-1.594562202269818,0.0,989.0
67,10.0,5.0,636.702978849411,-1.5879947885248429,0.0,985.0
68,10.0,4.0,623.8220369815826,-1.5811793236657512,0.0,986.0
69,10.0,3.0,626.5958790779114,-1.588017800195329,0.0,987.0
70,10.0,4.0,660.471164226532,-1.4575185801866613,0.0,986.0
71,10.0,4.0,618.8212289810181,-1.5749231966781014,0.0,986.0
72,10.0,8.0,608.2890770435333,-1.3414159822167409,0.0,982.0
73,10.0,11.0,547.4096820354462,-1.5691485886613556,0.0,979.0
74,10.0,5.0,521.2876121997833,-1.5399663371372299,0.0,985.0
75,10.0,3.0,464.9080607891083,-1.4662044698256291,0.0,987.0
76,10.0,21.0,541.640496969223,-1.5982281801783194,0.0,969.0
77,10.0,4.0,462.8310730457306,-1.5887805896697957,0.0,986.0
78,10.0,3.0,457.34491181373596,-1.5606313763984119,0.0,987.0
79,10.0,6.0,548.5282521247864,-1.5223362558444418,0.0,984.0
80,10.0,14.0,577.267459154129,-1.5673618289451032,0.0,976.0
81,10.0,6.0,577.7602980136871,-1.550653023112834,0.0,984.0
82,10.0,6.0,576.8800599575043,-1.5568789285237428,0.0,984.0
83,10.0,5.0,618.3280408382416,-1.5744826488652173,0.0,985.0
84,10.0,7.0,587.962917804718,-1.5867253256804286,0.0,983.0
85,10.0,3.0,567.2073731422424,-1.5276598550894245,0.0,987.0
86,10.0,8.0,579.7157452106476,-1.597380453420584,0.0,982.0
87,10.0,2.0,568.670215845108,-1.3469163621266496,0.0,988.0
88,10.0,3.0,576.3775970935822,-1.5648258299130249,0.0,987.0
89,10.0,11.0,612.1691248416901,-1.4829353059507246,0.0,979.0
90,10.0,5.0,570.8838441371918,-1.5935276960671239,0.0,985.0
91,10.0,6.0,575.0206470489502,-1.5675085106379631,0.0,984.0
92,10.0,7.0,570.3090300559998,-1.4524050680047447,0.0,983.0
93,10.0,5.0,578.4320528507233,-1.5882814737759177,0.0,985.0
94,10.0,1.0,565.3962879180908,-1.591757875168087,0.0,989.0
95,10.0,5.0,603.229590177536,-1.4959280304054596,0.0,985.0
96,10.0,10.0,575.6160509586334,-1.4734546506335926,0.0,980.0
97,10.0,7.0,565.9956910610199,-1.5235150507067305,0.0,983.0
98,10.0,5.0,565.9683218002319,-1.5278399576579273,0.0,985.0
99,10.0,5.0,569.4727129936218,-1.5981668631319985,0.0,985.0
