,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region,total_times_minimizer_missed,total_no_times_inequals_sat
0,10.0,19.0,10.0,242.5450644493103,246.80981588363647,-0.6631037420569118,-0.6631037420569118,0.001,79.0,0.0,971.0
1,10.0,214.0,10.0,220.74703764915466,214.36615180969238,-0.691976375108336,-0.691976375108336,0.027,98.0,1.0,776.0
2,9.0,81.0,9.0,210.86881613731384,214.01263642311096,-0.6499803992564303,-0.6499803992564303,0.0,37.0,0.0,910.0
3,10.0,16.0,10.0,212.10425925254822,212.2829773426056,-0.6339067146364615,-0.6339067146364503,0.001,96.0,4.0,974.0
4,10.0,44.0,10.0,207.1874074935913,207.38105988502502,-0.6761246704468101,-0.6761246704468101,0.001,25.0,0.0,946.0
5,10.0,10.0,10.0,207.02834057807922,209.41173362731934,-0.6837771802691381,-0.6837771802691381,0.001,204.0,2.0,980.0
6,10.0,16.0,10.0,211.8773581981659,215.2282772064209,-0.6822906889836774,-0.6822906889836774,0.0,60.0,0.0,974.0
7,10.0,35.0,10.0,211.37024235725403,216.53473734855652,-0.6273827959645542,-0.6273827959645542,0.002,25.0,0.0,955.0
8,10.0,16.0,10.0,213.79751634597778,211.7092854976654,-0.698239069233288,-0.698239069233288,0.002,80.0,1.0,974.0
9,10.0,60.0,10.0,206.1034710407257,207.32863807678223,-0.7340632982566809,-0.7340632982566809,0.004,226.0,6.0,930.0
10,10.0,17.0,10.0,207.91679763793945,209.89851021766663,-0.6713651461449428,-0.6713651461449428,0.002,59.0,1.0,973.0
11,10.0,22.0,10.0,207.32417798042297,210.91629552841187,-0.6582500175054152,-0.6582500175054152,0.001,71.0,0.0,968.0
12,10.0,25.0,10.0,209.1452293395996,211.76725029945374,-0.6981375907148264,-0.6981375907148264,0.0,61.0,4.0,965.0
13,10.0,53.0,10.0,204.15441417694092,207.21400952339172,-0.6930683132177675,-0.6930683132177675,0.008,170.0,0.0,937.0
14,10.0,29.0,10.0,208.08816123008728,208.28678584098816,-0.6340216157682983,-0.6340216157682983,0.0,43.0,0.0,961.0
15,10.0,27.0,10.0,209.94724202156067,204.2009515762329,-0.6864346338352271,-0.6864346338352271,0.001,136.0,1.0,963.0
16,10.0,29.0,10.0,206.72732043266296,210.5453541278839,-0.6510562814390088,-0.6510562814390088,0.0,46.0,0.0,961.0
17,10.0,20.0,10.0,213.02104806900024,212.38247179985046,-0.6873822516326684,-0.6873822516326684,0.0,77.0,0.0,970.0
18,10.0,69.0,10.0,210.58808422088623,212.26463675498962,-0.6773859926323921,-0.6773859926323921,0.0,63.0,0.0,921.0
19,10.0,37.0,10.0,208.0841348171234,206.09700226783752,-0.5796767171017563,-0.5796767171017563,0.001,52.0,1.0,953.0
20,10.0,32.0,10.0,212.6307065486908,215.13565611839294,-0.6810552627889909,-0.6810552627889909,0.005,120.0,0.0,958.0
21,10.0,16.0,10.0,211.68222451210022,212.66564917564392,-0.6927850717617918,-0.6927850717617918,0.0,20.0,0.0,974.0
22,10.0,36.0,10.0,209.56893587112427,210.82922911643982,-0.6746552898941114,-0.6746552898941114,0.001,32.0,1.0,954.0
23,10.0,36.0,10.0,209.39847469329834,211.26281690597534,-0.6448163677563289,-0.6448163677563289,0.0,41.0,0.0,954.0
24,10.0,5.0,10.0,208.66212272644043,209.99260234832764,-0.6759105683623606,-0.6759105683623606,0.005,209.0,1.0,985.0
25,10.0,49.0,10.0,205.6516146659851,206.85411882400513,-0.6874021715377646,-0.6874021715377646,0.004,22.0,0.0,941.0
26,10.0,15.0,10.0,205.5733597278595,206.31368970870972,-0.6208156907869956,-0.6208156907869956,0.002,56.0,1.0,975.0
27,10.0,59.0,10.0,210.96327567100525,232.88814759254456,-0.701916277087058,-0.701916277087058,0.011,140.0,0.0,931.0
28,10.0,18.0,10.0,293.6823353767395,296.9892408847809,-0.688854877800688,-0.688854877800688,0.004,14.0,0.0,972.0
29,10.0,23.0,10.0,301.09666681289673,304.25114583969116,-0.6563843789428361,-0.6563843789428361,0.002,34.0,0.0,967.0
30,10.0,153.0,10.0,309.18483328819275,307.20212149620056,-0.6950065719721669,-0.6950065719721669,0.002,73.0,0.0,837.0
31,10.0,28.0,10.0,280.59608030319214,272.6190264225006,-0.6988209387624714,-0.6988209387624714,0.001,85.0,0.0,962.0
32,10.0,92.0,10.0,255.91568040847778,236.3300325870514,-0.663872377472012,-0.663872377472012,0.002,119.0,0.0,898.0
33,10.0,77.0,10.0,229.1754550933838,229.57913994789124,-0.6905616930465357,-0.6905616930465357,0.003,87.0,0.0,913.0
34,10.0,51.0,10.0,216.2191092967987,212.33023762702942,-0.6685465124962919,-0.6685465124962919,0.0,49.0,1.0,939.0
35,10.0,158.0,10.0,210.02931213378906,214.33273601531982,-0.6815044270021532,-0.6815044270021532,0.006,36.0,1.0,832.0
36,10.0,30.0,10.0,209.64094400405884,208.93210339546204,-0.6704795161578866,-0.6704795161578866,0.004,32.0,0.0,960.0
