,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,total_times_minimizer_missed,total_no_times_inequals_sat
0,10.0,121.0,10.0,470.23697686195374,447.8762092590332,-0.6631037420569116,-0.6631037420569116,0.0,869.0
1,10.0,78.0,10.0,448.05432415008545,503.34154176712036,-0.691976375108312,-0.691976375108312,0.0,912.0
2,9.0,89.0,9.0,461.57531118392944,380.30856227874756,-0.6499803992564313,-0.6499803992564313,0.0,902.0
3,10.0,72.0,10.0,372.170716047287,361.47964310646057,-0.6339067146364541,-0.633906714636451,3.0,918.0
4,10.0,123.0,10.0,373.66302013397217,358.27536487579346,-0.6761246704468099,-0.6761246704468099,0.0,867.0
5,10.0,72.0,10.0,371.01623272895813,363.20794439315796,-0.6837771802691404,-0.6837771802691404,0.0,918.0
6,10.0,94.0,10.0,454.4632351398468,392.46047472953796,-0.6822906889836784,-0.6822906889836784,0.0,896.0
7,10.0,102.0,10.0,396.203665971756,380.6874361038208,-0.6273827959645788,-0.6273827959645788,0.0,888.0
8,10.0,85.0,10.0,396.90425539016724,386.3977327346802,-0.6982390692332886,-0.6982390692332886,0.0,905.0
9,10.0,113.0,10.0,399.0280659198761,385.246474981308,-0.7340632982566774,-0.7340632982566774,0.0,877.0
10,10.0,116.0,10.0,412.0486478805542,460.5982401371002,-0.6713651461449429,-0.6713651461449429,0.0,874.0
11,10.0,89.0,10.0,410.46021914482117,397.02458119392395,-0.6582500175054149,-0.6582500175054149,0.0,901.0
12,10.0,94.0,10.0,412.35090589523315,399.25321412086487,-0.6981375907148272,-0.6981375907148272,0.0,896.0
13,10.0,60.0,10.0,401.6413960456848,394.49651622772217,-0.6930683132177683,-0.6930683132177683,0.0,930.0
14,10.0,79.0,10.0,405.9157180786133,397.7829649448395,-0.6340216157682991,-0.6340216157682991,0.0,911.0
15,10.0,78.0,10.0,483.9400329589844,403.0018410682678,-0.686434633835228,-0.686434633835228,1.0,912.0
16,10.0,110.0,10.0,423.2746648788452,403.3223810195923,-0.6510562814390097,-0.6510562814390097,0.0,880.0
17,10.0,103.0,10.0,420.52141785621643,405.3055670261383,-0.6873822516326678,-0.6873822516326678,0.0,887.0
18,10.0,99.0,10.0,416.5763590335846,402.7891528606415,-0.6773859926323927,-0.6773859926323927,0.0,891.0
19,10.0,87.0,10.0,466.8541419506073,399.4934549331665,-0.5796767171017563,-0.5796767171017563,0.0,903.0
20,10.0,77.0,10.0,412.44897198677063,400.79093384742737,-0.6810552627889911,-0.6810552627889911,0.0,913.0
21,10.0,123.0,10.0,413.48784589767456,394.9032220840454,-0.6927850717617922,-0.6927850717617922,0.0,867.0
22,10.0,118.0,10.0,415.8669857978821,394.5518298149109,-0.6746552898941098,-0.6746552898941098,0.0,872.0
23,10.0,120.0,10.0,409.3593170642853,458.49968004226685,-0.6448163677563289,-0.6448163677563289,0.0,870.0
24,10.0,61.0,10.0,401.6464078426361,391.3048520088196,-0.6759105683623595,-0.6759105683623595,1.0,929.0
25,10.0,44.0,10.0,383.9415752887726,388.87142395973206,-0.687402171537763,-0.687402171537763,1.0,946.0
26,10.0,91.0,10.0,395.6812312602997,380.975692987442,-0.6208156907869974,-0.6208156907869974,0.0,899.0
27,10.0,91.0,10.0,396.89826798439026,385.34155797958374,-0.7019162770870706,-0.7019162770870706,0.0,899.0
28,10.0,88.0,10.0,453.67926597595215,365.7969057559967,-0.6888548778006879,-0.6888548778006879,1.0,902.0
29,10.0,51.0,10.0,291.23931789398193,290.9192190170288,-0.6563843789428128,-0.6563843789428128,0.0,939.0
30,10.0,133.0,10.0,309.20124912261963,291.33839106559753,-0.6950065719721656,-0.6950065719721656,0.0,857.0
