,number_minimizers_per_func_metod,number_extra_descents_per_func_metod,number_minimizers_per_func_multistart,time_metod,time_multistart,min_func_val_metod,min_func_val_multistart,prop_class,greater_than_one_region
0,50.0,0.0,50.0,22.231246948242188,114.54457998275757,8.704324019843007e-08,8.704324019843007e-08,0.0,237.0
1,49.0,0.0,50.0,22.5640709400177,114.23857593536377,4.740803570270933e-08,8.223413390682884e-08,0.001,347.0
2,50.0,0.0,50.0,23.346490144729614,115.76004028320312,6.042620329704505e-08,6.042620329704505e-08,0.0,233.0
3,47.0,0.0,50.0,22.942861080169678,116.12738084793091,8.926339156245641e-08,8.889158295201584e-08,0.007,384.0
4,48.0,0.0,49.0,23.266820907592773,116.96601390838623,7.624566153258652e-08,7.453589698307122e-08,0.001,226.0
5,50.0,0.0,50.0,24.237205028533936,118.05987095832825,7.5810532747474e-08,7.5810532747474e-08,0.0,301.0
6,50.0,0.0,50.0,24.247663974761963,115.26584196090698,3.4439676296763795e-08,7.971634537905008e-08,0.0,275.0
7,49.0,0.0,49.0,23.58626699447632,124.31559085845947,7.5554021694286e-08,7.5554021694286e-08,0.0,338.0
8,50.0,0.0,50.0,23.501767873764038,117.28403568267822,4.4970835285178076e-08,4.4970835285178076e-08,0.0,314.0
9,49.0,0.0,50.0,23.42866587638855,117.62434673309326,4.674915096180343e-08,4.674915096180343e-08,0.001,253.0
10,49.0,0.0,49.0,23.380897045135498,116.48509192466736,6.289894231116127e-08,8.033824606920577e-08,0.0,248.0
11,50.0,0.0,50.0,25.894206047058105,126.99101185798645,4.3987437108532633e-08,4.3987437108532633e-08,0.0,315.0
12,47.0,0.0,47.0,23.48685121536255,124.6886031627655,5.8513371884957675e-08,5.8513371884957675e-08,0.0,382.0
13,48.0,0.0,49.0,23.52401328086853,116.54550504684448,8.020185307288267e-08,8.339917288657842e-08,0.002,247.0
14,50.0,0.0,50.0,24.180562734603882,117.77495098114014,5.0251174042321327e-08,5.0251174042321327e-08,0.0,207.0
15,49.0,0.0,49.0,23.536996126174927,117.24614572525024,8.658333120115162e-08,8.658333120115162e-08,0.0,310.0
16,49.0,0.0,49.0,23.30732798576355,118.8441231250763,4.822529968148599e-08,4.822529968148599e-08,0.0,289.0
17,47.0,0.0,47.0,23.097275018692017,117.18404698371887,8.237139157545517e-08,8.237139157545517e-08,0.0,204.0
18,46.0,0.0,48.0,22.273103713989258,115.745032787323,3.595975004784769e-08,3.595975004784769e-08,0.004,274.0
19,49.0,0.0,49.0,23.924668312072754,118.47746396064758,8.669510970422376e-08,3.630267509784805e-08,0.0,335.0
20,49.0,0.0,50.0,23.607007265090942,118.86354517936707,8.658249289904606e-08,8.658249289904606e-08,0.001,329.0
21,48.0,0.0,48.0,23.960970878601074,116.90743803977966,6.196604667845697e-08,6.196604667845697e-08,0.0,286.0
22,48.0,0.0,49.0,22.62529683113098,118.34194612503052,8.533065900736694e-08,8.533065900736694e-08,0.001,356.0
23,48.0,0.0,48.0,22.718885898590088,115.69500303268433,5.3272617249154275e-08,5.3272617249154275e-08,0.0,343.0
24,47.0,0.0,49.0,23.09286117553711,122.48086881637573,7.417569922243146e-08,6.222017879122058e-08,0.002,345.0
25,49.0,0.0,50.0,28.104207277297974,118.62458610534668,5.61561124774619e-08,5.61561124774619e-08,0.001,285.0
26,48.0,0.0,48.0,23.183549880981445,125.83833408355713,6.066029589271272e-08,6.066029589271272e-08,0.0,224.0
27,48.0,0.0,49.0,23.772714138031006,118.03685903549194,5.758421052641135e-08,5.758421052641135e-08,0.001,172.0
28,48.0,0.0,49.0,23.17985987663269,116.47961020469666,6.014569027562732e-08,6.014569027562732e-08,0.001,326.0
29,48.0,0.0,48.0,22.923673152923584,124.99950528144836,3.358226082484636e-08,3.358226082484636e-08,0.0,236.0
30,50.0,0.0,50.0,24.438672304153442,117.78596806526184,6.075504348254755e-08,6.075504348254755e-08,0.0,323.0
31,47.0,0.0,48.0,23.39517903327942,120.30335092544556,5.178886505570839e-08,5.178886505570839e-08,0.002,207.0
32,47.0,0.0,48.0,24.739731788635254,118.51579809188843,8.346162809786953e-08,8.346162809786953e-08,0.002,360.0
33,47.0,0.0,49.0,23.399544954299927,117.66651773452759,6.703277698161682e-08,6.703277698161682e-08,0.016,229.0
34,47.0,0.0,48.0,23.406941890716553,118.18931722640991,6.500434552095217e-08,6.500434552095217e-08,0.001,247.0
35,47.0,0.0,48.0,23.03749704360962,117.45540189743042,8.342368203016024e-08,8.342368203016024e-08,0.002,344.0
36,49.0,0.0,49.0,25.46566605567932,153.16908597946167,8.11921562827894e-08,8.11921562827894e-08,0.0,287.0
37,50.0,0.0,50.0,28.33278203010559,118.9357340335846,3.7850330850578155e-08,3.7850330850578155e-08,0.0,297.0
38,48.0,0.0,48.0,23.965864896774292,120.28623223304749,8.526635328635677e-08,8.526635328635677e-08,0.0,367.0
39,49.0,0.0,49.0,24.22428798675537,119.58232998847961,4.282439039118307e-08,4.282439039118307e-08,0.0,297.0
40,50.0,0.0,50.0,24.286004066467285,119.32099509239197,5.667522136195649e-08,5.667522136195649e-08,0.0,389.0
41,48.0,0.0,49.0,23.36799383163452,121.9423189163208,7.585845484899622e-08,7.585845484899622e-08,0.002,331.0
42,48.0,0.0,48.0,23.540230989456177,123.24687695503235,8.880759473492088e-08,8.867508771970431e-08,0.0,351.0
43,45.0,0.0,47.0,22.71103572845459,119.02537107467651,9.24144464650762e-08,9.24144464650762e-08,0.002,303.0
44,50.0,0.0,50.0,24.95428466796875,119.66029191017151,7.14716885473517e-08,7.14716885473517e-08,0.0,275.0
45,47.0,0.0,48.0,22.945841073989868,119.1041247844696,4.522177943164954e-08,4.522177943164954e-08,0.002,355.0
46,50.0,0.0,50.0,24.628702878952026,120.55374574661255,5.586238797120866e-08,5.586238797120866e-08,0.0,323.0
47,48.0,0.0,48.0,23.20182204246521,118.07785701751709,6.722504800629223e-08,6.722504800629223e-08,0.0,323.0
48,50.0,0.0,50.0,24.192613124847412,119.35593295097351,5.7473561413913024e-08,5.7473561413913024e-08,0.0,346.0
49,47.0,0.0,47.0,22.37013816833496,120.73378992080688,4.06674325383334e-08,4.06674325383334e-08,0.0,356.0
50,48.0,0.0,49.0,23.511020183563232,121.02641487121582,8.904955998707122e-08,8.904955998707122e-08,0.001,203.0
51,49.0,0.0,49.0,24.15317130088806,119.85191011428833,7.308924785537613e-08,7.308924785537613e-08,0.0,219.0
